BIBID,TITLE,VOLUMES,CREATOR_ROLE,CREATOR_FNAME,CREATOR_LNAME,CREATOR_CNAME,SOURCE,SIGLUM,ADJUNCT_ROLE,ADJUNCT_FNAME,ADJUNCT_LNAME,ADJUNCT_CNAME,SERIES,PUBLISHER,PUBLISHER_LOC,PUBLISHED_BD,PUBLISHED_ED,PUBLISHED_NOTE,VOLUME,ISSUE_EDITION,LOCATION_CLASS,LOCATION,REPRINT,ID_CLASS,ID_NUMBER,CLASS,FORM,TYPE,MEDIUM,FORMAT,RELATED_LIBID,RELATED_LIBIDQ,RELATED_LIBCOLLECTION,RELATED_LIBCALLNO,RELATED_LIBBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,STATUS,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITECA bibid 1012,Notes sobre el duel judicial a Catalunya,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Ferran,Valls i Taberner,,Revista de Catalunya,,,,,,,,,1929,,,56,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,50-7,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,Rom.,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2011-04-07,ROVIRA,,,,,"Valls i Taberner (1929), “Notes sobre el duel judicial a Catalunya”, Revista de Catalunya"
BITECA bibid 1013,{I}Usatges de Barcelona{/I},,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Guillem Maria de,Brocà i de Montagut,,Anuari de l’Institut d’Estudis Catalans,,,,,,,,,1913,1914,,5,1,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,357-389,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,06/15,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2012-01-28,App Service - MCR,,,,,"Brocà i de Montagut (1913-14), “Usatges de Barcelona”, Anuari de l’Institut d’Estudis Catalans"
BITECA bibid 1014,El código de los Usajes de Barcelona. Estudio histórico-jurídico,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Josep,Coroleu i Inglada,,,,,,,,,Henrich & Cia.,Barcelona,1890,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,105,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2011-03-21,ROVIRA,,,,,"Coroleu i Inglada (1890), El código de los Usajes de Barcelona. Estudio histórico-jurídico"
BITECA bibid 1015,Historiografia de Catalunya en català durant l’època nacional,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Jaume,Massó Torrents,,Revue Hispanique,,,,,,,,,1906,,,15,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,486-613,"Vaduz: Kraus Reprint Ltd., 1963",,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1001,,,06 (747) Rev. 8au,,,,,,,,,,,,,,,,"{I}Cronica dels comtes de Barcelona e dels reis d’Arago{/I}, pp. 491-498 (cita els mss. llatins i els catalans: pp. 493-494). {I}Croniqua de Espanya{/I}, pp. 498-502, cita el mss. català. {I}Crònica de Jaume I{/I}, pp. 503-523, mss. pp. 510-515. Bernat Desclot, {I}Crònica{/I}, pp. 523-532, mss. pp. 526-531 Ramon Muntaner, {I}Crònica{/I}, pp. 532-543, mss. pp. 536-542 Pere I el Cerimoniós, {I}Crònica{/I}, pp. 544-554, mss. pp. 548-554 (dóna notícies també de les traduccions i de les edicions, antigues i modernes) {I}Crònica dels reys d’Aragó e comtes de Barcelona{/I} = {I}Crònica de Sant Joan de la Penya{/I}, pp. 554-568, mss. = Francesch, {I}Llibre de les nobleses dels reys{/I}, pp. 568-572 Fra Jaume Domenech, {I}Compendi historial{/I}, pp. 573-74 {I}Cròniques de Sicília{/I}, pp. 574-578. {I}Genealogia dels comtes de Barcelona e dels reys d’Arago{/I}, pp. 578-79. {I}Flos mundi{/I}, p. 580-81. {I}Memories historials de Catalunya, 1418{/I}, pp. 581-82. Bernat Boades, {I}Libre dels feyts d’armes de Catalunya 1420{/I}, pp. 582-86. Berenguer de Puigpardines, {I}Sumari d’Espanya{/I}, pp. 586-91. {I}Cronicas de mestre Rodrigo de Toledo{/I}, pp. 591-93. Gabriel Turell, {I}Recort, 1476{/I}, pp. 593-95. Pere Tomich, {I}Histories e Conquestes del reyalme d’Aragó e principat de Catalunya{/I}, pp. 595-603. {I}La fi del cmote d’Urgell{/I}, pp. 604-8. {I}Dietari d’un capellà d’Alfons V{/I}, pp. 608-10. Joan Francesc Boscà, {I}Memorial{/I}, pp. 610-11. Altres dietaris, 611-12.",,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2015-09-14,CLARA,UNIVERSAL*INTERNET_CLASS*URL,http://archive.org,,,"Massó Torrents (1906), “Historiografia de Catalunya en català durant l’època nacional”, Revue Hispanique"
BITECA bibid 1016,El {I}Libre de les Nobleses dels Reys{/I},,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Miquel,Coll i Alentorn,,Estudis Universitaris Catalans,,,,,,,,,1928,,,13,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,485-524,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1001,,,05 (46.71) Est 8au,,,,,,,,,,,,,,,,Descripció i notes sobre el mss. 487 de la BdC,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2012-01-28,App Service - MCR,,,,,"Coll i Alentorn (1928), “El Libre de les Nobleses dels Reys”, Estudis Universitaris Catalans"
BITECA bibid 1017,Les “Regles de esquivar vocables” i la qüestió de la llengua,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Antoni M.,Badia i Margarit,,,,,,,,,Institut d’Estudis Catalans,Barcelona,1999,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,506,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1214,,,GAV,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2000-04-07,AVENOZA,,,,,"Badia i Margarit (1999), Les “Regles de esquivar vocables” i la qüestió de la llengua"
BITECA bibid 1018,Incunabula in American Libraries. A third census of fifteenth-century books recorded in North American collection,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Frederick Richmond,Goff,,,,,,,,,Bibliographical Society of America,New York,1964,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,lxiii + 798,"Millwood, Kraus International Publications, 1984",,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1001,,,R.016:093(73)Inc,,,,,,,,,,,,,,,,n’hi ha una edició de 1973 que tenim fitxada també,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2011-03-24,ROVIRA,,,,,"Goff (1964), Incunabula in American Libraries. A third census of fifteenth-century books recorded in North American collection"
BITECA bibid 1019,Catálogo de obras en lengua catalana impresas desde 1474 hasta 1860,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Marià,Aguiló,,,,,,,,,Sucesores de Rivadeneyra,Madrid,1923,1927,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,xix + 1078 + 1 h,"Barcelona: Curial, 1977",,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,166/3/29,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2008-04-24,AVENOZA,,,,,"Aguiló (1923-27), Catálogo de obras en lengua catalana impresas desde 1474 hasta 1860"
BITECA bibid 1020,Bibliografía ibérica del siglo XV,2,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Konrad,Haebler,,,,,,,,,Martinus Nijhofl,The Hague,1903,1917,,,,,,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,T-260/2/15-16/NP,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,1995-10-18,SABATE,,,,,"Haebler (1903-17), Bibliografía ibérica del siglo XV"
BITECA bibid 1021,Còdexs catalans i altres llibres manuscrits d’especial interès de la Biblioteca Capitular de Saragossa,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Josep M.,March,,Butlletí de la Biblioteca de Catalunya,,,,,,,,,1920,1922,,6,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,357-65,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1214,,,"AB3, AB5",,,,,,,,,,,,,,,,Fotocopiat sencer,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,1996-05-08,AVENOZA,,,,,"March (1920-22), “Còdexs catalans i altres llibres manuscrits d’especial interès de la Biblioteca Capitular de Saragossa”, Butlletí de la Biblioteca de Catalunya"
BITECA bibid 1022,Inventario general de manuscritos de la Biblioteca Universitaria de Barcelona,4,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Francesc X.,Miquel Rosell,,,,,,,,,Direcciones Generales de Enseñanza Universitaria y de Archivos y Bibliotecas,Madrid,1958,1969,,,,,,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,A-091(467.1)Ros,,,,,,,,,,,,,,,,llistat mecanografiat guardat amb els reports de la BNM,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2015-09-14,CLARA,,,,,"Miquel Rosell (1958-69), Inventario general de manuscritos de la Biblioteca Universitaria de Barcelona"
BITECA bibid 1023,Catalogue of Books Printed in the XVth Century Now in the British Museum,,,,,,,,,,,,,The Trustees of the British Museum,London,1971,,,"X,10 (Spain & Portugal)",,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,lxxv + 92,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,A- 093 (41) BRI/NP,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2019-12-22,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,https://www.bl.uk/collection-guides/early-printed-books,digitalització,2019-12-22,Catalogue of Books Printed in the XVth Century Now in the British Museum (1971)
BITECA bibid 1025,"Códices de la Catedral de Valencia. Segunda edición, refundida y notablemente aumentada",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Elías,Olmos y Canalda,,,,,,,,,CSIC. Instituto Nicolás Antonio,Madrid,1943,,,,2a.,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,250,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,A-091(467.3)Olm/NP,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2015-09-14,CLARA,,,,,"Olmos y Canalda et al. (1943), Códices de la Catedral de Valencia. Segunda edición, refundida y notablemente aumentada"
BITECA bibid 1026,Guía de la Biblioteca Central de la Diputación Provincial de Barcelona,,,,,,,,,,,,,Diputación Provincial,Barcelona,1959,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,281,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,"lletres, sala de reserva",,,,,,,,,,,,,,,,a la Sala de Reserva de la Biblioteca hi ha un exemplar amb correccions,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2015-09-14,CLARA,,,,,Guía de la Biblioteca Central de la Diputación Provincial de Barcelona (1959)
BITECA bibid 1027,Catàleg dels manuscrits de la Biblioteca de Catalunya,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Jaume,Massó Torrents,,Butlletí de la Biblioteca de Catalunya,,,,,,,,,1914,,,1,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,"22-9, 49-121, 156-62","Barcelona: Biblioteca de Catalunya, 1989",,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,Romàniques,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2011-03-30,ROVIRA,,,,,"Massó Torrents et al. (1914), “Catàleg dels manuscrits de la Biblioteca de Catalunya”, Butlletí de la Biblioteca de Catalunya"
BITECA bibid 1028,Catálogo de los manuscritos existentes en la Biblioteca Universitaria de Valencia,3,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Marcelino,Gutiérrez del Caño,,,,,,,,,Maraguat,Valencia,1913,,,,,,,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1001,,,01 Fol 20-22,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2015-09-14,CLARA,,,,,"Gutiérrez del Caño (1913), Catálogo de los manuscritos existentes en la Biblioteca Universitaria de Valencia"
BITECA bibid 1030,Nota sobre un manuscrit dantesc,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Ramon d’,Alòs-Moner,,Estudios Franciscanos,,,,,,,,,1921,,,27,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,391-3,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1001,,,271.33 (05) (46.71),,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2011-03-09,ROVIRA,,,,,"Alòs-Moner (1921), “Nota sobre un manuscrit dantesc”, Estudios Franciscanos"
BITECA bibid 1031,Els manuscrits litúrgics de la Biblioteca de Montserrat,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Alexandre,Olivar,,,,,,,,"Scripta et Documenta, 18",Monestir de Montserrat,Montserrat,1969,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,211,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,A-091 (467.1)oli/NP,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2011-03-31,ROVIRA,,,,,"Olivar (1969), Els manuscrits litúrgics de la Biblioteca de Montserrat"
BITECA bibid 1032,Catàleg dels manuscrits de la Biblioteca del Monestir de Montserrat,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Alexandre,Olivar,,,,,,,,"Scripta et Documenta, 25",Monestir de Montserrat,Montserrat,1977,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,xxiv + 562,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,172/4/40/NP,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2011-03-31,ROVIRA,,,,,"Olivar (1977), Catàleg dels manuscrits de la Biblioteca del Monestir de Montserrat"
BITECA bibid 1033,Profecies catalanes dels segles XIV i XV. Assaig bibliogràfic,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Pere,Bohigas,,Butlletí de la Biblioteca de Catalunya,,,,,,,,,1920,1922,,6,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,24-49,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1001,,,89-4t C 4/2,,,,,,,,,,,,,,,,fotocopiat sencer,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2011-03-16,ROVIRA,,,,,"Bohigas (1920-22), “Profecies catalanes dels segles XIV i XV. Assaig bibliogràfic”, Butlletí de la Biblioteca de Catalunya"
