LIBID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,ADDRESS,CITY,STATE,COUNTRY,PCODE,PHONE,PHONE_LOC,TELEX,CONTACT_FNAME,CONTACT_LNAME,CONTACT_TITLE,CONTACT_SALUTATION,CONTACT_POSITION,CONTACT_PHONE,CONTACT_EMAIL,CONTACT_TYPE,LIBRARY_HOURS,LIBRARY_CLOSED,LIBRARY_DOCUMENTS,LIBRARY_FACILITIES,CALL_TYPE,CALL_DATE,CALL_PERSON,CALL_NOTE,LIBCODE_CLASS,LIBCODE,CLASS,TYPE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITECA libid 1011,LIBRARY*NAME_CLASS*SHORT,Universitaria,,,,,,,"Via Università, 32A",Cagliari,,Italia,,39 0706757859,LIBRARY*PHONE_LOC*MAIN,,Graziella,Sedda Delitala,,,Dr.,,,,"dilluns a divendres 8,30 a 19,45 (las biblioteques normals de la Univ.)",,,,LIBRARY*CALL_TYPE*V,1992-09-28,SM,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2015-04-20,AVENOZA,UNIVERSAL*INTERNET_CLASS*EMA,filobib@unica.it,,,Cagliari: Universitaria
BITECA libid 1012,LIBRARY*NAME_CLASS*SHORT,Serrano Morales,,1910.0,,,,Directorio de bibliotecas españolas,"Pl. Tetuán, 3, Palacio de Cervelló",València,,Espanya,46003,96 352 5478 / Extensió 2651,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,"9,30-14,30 h dilluns a divendres",agost,,,LIBRARY*CALL_TYPE*V,2009,LS,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*TRA,BITECA bibid 3530,,,28334,,,,,,,,,,Atenció! part del fons que tenim com d’aquesta biblioteca pertany a la Municipal,,1990-09-15,CONCHEFF,2024-04-05,SORIANO,UNIVERSAL*INTERNET_CLASS*URL,https://cultural.valencia.es/es/biblioteca/biblioteca-serrano-morales/,,2024-05-04,València: Serrano Morales
BITECA libid 1013,LIBRARY*NAME_CLASS*SHORT,N. L. Medicine,,,,,,,"Rockville Pike, 8600",Bethesda (Md.),MD,USA,20894,(888) FIND-NLM,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*TRA,BITECA bibid 1018,,,,,,,,,,,,,"situada en el campus del National Institutes of Health de Bethesda, és la biblioteca mèdica més gran del món",,1990-09-15,CONCHEFF,2011-11-16,AVENOZA,,,,,Bethesda (Md.): N. L. Medicine
BITECA libid 1014,LIBRARY*NAME_CLASS*SHORT,Capitular,,,,,,,"Plaza de la Seo, s/n",Saragossa,,Espanya,50001,976291231,LIBRARY*PHONE_LOC*MAIN,976200752,Tomás,Domingo Pérez,,Reverendo Padre,Director / Can¢nigo Archivero,,,,"dimecres-divendres, de 10:30 a 13:30h",agost,,,,,,,,,LIBRARY*CLASS*ECCL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BITECA bibid 1021,,114,,,,,,,,,,,"segons Cifuentes, cap a 1956-1957 el capítol va vendre part de la biblioteca a través de tractants internacionals de llibres; segons la biblioteca (2003) fou un investigador qui va robar bona part del fons",,1990-09-15,CONCHEFF,2010-08-20,AVENOZA,,,,,Saragossa: Capitular
BITECA libid 1015,LIBRARY*NAME_CLASS*SHORT,Ubicació sense determinar,,,,,,,,Desconeguda,,,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*OTHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2015-06-05,AVENOZA,,,,,Desconeguda: Ubicació sense determinar
BITECA libid 1016,LIBRARY*NAME_CLASS*SHORT,Universitat de Barcelona (CRAI Biblioteca de Fons Antic),,,,,,,"Gran Via de les Corts Catalanes, 585",Barcelona,,Espanya,08007,93 4035313,LIBRARY*PHONE_LOC*MAIN,,Neus,Verger,,,Responsable de Reserva,,,,9-21h dilluns a divendres,dissabtes i festius,DNI,LIBRARY*FACILITIES*EFAC,LIBRARY*CALL_TYPE*V,2013,,,LIBRARY*LIBCODE_CLASS*OTHR,BUB,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BITECA bibid 3348,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2022-02-02,SORIANO,UNIVERSAL*INTERNET_CLASS*URL,http://www.bib.ub.edu/biblioteques/reserva/,,,Barcelona: Universitat de Barcelona (CRAI Biblioteca de Fons Antic)
BITECA libid 1017,LIBRARY*NAME_CLASS*SHORT,British Library,,,,,,,96 Euston Road,London,,United Kingdom,NW1 2DB,+ 44 (0)870 444 1500,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,LIBRARY*CALL_TYPE*V,2009,LS GAV,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BITECA bibid 1023,,,Q23276,,,,,,,,,,,,1990-09-15,CONCHEFF,2024-04-05,SORIANO,UNIVERSAL*INTERNET_CLASS*URL,https://database.factgrid.de/wiki/Item:Q23276,,2024-04-05,London: British Library
BITECA libid 1018,LIBRARY*NAME_CLASS*SHORT,Catedral,,,,,,,"Plaça Pia Almoina, s/n",València,,Espanya,46003,(96) 3318127,LIBRARY*PHONE_LOC*MAIN,,Vicent,Pons,,,Director,654895358,,,"9-14 h dilluns, dimecres i divendres",fins 29 de setembre,accès restringit,,LIBRARY*CALL_TYPE*V,2010,GAV,,,VCat,LIBRARY*CLASS*ECCL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BITECA bibid 1025,,45-86,,,,,,,,,,,,,1990-09-15,CONCHEFF,2014-01-04,FAULHABER,,,,,València: Catedral
BITECA libid 1019,LIBRARY*NAME_CLASS*SHORT,Universitària,,,,,,,"La Nao, 4",València,,Espanya,46003,96 3864556,LIBRARY*PHONE_LOC*MAIN,,María Jesús,García Mateu,,,Directora,,,,"9-14 i 15,30-20,30 dilluns a divendres",,carnet d’investigador,LIBRARY*FACILITIES*COMPUTER,LIBRARY*CALL_TYPE*V,2009,LS GAV,,,BUV,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BITECA bibid 1028,,617-8,,,,,,,,,,,"conserva els fons donats per Francisco Pérez Bayer, per Onofre Soler i per altres bibliòfils. Patí un greu incendi l’any 1812<br /><br />els seus fons antics haurien d’estar dipositats a la Biblioteca Històrica",,1990-09-15,CONCHEFF,2024-05-28,SORIANO,,,,,València: Universitària
BITECA libid 1020,LIBRARY*NAME_CLASS*SHORT,Monestir,,,,,,,Abadia de Montserrat,Montserrat,,Espanya,08699,(93) 8777777 1750,LIBRARY*PHONE_LOC*MAIN,,Marc,Taxonera i Comas,,,director,,,,"Dill-div. 9-13h i 15,30-17,30h",,,,LIBRARY*CALL_TYPE*V,2009,ML,,,MMon,LIBRARY*CLASS*ECCL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BITECA bibid 1032,,221,,,,,,,,,,,cal concertar cita prèvia,,1990-09-15,CONCHEFF,2010-08-20,AVENOZA,UNIVERSAL*INTERNET_CLASS*EMA,arius@bibliotecademontserrat.net,,,Montserrat: Monestir
BITECA libid 1021,LIBRARY*NAME_CLASS*CURRENT,Biblioteca de la Fundació Josep Pla,,,,,,,"Carrer Nou, 51",Palafrugell,,España,17200,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PRIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2024-06-04,TRIADO,,,,,Palafrugell: Biblioteca de la Fundació Josep Pla
BITECA libid 1022,LIBRARY*NAME_CLASS*SHORT,Hispanic Society,,,,,,,613 W 155th St.,New York,NY,USA,10032,(212) 926-2234,LIBRARY*PHONE_LOC*MAIN,,Gerard J.,MacDonald,,,Director,,,,"dimarts a dissabte de 10 a 16,15",,,,LIBRARY*CALL_TYPE*V,2010-05,GAV,,,,LIBRARY*CLASS*PRIV,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BITECA bibid 1309,,,,,,,,,,,,,"200.000 Mss., alguns provenen de Archer M. Huntington, qui va fundar la institució",,1990-09-15,CONCHEFF,2011-11-16,AVENOZA,,,,,New York: Hispanic Society
BITECA libid 1023,LIBRARY*NAME_CLASS*SHORT,Mazarine,,,,,,,"23, quai de Conti",Paris,,France,75006,07 331 44414406,LIBRARY*PHONE_LOC*MAIN,,Christian,Péligry,,,Director,,,,Dill.-div. 10-18h,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BITECA bibid 1810,,,08999,,,,,,,,,,Biblioteca fundada el 1643,tot,1990-09-15,CONCHEFF,2010-08-20,AVENOZA,,,,,Paris: Mazarine
BITECA libid 1024,LIBRARY*NAME_CLASS*SHORT,Colombina,,,,,,,"Alemanes, s/n",Sevilla,,Espanya,41004,954 562721,LIBRARY*PHONE_LOC*MAIN,,Francisco,Álvarez Seisdedos,,,Director,,,,"9-14 i 16,30-19,30 de dilluns a dijous",dissabtes,carta de presentació,LIBRARY*FACILITIES*COMPUTER,LIBRARY*CALL_TYPE*V,2008,LS GAV,,,,LIBRARY*CLASS*ECCL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*TRA,BITECA bibid 1293,,224,,,,,,,,,,,la biblioteca colombina procedeix del llegat del fill de Colón i la Capitular es remonta als primers llibres donats a la Catedral després de la conquesta de la ciutat per Fernando III en 1248. Servei de reprografia: fax 9541876,,1990-09-15,CONCHEFF,2015-12-08,AVENOZA,UNIVERSAL*INTERNET_CLASS*EMA,direccionic@institucioncolombina.org,,,Sevilla: Colombina
BITECA libid 1025,LIBRARY*NAME_CLASS*SHORT,Nazionale Universitaria,,,,,,,Piazza Carlo Alberto 3,Torino,,Italia,10123,+390118101111,LIBRARY*PHONE_LOC*MAIN,,Vito,Console,,,Director,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*TRA,BITECA bibid 3530,,,16164,,,,,,,,,,Biblioteca fundada el 1720,,1990-09-15,CONCHEFF,2018-04-16,CAPDEVILA,UNIVERSAL*INTERNET_CLASS*EMA,bu-to@beniculturali.it,,2018-04-16,Torino: Nazionale Universitaria
BITECA libid 1026,LIBRARY*NAME_CLASS*CURRENT,Parròquia de Sant Andreu del Torn,,,,,,,,Sant Andreu del Torn,,Espanya,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*ECCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tot,1990-09-15,CONCHEFF,2024-05-28,SORIANO,,,,,Sant Andreu del Torn: Parròquia de Sant Andreu del Torn
BITECA libid 1027,LIBRARY*NAME_CLASS*SHORT,Arxiu Capitular,,,,,,,"Pla de la Seu, s/n",Barcelona,,Espanya,08002,933100669,LIBRARY*PHONE_LOC*MAIN,,Josep,Baucells,,Mossèn,arxiver i canonge,,,,"10 a 13.30h, dilluns, dimarts, dijous i divendres",dissabtes,,,LIBRARY*CALL_TYPE*V,2008,,,,ACB,LIBRARY*CLASS*ECCL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*TRA,BITECA bibid 2812,,217,,,,,,,,,,,“Biblioteca Capitular” és el nom específic de la secció de còdexs de l’Arxiu Capitular,,1990-09-15,CONCHEFF,2018-04-19,SORIANO,,,,,Barcelona: Arxiu Capitular
BITECA libid 1028,LIBRARY*NAME_CLASS*SHORT,Catedral,,,,,,,"Plaça de la Catedral, s/n.",Girona,,Espanya,17004,(972) 215814,LIBRARY*PHONE_LOC*MAIN,,Gabriel,Roure,,,Director,,,,Dill-diss. 10-13h,Agost,,LIBRARY*FACILITIES*COMPUTER,LIBRARY*CALL_TYPE*V,2008,LS GS,,,,LIBRARY*CLASS*ECCL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*TRA,BITECA bibid 1051,,118,,,,,,,,,,,,,1990-09-15,CONCHEFF,2010-08-20,AVENOZA,UNIVERSAL*INTERNET_CLASS*EMA,gicatedral@arquired.es,,,Girona: Catedral
BITECA libid 1029,LIBRARY*NAME_CLASS*SHORT,B. March,,,,,,,"Conquistador, 13",Ciutat de Mallorca,,Espanya,07001,(971) 711122,LIBRARY*PHONE_LOC*MAIN,,Fausto,Roldan Sierra,,,Director,,,,Dill a div. 9.30h-14,agost,,,LIBRARY*CALL_TYPE*V,2008,LS GAV,,,,LIBRARY*CLASS*PRIV,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BITECA bibid 1052,,,,,,,,,,,,,"fundada el 1970; temes: regionalisme i història local; Fons: 60000 llibres, 5 diaris, 2000 publicacions periòdiques, 550 microfilms, 1800 manuscrits, 21 incunables, 3000 fons antic (llibres s. XVI-XVIII), 500 diapositives, 500 microfitxes, follets, separates, literatura gris, mapes i plans. Tenen en dipòsit part del fons del Convent dels Franciscans. Dos importants fonts documentals que formen part de la biblioteca són el de l’Arxiu i Biblioteca Medinacelli i la Biblioteca dels Ducs de Gor de Granada, a més de la incorporació posterior dels fons dels bibliòfils Luís Planduria i Pedro Sampol<br />",,1990-09-15,CONCHEFF,2024-04-02,SORIANO,UNIVERSAL*INTERNET_CLASS*EMA,biblioteca@fundacionbmarch.es,,,Ciutat de Mallorca: B. March
BITECA libid 1030,LIBRARY*NAME_CLASS*SHORT,Inguimbertine,,,,,,,"234, Boulevard Albin-Durand",Carpentras,,France,84200,04 90630492,LIBRARY*PHONE_LOC*MAIN,,Isabelle,Battez,,,Directora,,,,dm. i dj. 14-18h,"dilluns, festius i temporada d’estiu",,,LIBRARY*CALL_TYPE*V,2004-09-16,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*TRA,BITECA bibid 3530,1.0,"xiv-xxii, xliii-v",09286,,,,,,,,,,"biblioteca fundada el 1745; rebé fons de Casimir-François-Henri Barjavel (1868) 10000 volums, del canconge Seguin 221 volums en1896 i es fundà sobre el llegat del bisbe Malachie d’Inguimbert mort en 1757; Inguimbert havia adquirit abans els llibres d’Henri-Joseph de Merangues mort el 1743.<br /><br />Canvia l’horari anualment.",tot,1990-09-15,CONCHEFF,2015-07-23,AVENOZA,UNIVERSAL*INTERNET_CLASS*EMA,bib.inguimbertine@ville-carpentras.fr,,,Carpentras: Inguimbertine
BITECA libid 1031,LIBRARY*NAME_CLASS*SHORT,Newberry,,,,,,,,Chicago,IL,USA,,,,,,,,,,,,,,,,,LIBRARY*CALL_TYPE*V,2007,JM,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BITECA bibid 3315,,,,,,,,,,,,,,tot,1990-09-15,CONCHEFF,2010-08-20,AVENOZA,,,,,Chicago: Newberry
BITECA libid 1032,LIBRARY*NAME_CLASS*SHORT,Biblioteca Municipal,,,,,,,"Plaça Cort, 1",Ciutat de Mallorca,,Espanya,07001,(971) 727744,LIBRARY*PHONE_LOC*MAIN,,Concha,Calafat,,,Directora,,,,Dill a div. 8.30-20.30h,,,LIBRARY*FACILITIES*PHOTOCOPY,LIBRARY*CALL_TYPE*V,2009,LS,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BITECA bibid 3268,,389-97,,,,,,,,,,,87 manuscrits. El fitxer de sala duu unes signatures que de vegades no concorden amb les actuals,,1990-09-15,CONCHEFF,2010-08-20,AVENOZA,,,,,Ciutat de Mallorca: Biblioteca Municipal
BITECA libid 1033,LIBRARY*NAME_CLASS*SHORT,Olim Vídua Font de Rubinat,,,,,,,,Reus,,Espanya,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PRIV,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*TRA,BITECA bibid 4795,,,,,,,,,,,,,,tot,1990-09-15,CONCHEFF,2024-05-28,SORIANO,,,,,Reus: Olim Vídua Font de Rubinat
