BIOID,NAME_CLASS,NAME_FIRST,NAME_LAST,NAME_NUMBER,NAME_HONORIFIC,NAME_EPITHET,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,TITLE,TITLE_NUMBER,TITLE_CONNECTOR,TITLE_GEOID,TITLE_Q,TITLE_BD,TITLE_BDQ,TITLE_ED,TITLE_EDQ,TITLE_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_Q,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,AFFILIATION_CLASS,AFFILIATION_TYPE,AFFILIATION_Q,AFFILIATION_GEOID,AFFILIATION_GEOIDQ,AFFILIATION_BD,AFFILIATION_BDQ,AFFILIATION_ED,AFFILIATION_EDQ,AFFILIATION_BASIS,SEX,RELATED_BIOCLASS,RELATED_BIODETAIL,RELATED_BIOID,RELATED_BIOIDQ,RELATED_BIOBD,RELATED_BIOBDQ,RELATED_BIOED,RELATED_BIOEDQ,RELATED_BIOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITECA bioid 1011,BIOGRAPHY*NAME_CLASS*OTHR,Alexandre,Borja,BIOGRAPHY*NAME_NUMBER*VI,,,,,,,,,BIOGRAPHY*TITLE*PAPA,,BIOGRAPHY*TITLE_CONNECTOR*DE,BITECA geoid 1002,,1492-08-11,,1503-08-18,,Cappelli,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1072,,1431-01-01,,,,Wikidata,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*CLERGUESECULAR,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*COSIGERMA,,BITECA bioid 1235,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 1484,1,538-539,Q108316,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2023-11-04,TRIADO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q108316,,2023-11-04,"Alexandre VI, Papa [1492-08-11 - 1503-08-18]"
BITECA bioid 1012,BIOGRAPHY*NAME_CLASS*NATV,Joseph,Coy,,BIOGRAPHY*NAME_HONORIFIC*BATXILLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*SEX*M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,titol,1990-09-15,CONCHEFF,1999-09-12,AVENOZA,,,,,Joseph Coy (batxiller)
BITECA bioid 1013,BIOGRAPHY*NAME_CLASS*NATV,Alfons d’,Aragó,BIOGRAPHY*NAME_NUMBER*III,,el Franc,,,,,,,BIOGRAPHY*TITLE*REI,,BIOGRAPHY*TITLE_CONNECTOR*DE,BITECA geoid 1064,,1285,,1291,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1002,,1265-11-04,,,,,BIOGRAPHY*AFFILIATION_CLASS*REL,BIOGRAPHY*AFFILIATION_CLASS!REL*CATHOLIC,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*PATRÓ,,BITECA bioid 1136,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 1484,1,566-7,Q336855,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2023-10-10,TRIADO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q336855,,2023-10-10,"Alfons d’ Aragó III el Franc, Rei de Corona d’Aragó [1285 - 1291]"
BITECA bioid 1014,BIOGRAPHY*NAME_CLASS*NATV,Alfons de,Catalunya,BIOGRAPHY*NAME_NUMBER*III,,el Benigne,,,,,,,BIOGRAPHY*TITLE*REI,,BIOGRAPHY*TITLE_CONNECTOR*DE,BITECA geoid 1064,,1327,,1336,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1039,,1299,,,,GEC,BIOGRAPHY*AFFILIATION_CLASS*REL,BIOGRAPHY*AFFILIATION_CLASS!REL*CATHOLIC,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*MARIT,,BITECA bioid 1499,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 1484,1,567,Q380088,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2024-02-08,SORIANO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q380088,,2023-10-11,"Alfons de Catalunya III el Benigne, Rei de Corona d’Aragó [1327 - 1336]"
BITECA bioid 1015,BIOGRAPHY*NAME_CLASS*NATV,Alfons d’,Aragó,BIOGRAPHY*NAME_NUMBER*V,,el Magnànim,,,,,,,BIOGRAPHY*TITLE*REI,,BIOGRAPHY*TITLE_CONNECTOR*DE,BITECA geoid 1064,,1418,,1458,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1259,,1396-04-24,,,,Wikidata,BIOGRAPHY*AFFILIATION_CLASS*REL,BIOGRAPHY*AFFILIATION_CLASS!REL*CATHOLIC,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*FILL,,BITECA bioid 1148,,1395,,1458,,visqué a la seva cort,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 1484,1,567-9,Q312304,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2024-05-22,TRIADO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q312304,,2023-10-23,"Alfons d’ Aragó V el Magnànim, Rei de Corona d’Aragó [1418 - 1458]"
BITECA bioid 1016,BIOGRAPHY*NAME_CLASS*TRAN,Alfons,,BIOGRAPHY*NAME_NUMBER*X,,el Savi,,,,,,,BIOGRAPHY*TITLE*REI,,BIOGRAPHY*TITLE_CONNECTOR*DE,BITECA geoid 1069,,1252,,1284,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1003,,1221-11-23,,,,,BIOGRAPHY*AFFILIATION_CLASS*REL,BIOGRAPHY*AFFILIATION_CLASS!REL*CATHOLIC,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*SON-IN-LAW,,BITECA bioid 1188,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 1484,1,564-5,Q47595,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2023-11-09,TRIADO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q47595,,2023-11-08,"Alfons X el Savi, Rei de Castella-Lleó [1252 - 1284]"
BITECA bioid 1017,BIOGRAPHY*NAME_CLASS*NATV,Mateu,Adrià,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*FLO,,,,,1340,,1364,,,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*NOTARI,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*SECRETARI,,BITECA bioid 1189,,,,,,,BIOGRAPHY*RELATED_INSCLASS*PROT,,BITECA insid 1007,,1354,,1364,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 1484,1,186,Q11936181,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2024-05-03,SORIANO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q11936181,,2023-11-16,"Mateu Adrià, notari"
BITECA bioid 1018,BIOGRAPHY*NAME_CLASS*NATV,Dante,Alighieri,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1327,,1265,,,,Wikidata,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*POETA,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*AMIC,,BITECA bioid 1066,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 8556,,,Q1067,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2023-11-21,TRIADO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q1067,,2023-09-19,"Dante Alighieri, poeta"
BITECA bioid 1019,BIOGRAPHY*NAME_CLASS*NATV,Andreu,Febrer i Callís,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1006,,1375,ca.,1426,,negociació,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*POETA,,,,1375,ca.,1444,?,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*ESCRIVÀ,,BITECA bioid 1190,,1407,a.,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BITECA bibid 8556,,,Q3616238,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2023-10-24,TRIADO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q3616238,,2023-09-13,"Andreu Febrer i Callís, poeta (1375 ca. - 1444?)"
BITECA bioid 1020,BIOGRAPHY*NAME_CLASS*NATV,Cristoforo,Landino,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1327,,1424-02-08,,,,Wikidata,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*POETA,,,,,,,,,BIOGRAPHY*SEX*M,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BITECA bibid 8556,,,Q711964,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2024-02-15,SORIANO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q711964,,2023-09-13,"Cristoforo Landino, poeta"
BITECA bioid 1021,BIOGRAPHY*NAME_CLASS*NATV,Bonifaci,Ferrer,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1002,,1355,,,,,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*CLERGUEREGULAR,,,,1355,,1417,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*GERMÀ,,BITECA bioid 1159,,,,,,,BIOGRAPHY*RELATED_INSCLASS*PRI,,BITECA insid 1038,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 7082,,,Q825078,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2024-05-09,SORIANO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q825078,,2023-09-19,"Bonifaci Ferrer, clergue regular (1355 - 1417)"
BITECA bioid 1022,BIOGRAPHY*NAME_CLASS*NATV,Romeu,Sabruguera,,BIOGRAPHY*NAME_HONORIFIC*FRA,,,,,,,,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1001,[?],1261,ca.,1309,[?],Wikidata,BIOGRAPHY*AFFILIATION_CLASS*ORD,BIOGRAPHY*AFFILIATION_CLASS!ORD*OFM,,,,,,,,,BIOGRAPHY*SEX*M,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 8556,,,Q77844128,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2023-11-07,TRIADO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q77844128,,2023-11-07,"Romeu Sabruguera (Fra), OFM"
BITECA bioid 1023,BIOGRAPHY*NAME_CLASS*NATV,Antoni,Canals,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1002,?,1352,c.,,,assisteix al capítol general de Perpinyà,BIOGRAPHY*AFFILIATION_CLASS*ORD,BIOGRAPHY*AFFILIATION_CLASS!ORD*OP,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*ALUMNE,,BITECA bioid 1159,,1396,a quo?,,,,BIOGRAPHY*RELATED_INSCLASS*CAT,de teologia,BITECA insid 1044,,1395,a quo,,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 1745,2,433-436,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2024-03-08,SORIANO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q179280,,2023-09-20,"Antoni Canals, OP"
BITECA bioid 1024,BIOGRAPHY*NAME_CLASS*NATV,Benet,Sant Joan,,,,,,,,,,BIOGRAPHY*TITLE*PRIOR,,BIOGRAPHY*TITLE_CONNECTOR*DEL,BITECA geoid 1409,,,,,,,BIOGRAPHY*MILESTONE_CLASS*FLO,,,BITECA geoid 1409,,1489,,,,,BIOGRAPHY*AFFILIATION_CLASS*ORD,BIOGRAPHY*AFFILIATION_CLASS!ORD*OSH,,,,,,,,,BIOGRAPHY*SEX*M,,,,,,,,,,BIOGRAPHY*RELATED_INSCLASS*PRI,,BITECA insid 1005,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2018-04-06,AVENOZA,,,,,"Benet Sant Joan, Prior del Monestir de Sant Jeroni de la Murtra"
BITECA bioid 1025,BIOGRAPHY*NAME_CLASS*NATV,Gaspar de,Talamanca,,,,,,,,,,BIOGRAPHY*TITLE*AMBAIXADOR,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*FLO,,,,,1450,,1500,,,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*CAVALLER,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*AMBAIXADOR,enviat davant de,BITECA bioid 1452,,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2018-08-13,AVENOZA,,,,,"Gaspar de Talamanca, Ambaixador"
BITECA bioid 1026,BIOGRAPHY*NAME_CLASS*NATV,Joan de,Burs,,BIOGRAPHY*NAME_HONORIFIC*FRA,,,,,,,,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1291,,,,,,,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*CLERGUEREGULAR,,,,,,,,,BIOGRAPHY*SEX*M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2007-07-02,AVENOZA,,,,,"Joan de Burs (Fra), clergue regular"
BITECA bioid 1027,BIOGRAPHY*NAME_CLASS*NATV,Ramon,Ros,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,BITECA geoid 1052,,1320,[?],1400,,,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*JURISTA,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*CLIENT,,BITECA bioid 1941,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VIDOB,BITECA bibid 1696,,565,Q19301700,,,,,,,,,,,,,,Jurisconsult,,1990-09-15,CONCHEFF,2023-09-29,SORIANO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q19301700,,2023-09-29,"Ramon Ros, jurista"
BITECA bioid 1028,BIOGRAPHY*NAME_CLASS*TRAN,Bernat de,Cluny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*CLERGUEREGULAR,,,,,,,,,BIOGRAPHY*SEX*M,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 8556,,,Q826271,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2023-11-15,TRIADO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q826271,,2023-11-14,"Bernat de Cluny, clergue regular"
BITECA bioid 1029,BIOGRAPHY*NAME_CLASS*NATV,Ramon,Vidal de Besalú,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*BOR,,,,,1196,ca.,,,,BIOGRAPHY*AFFILIATION_CLASS*PRO,BIOGRAPHY*AFFILIATION_CLASS!PRO*POETA,,,,,,,,,BIOGRAPHY*SEX*M,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*TRA,BITECA bibid 8556,,,Q577742,,,,,,,,,,,,,,,,1990-09-15,CONCHEFF,2023-10-09,TRIADO,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q577742,,2023-10-09,"Ramon Vidal de Besalú, poeta"
