TEXID,TITLE_UNIFORM,TITLE_UNIFORM_BASIS,TITLE_VARIANT,TITLE_VARIANT_BASIS,TITLE_TRANSLATED,TITLE_TRANSLATED_BASIS,AUTHOR_IDP,AUTHOR_ID,AUTHOR_IDQ,AUTHOR_BASIS,INC_EXP_CLASS,INCIPIT,EXPLICIT,LANGUAGE_TEXT,LANGUAGE_ORIG,LANGUAGE_INTR,METRICS_LENGTH,METRICS_RHYME,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_GEOBASIS,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,CLASS,TYPE,RELATED_BIOCLASS,RELATED_BIODETAIL,RELATED_BIOID,RELATED_BIOIDQ,RELATED_BIOBD,RELATED_BIOBDQ,RELATED_BIOED,RELATED_BIOEDQ,RELATED_BIOBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,RELATED_UNICLASS,RELATED_UNIDETAIL,RELATED_UNIID,RELATED_UNIBASIS,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITECA texid 1001,Sanitate tuenda,,Orde del viure,,Vida i ordre del viure,,Group 1,BITECA bioid 3406,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,UNIFORM_TITLE*LANGUAGE_ORIG*LLATÍ,,,,UNIFORM_TITLE*MILESTONE_CLASS*T,,,,,1440,,1460,,,UNIFORM_TITLE*CLASS*PROSA,,UNIFORM_TITLE*RELATED_BIOCLASS*TRANSLATOR,,BITECA bioid 1002,,,,,,,UNIFORM_TITLE*RELATED_BIBCLASS*TRA,BITECA bibid 5226,,97,,,,,,,,,,,,,,BITECA subid 10002,,,,,,,,1990-09-15,CONCHEFF,2011-11-02,AVENOZA,,,,,"Pseudo-Pietro d’ Àbano di Bologna, Vida i ordre del viure (tr. Desconegut), traduït 1440 - 1460"
BITECA texid 10010,Libell de batalla de fe i respostes,,,,,,Group 1,BITECA bioid 2695,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,BITECA geoid 1002,,,1495,[?],,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10018,,,,,,,,2006-06-08,AVENOZA,2008-12-19,AVENOZA,,,,,"Berenguer de Vilaregut… Libell de batalla de fe i respostes, escrit 1495 [?]"
BITECA texid 10011,Lletres de batalla i respostes,,,,,,Group 1,BITECA bioid 5489,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1424,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10018,,,,,,,,2006-06-09,AVENOZA,2008-12-19,AVENOZA,,,,,"Mendoza, Senyor d’Almazán… Lletres de batalla i respostes, escrit 1424"
BITECA texid 10012,Lletres de batalla i respostes,,,,,,Group 1,BITECA bioid 5490,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,BITECA geoid 1040,,,1431,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10018,,,,,,,,2006-06-09,AVENOZA,2008-12-19,AVENOZA,,,,,"Antoni de Montaperto, Cavaller… Lletres de batalla i respostes, escrit 1431"
BITECA texid 10013,Lletres de batalla i respostes,,,,,,Group 1,BITECA bioid 2495,[?],,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1433,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,BITECA bibid 1225,II,14-35,,,,,,,,,,,,,,BITECA subid 10018,,,,,,,,2006-06-14,AVENOZA,2008-12-19,AVENOZA,,,,,"Joan Ramon Folc Cardona I, 2n. Comte de Cardona… Lletres de batalla i respostes, escrit 1433"
BITECA texid 10014,Lletres de batalla i respostes,,,,,,Group 1,BITECA bioid 5494,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1432,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,BITECA bibid 1225,II,48-106,,,,,,,,,,,,,,BITECA subid 10018,,,,,,,,2006-06-14,AVENOZA,2008-12-19,AVENOZA,,,,,"Joan Tolsa… Lletres de batalla i respostes, escrit 1432"
BITECA texid 10015,Lletra citatòria respecte del desafiament de Joan Tolsa i Joan Marrades,,,,,,Group 1,BITECA bioid 5496,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1432,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10018,,,,,,,,2006-06-14,AVENOZA,2008-12-19,AVENOZA,,,,,"Nicolau, Marquès de Ferrara, Lletra citatòria respecte del desafiament de Joan Tolsa i Joan Marrades, escrit 1432"
BITECA texid 10016,Procès de l’ordre de batalla entre Joan Tolsa i Joan Marrades,,,,,,Group 1,BITECA bioid 5496,[?],,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1432,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10023,,,,,,,,2006-06-14,AVENOZA,,,,,,,"Nicolau, Marquès de Ferrara… Procès de l’ordre de batalla entre Joan Tolsa i Joan Marrades, escrit 1432"
BITECA texid 10017,Sentència sobre la batalla entre Joan Tolsa i Joan Marrades,,,,,,Group 1,BITECA bioid 5496,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1432,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10023,,,,,,,,2006-06-14,AVENOZA,,,,,,,"Nicolau, Marquès de Ferrara, Sentència sobre la batalla entre Joan Tolsa i Joan Marrades, escrit 1432"
BITECA texid 10018,Lletres de batalla i respostes sobre els capítols del “passo honroso”,,,,,,Group 1,BITECA bioid 5497,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1434,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10023,,,,,,,,2006-06-15,AVENOZA,2008-12-19,AVENOZA,,,,,"Riambau de Corbera, Cavaller… Lletres de batalla i respostes sobre els capítols del “passo honroso”, escrit 1434"
BITECA texid 10019,Lletres de batalla i respostes sobre els capítols desafiament del “passo honroso”,,,,,,Group 1,BITECA bioid 5498,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1434,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10023,,,,,,,,2006-06-15,AVENOZA,2008-12-19,AVENOZA,,,,,"Joan de Benavent, Cavaller… Lletres de batalla i respostes sobre els capítols desafiament del “passo honroso”, escrit 1434"
BITECA texid 1002,,,,,Llibre dels judicis de les estrelles,,Group 1,BITECA bioid 1003,,,UNIFORM_TITLE*INC_EXP_CLASS*TEXT,E devets saber que los antics han partit l’esfera en 360 parts,lo que es pus fort de aquell es la malaltia,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,UNIFORM_TITLE*LANGUAGE_ORIG*HEBREU?,UNIFORM_TITLE*LANGUAGE_INTR*CASTELLÀ?,,,UNIFORM_TITLE*MILESTONE_CLASS*T,,,,,1450,[?],1500,ad quem,N. Font i Sagué,UNIFORM_TITLE*CLASS*PROSA,,UNIFORM_TITLE*RELATED_BIOCLASS*TRANSLATOR,,BITECA bioid 1002,,,,,,,UNIFORM_TITLE*RELATED_BIBCLASS*TRA,BITECA bibid 1264,,3,,,,,,,,,,,,,,BITECA subid 10027,,,,,,,edicio,1990-09-15,CONCHEFF,2011-11-02,AVENOZA,,,,,"Abraham Ezra, Llibre dels judicis de les estrelles (tr. Desconegut), traduït 1450 [?] - 1500 ad quem"
BITECA texid 10020,Lletres de batalla i respostes sobre els capítols desafiament del “passo honroso”,,,,,,Group 1,BITECA bioid 5499,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1434,,,,,UNIFORM_TITLE*CLASS*PROSA,,UNIFORM_TITLE*RELATED_BIOCLASS*CORRESPONSAL,,BITECA bioid 1287,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10023,,,,,,,,2006-06-15,AVENOZA,2008-12-19,AVENOZA,,,,,"Ramon de Soler, Cavaller… Lletres de batalla i respostes sobre els capítols desafiament del “passo honroso”, escrit 1434"
BITECA texid 10021,Lletres de batalla i respostes sobre els capítols desafiament del “passo honroso”,,,,,,Group 1,BITECA bioid 5500,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1434,,1435,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10023,,,,,,,,2006-06-15,AVENOZA,2008-12-19,AVENOZA,,,,,"Joan Fabra, Cavaller… Lletres de batalla i respostes sobre els capítols desafiament del “passo honroso”, escrit 1434 - 1435"
BITECA texid 10022,Lletra de batalla i resposta,,,,,,Group 1,BITECA bioid 5503,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1435,[?],,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10023,,,,,,,,2006-06-15,AVENOZA,2008-12-19,AVENOZA,,,,,"Rei de Tunis… Lletra de batalla i resposta, escrit 1435 [?]"
BITECA texid 10023,Lletra tramesa quan es revoltaren contra el duc de Milà,,,,,,Group 1,BITECA insid 1317,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1436,,,,,UNIFORM_TITLE*CLASS*PROSA,,UNIFORM_TITLE*RELATED_BIOCLASS*CORRESPONSAL,,BITECA bioid 1951,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10023,,,,,,,,2006-06-20,AVENOZA,2008-12-19,AVENOZA,,,,,"Genovesos, Lletra tramesa quan es revoltaren contra el duc de Milà, escrit 1436"
BITECA texid 10024,Deseiximents i respostes,,,,,,Group 1,BITECA bioid 3546,[?],,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1438,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10023,,,,,,,,2006-06-20,AVENOZA,2008-12-19,AVENOZA,,,,,"Montagut de Montagut… Deseiximents i respostes, escrit 1438"
BITECA texid 10025,"Suplicació al rei, deseiximents i respostes",,,,,,Group 1,BITECA bioid 5506,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1427,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10023,,,,,,,,2006-06-20,AVENOZA,2008-12-19,AVENOZA,,,,,"Pere Boïl de Ladró… Suplicació al rei, deseiximents i respostes, escrit 1427"
BITECA texid 10026,"Requesta de batalla a ultrança, lletres de batalla i respostes",,,,,,Group 1,BITECA bioid 5507,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1439,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10023,,,,,,,,2006-06-21,AVENOZA,2008-12-19,AVENOZA,,,,,"Joan Boyl… Requesta de batalla a ultrança, lletres de batalla i respostes, escrit 1439"
BITECA texid 10027,"Requesta de batalla a ultrança, lletres de batalla i respostes",,,,,,Group 1,BITECA bioid 5479,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1418,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10023,,,,,,,,2006-06-21,AVENOZA,2008-12-19,AVENOZA,,,,,"Joan de Vilaragut… Requesta de batalla a ultrança, lletres de batalla i respostes, escrit 1418"
BITECA texid 10028,Capítols del pas de les hermites,,Chapitres du Pas des Hermites,"Riquer, III: 6-7",,,Group 1,BITECA bioid 5512,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,UNIFORM_TITLE*LANGUAGE_ORIG*FRANCÈS?,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,capítols signats per Bauffremont,,,,1410,[?],1440,[?],RAH Salazar y Castro N-68 ff. 393-395,UNIFORM_TITLE*CLASS*PROSA,,UNIFORM_TITLE*RELATED_BIOCLASS*TRANSLATOR,,BITECA bioid 1002,,,,,,,UNIFORM_TITLE*RELATED_BIBCLASS*TRA,BITECA bibid 6902,,,103.1.1,,,,,,UNIFORM_TITLE*RELATED_UNICLASS*PAR,"capítols reproduïts en francès a la crònica d’Enguerrand de Monstrelet (llibre II, caps. CCLXX i CCLXXI (VII, pp. 210-15)",,,,,,BITECA subid 10023,,,,,,,,2006-06-21,AVENOZA,2021-11-03,SORIANO,,,,,"Pierre de Bauffremont, Cavaller, Capítols del pas de les hermites (tr. Desconegut), escrit 1410 [?] - 1440 [?]"
BITECA texid 10029,Capítols per guardar e defendre un pas d’armes a Catania,,,,,,Group 1,BITECA bioid 5514,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,UNIFORM_TITLE*LANGUAGE_ORIG*ITALIÀ?,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,BITECA geoid 1349,,,1410,[?],1440,[?],,UNIFORM_TITLE*CLASS*PROSA,,UNIFORM_TITLE*RELATED_BIOCLASS*TRANSLATOR,,BITECA bioid 1002,[?],,,,,,,BITECA bibid 1225,III,10-18,,,,,,,,,,,,,,BITECA subid 10023,,,,,,,,2006-06-21,AVENOZA,2015-10-11,AVENOZA,,,,,"Joan de Bonifaci, Capítols per guardar e defendre un pas d’armes a Catania (tr. Desconegut), escrit 1410 [?] - 1440 [?]"
BITECA texid 1003,Atlas català,,,,,,Group 1,BITECA bioid 1004,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,BITECA geoid 1014,,,1375,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,UNIFORM_TITLE*RELATED_BIBCLASS*TRA,BITECA bibid 1045,2,329,,,,,,,,,,,,,,BITECA subid 10134,,,,,,,,1990-09-15,CONCHEFF,2019-12-23,AVENOZA,,,,,"Cresques Abraham, Atlas català, escrit 1375"
BITECA texid 10030,Lletres de batalla i respostes,,,,,,Group 1,BITECA bioid 5516,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1433,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10023,,,,,,,,2006-06-21,AVENOZA,2008-12-19,AVENOZA,,,,,"Joan de Híjar, Senyor d’Senyoriu d’Híxar… Lletres de batalla i respostes, escrit 1433"
BITECA texid 10031,Lletres de batalla i respostes,,,,,,Group 1,BITECA bioid 5518,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1441,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10023,,,,,,,,2006-06-21,AVENOZA,2008-12-19,AVENOZA,,,,,"Joan de Pau, Cavaller… Lletres de batalla i respostes, escrit 1441"
BITECA texid 10032,Lletres de batalla i respostes,,,,,,Group 1,BITECA bioid 5520,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*W,,,,,1443,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10023,,,,,,,,2006-06-21,AVENOZA,2008-12-19,AVENOZA,,,,,"Joan de Foxà, Cavaller… Lletres de batalla i respostes, escrit 1443"
BITECA texid 10033,Capítols de l’any 1501 (2),,,,,,Group 1,BITECA insid 1061,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*M,,BITECA geoid 1002,,,1501,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA geoid 1002,,BITECA subid 10017,,,,,,,,2006-09-04,AVENOZA,,,,,,,"Confraria del gloriós sant Jeroni, Capítols de l’any 1501 (2), promulgat 1501"
BITECA texid 10034,Capítols de l’any 1514,,,,,,Group 1,BITECA insid 1061,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*M,,BITECA geoid 1002,,,1514,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA geoid 1002,,BITECA subid 10017,,,,,,,,2006-09-04,AVENOZA,,,,,,,"Confraria del gloriós sant Jeroni, Capítols de l’any 1514, promulgat 1514"
BITECA texid 10035,Capítols dels velluters,,,,,,Group 1,BITECA insid 1061,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,,,,,UNIFORM_TITLE*MILESTONE_CLASS*M,,BITECA geoid 1002,,,1511,,,,,UNIFORM_TITLE*CLASS*PROSA,,,,,,,,,,,,,,,,,,,,,,,,,,BITECA geoid 1002,,BITECA subid 10017,,,,,,,,2006-09-04,AVENOZA,,,,,,,"Confraria del gloriós sant Jeroni, Capítols dels velluters, promulgat 1511"
BITECA texid 10036,Ordo tradendi corpus domini,,,,Ritual per transportar el cos de Crist,,Group 1,BITECA bioid 1002,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,UNIFORM_TITLE*LANGUAGE_ORIG*LLATÍ,,,,UNIFORM_TITLE*MILESTONE_CLASS*T,,,,,,,1509,ad quem,,UNIFORM_TITLE*CLASS*PROSA,,UNIFORM_TITLE*RELATED_BIOCLASS*TRANSLATOR,,BITECA bioid 1002,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10061,,,,,,,,2006-09-12,AVENOZA,2006-09-12,AVENOZA,,,,,"Desconegut, Ritual per transportar el cos de Crist (tr. Desconegut), traduït 1509 ad quem"
BITECA texid 10037,Sobre les últimes voluntats,,,,,,Group 1,BITECA bioid 1002,,,,,,UNIFORM_TITLE*LANGUAGE_TEXT*CATALÀ,UNIFORM_TITLE*LANGUAGE_ORIG*LLATÍ,,,,UNIFORM_TITLE*MILESTONE_CLASS*T,,,,,,,1509,ad quem,,UNIFORM_TITLE*CLASS*PROSA,,UNIFORM_TITLE*RELATED_BIOCLASS*TRANSLATOR,,BITECA bioid 1002,,,,,,,,,,,,,,,,,,,,,,,,BITECA subid 10061,,,,,,,,2006-09-12,AVENOZA,,,,,,,"Desconegut, Sobre les últimes voluntats (tr. Desconegut), traduït 1509 ad quem"
