SUBID,HEADING_MAIN,HM_CLASS,HM_TYPE,HM_FIELD,HM_BASIS,HEADING_VARIANT,HV_CLASS,HV_TYPE,HV_FIELD,HV_BASIS,HB_SUBID,HB_BASIS,HR_SUBID,HR_BASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITAGAP subid 1225,Poesia - Após 1350 - Lírica,,,,,Poetry - Post 1350 - Lyric,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,BITAGAP subid 1227,,,,,,,,,,,,,,1993-08-11,ASKINS,2017-04-16,SCHAFFER,,,,,Poesia - Após 1350 - Lírica
BITAGAP subid 1226,Poesia - Até 1351 - Religiosa - Cantigas de Santa Maria - Tradição Manuscrita,,,,,Poetry - To 1351 - Religious - Songs of Saint Mary - Manuscript Tradition,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1230,,,,,,,,,,,,,,,,1993-08-11,ASKINS,2017-04-16,SCHAFFER,,,,,Poesia - Até 1351 - Religiosa - Cantigas de Santa Maria - Tradição Manuscrita
BITAGAP subid 1227,Poesia - Após 1350 - Religiosa,,,,,Poetry - Post 1350 - Religious,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,BITAGAP subid 1225,,,BITAGAP bibid 3918,,97-101,,,,,,,,,1993-08-11,ASKINS,2017-04-16,SCHAFFER,,,,,Poesia - Após 1350 - Religiosa
BITAGAP subid 1228,Poesia - Versificação - Métrica,,,,,Poetry - Versification - Metrics,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-08-11,ASKINS,2017-04-16,SCHAFFER,,,,,Poesia - Versificação - Métrica
BITAGAP subid 1229,Poesia - Após 1350 - Colecções - Cancioneiro Geral,,,,,Poesía - Após 1350 - Coleccións - Cancioneiro Geral,SUBJECT*VARIANT_CLASS*GALICIAN,,,,BITAGAP subid 1314,,BITAGAP subid 1228,,,BITAGAP bibid 3928,,81-82,,,,,,,,,1993-08-11,ASKINS,2017-04-16,SCHAFFER,,,,,Poesia - Após 1350 - Colecções - Cancioneiro Geral
BITAGAP subid 1230,Poesia - Até 1351 - Religiosa - Cantigas de Santa Maria,,,,,Poetry - To 1351 - Religious - Songs of Saint Mary,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,BITAGAP subid 1226,,,,,,,,,,,,,,1993-08-11,ASKINS,2017-04-16,SCHAFFER,,,,,Poesia - Até 1351 - Religiosa - Cantigas de Santa Maria
BITAGAP subid 1231,Poesia - Após 1350 - Épica,,,,,Poesía - Após 1350 - Épica,SUBJECT*VARIANT_CLASS*GALICIAN,,,,,,BITAGAP subid 1225,,,BITAGAP bibid 3868,,237-38,,,,,,,,,1993-08-11,ASKINS,2017-04-16,SCHAFFER,,,,,Poesia - Após 1350 - Épica
BITAGAP subid 1232,Poesia - Após 1350 - Lírica - Escola Galego-Castelhana,,,,,Poesía - Após 1350 - Lírica - Escola Galego-Castelá,SUBJECT*VARIANT_CLASS*GALICIAN,,,,BITAGAP subid 1225,,,,,,,,,,,,,,,,1993-08-13,ASKINS,2017-04-16,SCHAFFER,,,,,Poesia - Após 1350 - Lírica - Escola Galego-Castelhana
BITAGAP subid 1233,Bestiários - Animais,,,,,Bestiary - Bestiaries - Animals,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,BITAGAP bibid 3868,,83-85,,,,,,,,,1993-08-13,ASKINS,2017-04-16,SCHAFFER,,,,,Bestiários - Animais
BITAGAP subid 1234,Falcoaria - Cetreria,,,,,Falconry - Hawking,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,BITAGAP subid 1233,,,,,,,,,,,,,,1993-08-13,ASKINS,2017-04-16,SCHAFFER,,,,,Falcoaria - Cetreria
BITAGAP subid 1235,Veterinária - Alveitaria,,,,,Veterinaria - Albeitaría,SUBJECT*VARIANT_CLASS*GALICIAN,,,,BITAGAP subid 1004,,BITAGAP subid 1233,,,,,,,,,,,,,,1993-08-13,ASKINS,2017-04-16,SCHAFFER,,,,,Veterinária - Alveitaria
BITAGAP subid 1236,Equitação - Gineta,,,,,Equitación - Xinete,SUBJECT*VARIANT_CLASS*GALICIAN,,,,BITAGAP subid 1233,,,,,,,,,,,,,,,,1993-08-13,ASKINS,2014-09-27,ASKINS,,,,,Equitação - Gineta
BITAGAP subid 1237,Impressos - Incunábulos - Catálogos,,,,,Printings - Incunables - Catalogues,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1315,,BITAGAP subid 1238,,,,,,,,,,,,,,1993-08-15,ASKINS,2017-11-15,ASKINS,,,,,Impressos - Incunábulos - Catálogos
BITAGAP subid 1238,Impressos - Incunábulos - Estudos,,,,,Printings - Incunables - Studies,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1315,,BITAGAP subid 1237,,,,,,,,,,,,,,1993-08-15,ASKINS,2017-04-16,SCHAFFER,,,,,Impressos - Incunábulos - Estudos
BITAGAP subid 1239,Impressos - Incunábulos - Edições,,,,,Impresos - Incunables - Edicións,SUBJECT*VARIANT_CLASS*GALICIAN,,,,BITAGAP subid 1315,,BITAGAP subid 1237,,,,,,,,,,,,,,1993-08-15,ASKINS,2014-10-11,ASKINS,,,,,Impressos - Incunábulos - Edições
BITAGAP subid 1240,Ortografia - Pontuação,,,,,Orthography - Punctuation,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,BITAGAP subid 1002,,,,,,,,,,,,,,1993-08-16,ASKINS,2017-04-16,SCHAFFER,,,,,Ortografia - Pontuação
BITAGAP subid 1241,Relações com as Américas,,,,,Foreign Affairs - New World,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,BITAGAP subid 1321,,,,,,,,,,,,,,1993-08-16,ASKINS,2017-04-16,SCHAFFER,,,,,Relações com as Américas
BITAGAP subid 1242,Relações com a África e Ilhas,,,,,Foreign Affairs - Africa - Atlantic Islands,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,BITAGAP subid 1322,,,,,,,,,,,,,,1993-08-16,ASKINS,2017-04-16,SCHAFFER,,,,,Relações com a África e Ilhas
BITAGAP subid 1243,Música,,,,,Music,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,BITAGAP bibid 3868,,468-70,,,,,,,,,1993-08-16,ASKINS,2017-08-22,SHARRER,,,,,Música
BITAGAP subid 1244,Viagens,,,,,Travels - Journeys - Travel Literature,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,BITAGAP subid 1003,,,BITAGAP bibid 3868,,394-96,,,,,,,,,1993-08-16,ASKINS,2014-09-27,ASKINS,,,,,Viagens
BITAGAP subid 1245,Viagens - Visionárias,,,,,Viaxes - Visionarias,SUBJECT*VARIANT_CLASS*GALICIAN,,,,BITAGAP subid 1312,,BITAGAP subid 1244,,,BITAGAP bibid 3336,,394-96,,,,,,,,,1993-08-16,ASKINS,2014-09-27,ASKINS,,,,,Viagens - Visionárias
BITAGAP subid 1246,Cortes,,,,,Parliaments,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1328,,BITAGAP subid 1306,,,BITAGAP bibid 4157,2.0,49-56,,,,,,,,,1993-08-16,ASKINS,2017-04-16,SCHAFFER,,,,,Cortes
BITAGAP subid 1247,Genealogia - Linhagens,,,,,Xenealoxía - Liñaxes,SUBJECT*VARIANT_CLASS*GALICIAN,,,,,,,,,BITAGAP bibid 3868,,419-21,,,,,,,,,1993-08-16,ASKINS,2014-09-27,ASKINS,,,,,Genealogia - Linhagens
BITAGAP subid 1248,Suporte - Marcas de Água - Encadernação,,,,,Soporte - Marcas de Auga - Encadernación,SUBJECT*VARIANT_CLASS*GALICIAN,,,,BITAGAP subid 1270,,BITAGAP subid 1249,,,,,,,,,,,,,,1993-08-16,ASKINS,2020-08-07,SHARRER,,,,,Suporte - Marcas de Água - Encadernação
BITAGAP subid 1249,Iluminuras - Miniaturas - Ornatos - Elementos decorativos,,,,,Illuminations - Miniatures - Ornaments - Decorative elements,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1270,,BITAGAP subid 1248,,,,,,,,,,,,,,1993-08-16,ASKINS,2021-09-13,SHARRER,,,,,Iluminuras - Miniaturas - Ornatos - Elementos decorativos
BITAGAP subid 1250,Tipografia,,,,,Typography,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1270,,BITAGAP subid 1248,,,BITAGAP bibid 3868,,624-27,,,,,,,,,1993-08-16,ASKINS,2017-04-16,SCHAFFER,,,,,Tipografia
BITAGAP subid 1251,Forais,,,,,Charters - Municipal,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1364,,BITAGAP subid 1328,,,,,,,,,,,,,,1993-08-16,ASKINS,2017-04-16,SCHAFFER,,,,,Forais
BITAGAP subid 1252,Bíblia,,,,,Bible,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,BITAGAP bibid 3868,,"85-88, 88-92",,,,,,,,,1993-08-17,ASKINS,2017-04-16,SCHAFFER,,,,,Bíblia
BITAGAP subid 1253,Antologias - Crestomatias - Florilégios,,,,,Anthologies - Chrestomathies,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,BITAGAP subid 1258,,,,,,,,,,,,,,1993-08-17,ASKINS,2014-09-24,ASKINS,,,,,Antologias - Crestomatias - Florilégios
BITAGAP subid 1254,Direito - Colecções - Comentários,,,,,Dereito - Coleccións de - Comentarios,SUBJECT*VARIANT_CLASS*GALICIAN,,,,BITAGAP subid 1306,,BITAGAP subid 1251,,,,,,,,,,,,,,1993-08-18,ASKINS,2020-08-07,SHARRER,,,,,Direito - Colecções - Comentários
BITAGAP subid 1255,Teatro,,,,,Theater,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,BITAGAP bibid 3868,,"220-22, 235-36, 463-64, 618-22",,,,,,,,,1993-08-18,ASKINS,2017-04-16,SCHAFFER,,,,,Teatro
BITAGAP subid 1256,Iconografia,,,,,Iconography,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,BITAGAP bibid 3868,,319-22,,,,,,,,,1993-08-18,ASKINS,2017-04-16,SCHAFFER,,,,,Iconografia
BITAGAP subid 1257,Culinária,,,,,Cooking,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-08-18,ASKINS,2017-04-16,SCHAFFER,,,,,Culinária
BITAGAP subid 1258,Literatura Portuguesa - Guias - Histórias - Dicionários,,,,,Portuguese Literature - Guides - Histories - Dictionaries,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,BITAGAP subid 1253,,,,,,,,,,,,,,1993-08-18,ASKINS,2017-04-16,SCHAFFER,,,,,Literatura Portuguesa - Guias - Histórias - Dicionários
BITAGAP subid 1259,Literatura Galega - Guias - Histórias - Dicionários,,,,,Literatura Galega - Guías - Historias - Dicionarios,SUBJECT*VARIANT_CLASS*GALICIAN,,,,,,BITAGAP subid 1253,,,,,,,,,,,,,,1993-08-18,ASKINS,2017-04-16,SCHAFFER,,,,,Literatura Galega - Guias - Histórias - Dicionários
BITAGAP subid 1260,Transcrição - Normas,,,,,Transcrición - Normas,SUBJECT*VARIANT_CLASS*GALICIAN,,,,BITAGAP subid 1270,,BITAGAP subid 1453,,,,,,,,,,,,,,1993-08-18,ASKINS,2020-08-07,SHARRER,,,,,Transcrição - Normas
BITAGAP subid 1261,Ciclo Bretão - Matéria de Bretanha - Literatura Arturiana,,,,,Breton Cycle - Matter of Britain - Arthurian Literature,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,BITAGAP bibid 4058,,39-75,,,,,,,,,1993-08-18,ASKINS,2017-04-16,SCHAFFER,,,,,Ciclo Bretão - Matéria de Bretanha - Literatura Arturiana
BITAGAP subid 1262,Crónicas - Histórias Medievais,,,,,Chronicles - Medieval Histories,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,BITAGAP subid 1338,,,BITAGAP bibid 3868,,312-15,,,,,,,,,1993-08-18,ASKINS,2017-04-16,SCHAFFER,,,,,Crónicas - Histórias Medievais
BITAGAP subid 1263,Astronomia - Astrologia - Almanaques,,,,,Astronomy - Astrology - Almanacs,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-08-18,ASKINS,2017-04-16,SCHAFFER,,,,,Astronomia - Astrologia - Almanaques
BITAGAP subid 1264,Educação - Ensino,,,,,Educación - Ensino,SUBJECT*VARIANT_CLASS*GALICIAN,,,,,,,,,,,,,,,,,,,,1993-08-18,ASKINS,2014-09-29,ASKINS,,,,,Educação - Ensino
BITAGAP subid 1265,Glossários,,,,,Glosarios,SUBJECT*VARIANT_CLASS*GALICIAN,,,,BITAGAP subid 1426,,BITAGAP subid 1266,,,BITAGAP bibid 3868,,391-93,,,,,,,,,1993-08-19,ASKINS,2016-07-08,ASKINS,,,,,Glossários
BITAGAP subid 1266,Dicionários - Léxicos - Vocabulários,,,,,Dictionaries - Lexicons - Vocabularies,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1426,,BITAGAP subid 1265,,,BITAGAP bibid 3868,,390-91,,,,,,,,,1993-08-19,ASKINS,2017-04-16,SCHAFFER,,,,,Dicionários - Léxicos - Vocabulários
BITAGAP subid 1267,Cristologia,,,,,Christology,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,BITAGAP subid 1268,,,,,,,,,,,,,,1993-08-19,ASKINS,2014-09-24,ASKINS,,,,,Cristologia
BITAGAP subid 1268,Mariologia,,,,,Mariology,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,BITAGAP subid 1267,,,,,,,,,,,,,,1993-08-24,ASKINS,2014-09-25,ASKINS,,,,,Mariologia
BITAGAP subid 1269,"Duarte, D. - Leal Conselheiro",,,,,"Duarte, D. - Leal Conselheiro",SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-08-25,ASKINS,2017-04-16,SCHAFFER,,,,,"Duarte, D. - Leal Conselheiro"
BITAGAP subid 1270,Bibliologia - Diplomática - Codicologia,,,,,Bibliology - Diplomatics - Codicology,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,BITAGAP subid 1324,,,,,,,,,,,,,,1993-08-30,ASKINS,2017-11-15,ASKINS,,,,,Bibliologia - Diplomática - Codicologia
BITAGAP subid 1271,Lexicologia,,,,,Lexicology,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1426,,BITAGAP subid 1265,,,BITAGAP bibid 3868,,389-93,,,,,,,,,1993-08-30,ASKINS,2016-07-08,ASKINS,,,,,Lexicologia
BITAGAP subid 1272,Agricultura,,,,,Agriculture,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-09-03,ASKINS,2017-04-16,SCHAFFER,,,,,Agricultura
BITAGAP subid 1273,Epistolografia - Cartas pessoais,,,,,Epistolography - Personal Correspondence (Letters),SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-09-03,ASKINS,2017-11-15,ASKINS,,,,,Epistolografia - Cartas pessoais
BITAGAP subid 1274,Oratória,,,,,Oratory,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-09-03,ASKINS,2017-04-16,SCHAFFER,,,,,Oratória
BITAGAP subid 1275,Cavalaria [Novelas de - Romances de],,,,,Chivalry [Novels - Romances],SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1281,,,,,BITAGAP bibid 3868,,475-77,,,,,,,,,1993-09-07,ASKINS,2020-08-14,SHARRER,,,,,Cavalaria [Novelas de - Romances de]
BITAGAP subid 1276,Leis de dereitos de portagens,,,,,Laws of toll duties,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1306,,BITAGAP subid 1308,,,,,,,,,,,,,,1993-09-07,ASKINS,2017-11-15,ASKINS,,,,,Leis de dereitos de portagens
BITAGAP subid 1277,Relações com Europa - Tratados,,,,,Foreign Affairs - Europe - Treaties,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,BITAGAP subid 1301,,,,,,,,,,,,,,1993-09-07,ASKINS,2017-04-16,SCHAFFER,,,,,Relações com Europa - Tratados
BITAGAP subid 1278,Ciclo Clássico,,,,,Classical Cycle,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,BITAGAP subid 1338,,,BITAGAP bibid 6729,,192-98,,,,,,,,,1993-09-12,ASKINS,2014-09-24,ASKINS,,,,,Ciclo Clássico
BITAGAP subid 1279,Ciclo Carolíngio - Matéria Carolíngia - Matéria de França,,,,,Carolingian Cycle - Matter of Charlemagne,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-09-12,ASKINS,2020-08-07,SHARRER,,,,,Ciclo Carolíngio - Matéria Carolíngia - Matéria de França
BITAGAP subid 1280,Relações com o Médio Oriente e Ásia,,,,,Foreign Affairs - Relations with the Middle East and Orient,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,,,,,,,,,,,,1993-11-04,ASKINS,2017-04-16,SCHAFFER,,,,,Relações com o Médio Oriente e Ásia
BITAGAP subid 1281,Cavalaria,,,,,Chivalry - Knighterrantry,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,BITAGAP bibid 3868,,152-54,,,,,,,,,1993-12-18,ASKINS,2017-04-16,SCHAFFER,,,,,Cavalaria
BITAGAP subid 1282,Leis - D. Afonso II,,,,,Laws - D. Afonso II,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1306,,,,,,,,,,,,,,,,1993-12-21,ASKINS,2017-04-16,SCHAFFER,,,,,Leis - D. Afonso II
BITAGAP subid 1283,Leis - D. Afonso III,,,,,Laws - D. Afonso III,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1306,,,,,,,,,,,,,,,,1993-12-21,ASKINS,2017-04-16,SCHAFFER,,,,,Leis - D. Afonso III
BITAGAP subid 1284,Leis - D. Dinis,,,,,Laws - Denis,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1306,,,,,,,,,,,,,,,,1993-12-21,ASKINS,2017-04-16,SCHAFFER,,,,,Leis - D. Dinis
BITAGAP subid 1285,Leis - D. Afonso IV,,,,,Laws - D. Afonso IV,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1306,,,,,BITAGAP bibid 4859,2.0,189-90,4.0,,,,,,,,1993-12-21,ASKINS,2017-04-16,SCHAFFER,,,,,Leis - D. Afonso IV
BITAGAP subid 1286,Leis - D. Fernando,,,,,Laws - Fernando I,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1306,,,,,BITAGAP bibid 4846,,573-74,,,,,,,,,1993-12-21,ASKINS,2017-04-16,SCHAFFER,,,,,Leis - D. Fernando
BITAGAP subid 1287,Leis - D. Pedro,,,,,Laws - Pedro I,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1306,,,,,,,,,,,,,,,,1993-12-21,ASKINS,2017-04-16,SCHAFFER,,,,,Leis - D. Pedro
BITAGAP subid 1288,Leis - D. João I,,,,,Laws - John I,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1306,,,,,,,,,,,,,,,,1993-12-21,ASKINS,2017-04-16,SCHAFFER,,,,,Leis - D. João I
BITAGAP subid 1289,Leis - D. Duarte,,,,,Laws - Edward,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1306,,,,,,,,,,,,,,,,1993-12-21,ASKINS,2017-04-16,SCHAFFER,,,,,Leis - D. Duarte
BITAGAP subid 1290,Leis - D. Afonso V,,,,,Laws - Afonso V,SUBJECT*VARIANT_CLASS*ENGLISH,,,,BITAGAP subid 1306,,,,,,,,,,,,,,,,1993-12-21,ASKINS,2017-04-16,SCHAFFER,,,,,Leis - D. Afonso V
BITAGAP subid 1291,Judeus - Comuna - Comunas - Judiaria - Judiarias,,,,,Jews - Jewish Community - Jewish Communities - Jewish Quarter- Jewish Quarters,SUBJECT*VARIANT_CLASS*ENGLISH,,,,,,,,,BITAGAP bibid 3868,,366-67,,,,,,,,,1993-12-21,ASKINS,2023-01-29,SCHAFFER,,,,,Judeus - Comuna - Comunas - Judiaria - Judiarias
BITAGAP subid 1292,Mouros - Árabes - Muçulmanos - Comuna - Comunas - Mouraria - Mourarias,,,,,Mouros - Árabes,SUBJECT*VARIANT_CLASS*GALICIAN,,,,,,,,,,,,,,,,,,,,1993-12-21,ASKINS,2023-01-29,SCHAFFER,,,,,Mouros - Árabes - Muçulmanos - Comuna - Comunas - Mouraria - Mourarias
BITAGAP subid 1293,Visitações,,,,,Visitacións,SUBJECT*VARIANT_CLASS*GALICIAN,,,,BITAGAP subid 1363,,,,,,,,,,,,,,,,1993-12-31,ASKINS,2014-09-27,ASKINS,,,,,Visitações
