MANID,TITLE,TITLE_LOC,TITLE_NICKNAME,MATERIAL,MATERIAL_BASIS,FORMAT,FORMAT_BASIS,STATE,STATE_BASIS,BINDING,BINDING_BASIS,CONDITION,CONDITION_BASIS,LEAF_CLASS,LEAF_COUNT,LEAF_BASIS,COLLATION,COLLATION_BASIS,SIZE_CLASS,SIZE_HEIGHT,SIZE_WIDTH,SIZE_LOC,SIZE_BASIS,PAGE_CLASS,PAGE_DETAIL,PAGE_LOC,PAGE_Q,PAGE_BASIS,HAND_CLASS,HAND_DETAIL,HAND_LOC,HAND_Q,HAND_BASIS,FONT_CLASS,FONT_DETAIL,FONT_LOC,FONT_Q,FONT_BASIS,WATERMARK_CLASS,WATERMARK_DETAIL,WATERMARK_LOC,WATERMARK_Q,WATERMARK_BASIS,GRAPHIC_CLASS,GRAPHIC_DETAIL,GRAPHIC_LOC,GRAPHIC_Q,GRAPHIC_BASIS,MUSIC_CLASS,MUSIC_DETAIL,MUSIC_LOC,MUSIC_Q,MUSIC_BASIS,FEATURE_CLASS,FEATURE_DETAIL,FEATURE_LOC,FEATURE_Q,FEATURE_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_MAKER_IDP,MILESTONE_MAKER_ID,MILESTONE_MAKER_IDQ,MILESTONE_MAKERBASIS,MILESTONE_FUNDER_IDP,MILESTONE_FUNDER_ID,MILESTONE_FUNDER_IDQ,MILESTONE_FUNDERBASIS,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_GEOBASIS,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,OWNER_IDP,OWNER_ID,OWNER_IDQ,OWNER_CALLNO,OWNER_ARMS,OWNER_PRICE,OWNER_CURRENCY,OWNER_GEOID,OWNER_GEOIDQ,OWNER_BD,OWNER_BDQ,OWNER_ED,OWNER_EDQ,OWNER_BASIS,CLASS,FIRST_ANAID,FIRST_TEXSEQ,FIRST_TEXID,RELATED_BIOCLASS,RELATED_BIODETAIL,RELATED_BIOID,RELATED_BIOIDQ,RELATED_BIOBD,RELATED_BIOBDQ,RELATED_BIOED,RELATED_BIOEDQ,RELATED_BIOBASIS,RELATED_LIBID,RELATED_LIBIDQ,RELATED_LIBCOLLECTION,RELATED_LIBCALLNOCLASS,RELATED_LIBCALLNO,RELATED_LIBSEQUENCE,RELATED_LIBBASIS,RELATED_LIBEVENTCLASS,RELATED_LIBEVENTDETAIL,RELATED_LIBEVENTPRICE,RELATED_LIBEVENTCURRENCY,RELATED_LIBEVENTGEOID,RELATED_LIBEVENTGEOIDQ,RELATED_LIBEVENTBD,RELATED_LIBEVENTBDQ,RELATED_LIBEVENTED,RELATED_LIBEVENTEDQ,RELATED_LIBEVENTBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,RELATED_UNICLASS,RELATED_UNIDETAIL,RELATED_UNIID,RELATED_UNILANGUAGE,RELATED_UNIBASIS,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,STATUS,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA manid 1036,,,,,,,,,,,,,,MS_ED*LEAF_CLASS*FF,66 [!],Martínez Díez et al.,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*INI,E de 3 ll. roja con rasgueo sencillo azul interior ({I}Fuero real{/I} libro III),23ra,,,,,,,,,,,,,MS_ED*MILESTONE_CLASS*W,,Group 3,,,,Group 3,,,,,,,1291,,1310,,{I}IGM{/I},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,S-480,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*FAD,BETA bibid 5461,,,MSS/6655,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,http://www.bne.es/es/Micrositios/Guias/Inventario_Manuscritos/resources/docs/invgenmss11x1x.pdf#page=236,{I}IGM{/I},,
BETA manid 1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*INI,L de 3 ll. roja con rasgueo sencillo azul interior ({I}Leyes nuevas{/I}),60ra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,S-180,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*VIFD,BETA bibid 8130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*INIS,2 ll. rojas y azules alternando con rasgueo sencillo del otro color al comienzo de cada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 1004,XI,232,6655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 1017,,126,1142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BETA bibid 1034,,xvii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BETA bibid 4746,VI,215-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1037,fuero de burgos (s. XVI),guarda 4r,Codex E{SI}5{EI} (Martínez Díez),MS_ED*MATERIAL*PARCH,Zarco,,,,,"de piel castaño con el escudo del Escorial en seco dentro de 2 marcos rectangulares en seco, del s. XVIII",Faulhaber,,,MS_ED*LEAF_CLASS*FF,[5: guardas de papel]+ I-IV + 1-104 + [3: guardas de papel],Faulhaber,"1{SS}8 (-1, 2, 3, 5){ES} 2-3{SS}8{ES} 4-6{SS}10{ES} 7{SS}8{ES} 8{SS}10{ES}. [MS 2]: 9-10{SS}10{ES} 11{SS}12{ES} 12{SS}2{ES} 13{SS}6{ES}",Faulhaber,MS_ED*SIZE_CLASS*LEAF,250,181,,Zarco,MS_ED*PAGE_CLASS*COL,2,,,Zarco,MS_ED*HAND_CLASS*GM,redondeada,,,Faulhaber,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*INI,E de 7 ll. con viñas y elementos fitomorfos en blanco sobre fondo verde y dentro de un marco de azul oscuro con puntos blancos al comienzo del texto,1ra,,Faulhaber,,,,,,MS_ED*FEATURE_CLASS*RU,punto de plomo,,,Faulhaber,MS_ED*MILESTONE_CLASS*W,,Group 1,,,,Group 1,,,,,,,1351,ca.,1400,ca.,Martínez Díez 1985,,,,,,,,,,,,,,,MS_ED*CLASS*COMP,BETA cnum 39,10.0,BETA texid 1006,,,,,,,,,,BETA libid 172,,,MS_ED*RELATED_LIBCALLNOCLASS*C,Z-III-13 (1),MA292000,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*DES,BETA bibid 5651,II,49-50,Codex E{SI}5{EI},,,,,,MS_ED*RELATED_UNICLASS*CON,también el calendario litúrgico para los meses de enero (f. Ir-v) y setiembre-octubre (f. IIr-v) en,,MS_ED*RELATED_UNILANGUAGE+1*LATIN,Faulhaber,,,,,,,,,,"Zarco: “Tiene el manuscrito muchas notas marginales”<br /><br />Faulhaber: Tomo facticio, compuesto de un MS de principios del s. XIV ({I}Fuero real{/I}) más otro del s. XV con las {I}Leyes nuevas{/I} y demás textos.<br /><br />Nota en la guarda: “Este códice fue sacado dela Biblioteca en 1842, y le debolvieron | en 1853.: merced à la vigilancia del Bibliotecario mayor | de S. M. D. Manuel Carnicero=”’<br /><br />Rellenos de línea: a partir del f. 21 se repiten los mismos tipos sin ningún orden aparente, aunque predominan las rayas rojas con o sin ángulos y las terminadas de nota tironiana. El uso del azul o rojo parece depender del color de la inicial que sigue, aunque no siempre, predominando el rojo.<br /><br />Alvar 2010:119 cuestiona la atribución del MS al escritorio real de Alfonso X<br />",,MS_ED*STATUS*1C,1985-07-10,FAULHABER,2024-06-21,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://rbmecat.patrimonionacional.es/cgi-bin/koha/opac-detail.pl?biblionumber=1554,RBME Cat.,2023-08-24,"MS: San Lorenzo de El Escorial: Escorial: Monasterio, Z-III-13 (1). 1351 ca. - 1400 ca. Alfonso X, rey de Castilla y León, Corona de, Fuero real, promulgado 1255-07-18."
BETA manid 1037,fuero de burgos dado por el Rey dõ Alonso el sabio | Leyes nueuas del mismo Rey (s. XVIII),guarda 5v,Esc (Roudil),,,,,,,,,,,MS_ED*LEAF_CLASS*FF,4 (tablas) + 108 [!],Zarco,,,MS_ED*SIZE_CLASS*LEAF,249,199,f. 1,Faulhaber,MS_ED*PAGE_CLASS*LIN,29,,,Faulhaber,MS_ED*HAND_CLASS*GO,francesa,,,Zarco,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*INI,T de 6 ll. con viñas y elementos fitomorfos en rosado sobre fondo verde y dentro de un marco de azul oscuro con puntos blancos al comienzo del libro II,11va,,Faulhaber,,,,,,MS_ED*FEATURE_CLASS*RE,rayas rojas terminadas de nota tironiana (--------⁊),"2rb, 5ra, 6rb-8va, 9rb-11rb, 11vb-12rb, 13rb, 14ra-17vb, 18va, 19ra-20vb",,Faulhaber,MS_ED*MILESTONE_CLASS*W,,Group 2,,,,Group 2,,,,,,,1291,ca.?,1310,ca.?,Faulhaber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,IV.Ξ.4,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*DES,BETA bibid 8814,,60-64,ESc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1037,,,,,,,,,,,,,,,,,,,MS_ED*SIZE_CLASS*TXTPG,170,136,,Zarco,,,,,,MS_ED*HAND_CLASS*GR,,,,Martínez Díez,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*INI,E de 8 ll.con viñas y elementos fitomorfos en rosado sobre fondo verde y dentro de un marco de azul oscuro con puntos blancos al comienzo del libro III,24rb,,Faulhaber,,,,,,MS_ED*FEATURE_CLASS*RE,rayas azules terminadas de nota tironiana (--------⁊),"18ra-b, 18vb-19ra, 36vb",,Faulhaber,MS_ED*MILESTONE_CLASS*W,,Group 3,BETA insid 1076,?,Alvar 2010,Group 3,,,,,,,1201,?,1300,?,"Zarco, Craddock, RBME Cat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,III.F.15,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 5350,,,z-iii-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1037,,,,,,,,,,,,,,,,,,,MS_ED*SIZE_CLASS*TXTPG,166,137,1r,Faulhaber,,,,,,,,,,,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*INI,N de 9 ll. habitada de un ave con cabeza de perro con elementos fitomorfos en rosado sobre fondo verde y dentro de un marco de azul oscuro con puntos blancos al comienzo del libro IV,45ra,,Faulhaber,,,,,,MS_ED*FEATURE_CLASS*RE,rayas rojas interrumpidos por espacios (---- ---- ----),"IIIr-IVv, 6rb",,Faulhaber,MS_ED*MILESTONE_CLASS*W,,Group 4,,,,Group 4,,,,,,,1201,?,1400,?,{I}Crestomatía{/I},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,Est _ 15 _ 3,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 1003,III,143-45,Z.III.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1037,,,,,,,,,,,,,,,,,,,MS_ED*SIZE_CLASS*COL,166,62,1ra-b,Faulhaber,,,,,,,,,,,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*INIS,"de caligráficas de 2 ll. rojas y azules, alternando irregularmente, con adornos de rasgueo, al comienzo de cada título",,,Zarco,,,,,,MS_ED*FEATURE_CLASS*RE,rayas rojas,"5rb, 12rb, 13vb, 18ra, 20vb",,Faulhaber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BETA bibid 1032,I,259,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1037,,,,,,,,,,,,,,,,,,,MS_ED*SIZE_CLASS*INTERCOL,,14,1r,Faulhaber,,,,,,,,,,,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*TIT,en rojo,,,Faulhaber,,,,,,MS_ED*FEATURE_CLASS*RE,notas tironianas,"5vb, 8ra, 8vb, 19vb",,Faulhaber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BETA bibid 1034,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
