LIBID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,ADDRESS,CITY,STATE,COUNTRY,PCODE,PHONE,PHONE_LOC,TELEX,CONTACT_FNAME,CONTACT_LNAME,CONTACT_TITLE,CONTACT_SALUTATION,CONTACT_POSITION,CONTACT_PHONE,CONTACT_EMAIL,CONTACT_TYPE,LIBRARY_HOURS,LIBRARY_CLOSED,LIBRARY_DOCUMENTS,LIBRARY_FACILITIES,CALL_TYPE,CALL_DATE,CALL_PERSON,CALL_NOTE,LIBCODE_CLASS,LIBCODE,CLASS,TYPE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA libid 101,LIBRARY*NAME_CLASS*SHORT,Archivo Municipal,,,,,,,,Alba de Tormes,,España,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BETA geoid 1004,,BETA subid 1304,,,,,,,,2009-08-15,WARD,2021-10-20,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://www.villaalbadetormes.com/fuerof.asp,,2009-08-15,Alba de Tormes: Archivo Municipal
BETA libid 1010,LIBRARY*NAME_CLASS*SHORT,Pública,,,,,,,Largo do Colégio s/n,Ponta Delgada,,Portugal,9500-054,296 305 040,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-19,FAULHABER,,,UNIVERSAL*INTERNET_CLASS*URL,http://www.bparpd.azores.gov.pt/bibliopac.htm,Ponta Delgada,2018-02-19,Ponta Delgada: Pública
BETA libid 1011,LIBRARY*NAME_CLASS*SHORT,Casona de Tudanca,,,,,,,"Tudanca, s/n",Tudanca,Cantabria,,39555,9420729025,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,BETA bibid 3952,,,,,,,,,,,,,"CCPB: “La colección, reunida por José María de Cossío (1892-1977) en su Casona de Tudanca (Cantabria) a lo largo de su vida, incluye tanto materiales impresos desde el siglo XVI hasta 1977 año de su muerte. Se trata de una biblioteca personal con más de 14.000 títulos de temática variada, pero con una clara especialización en el ámbito de la literatura y la crítica literaria, como manuscritos de los principales autores de la generación de 27 y de otros autores significativos de los siglos XIX y XX. Algunos de los libros fueron heredados de sus antepasados residentes en la casa, pero en su gran mayoría fueron adquiridos por él o recibidos como regalo por los autores o editores.”",,2018-02-19,FAULHABER,,,UNIVERSAL*INTERNET_CLASS*URL,http://www.museosdecantabria.es/,Museos de Cantabria,2018-02-19,Tudanca: Casona de Tudanca
BETA libid 1012,LIBRARY*NAME_CLASS*SHORT,Archivo Histórico Municipal,,,,,,,Plaza Tetuán 3,Valencia,,España,46003,96.352.54.78 X 2651,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,BETA geoid 1004,,BETA subid 1304,,,,,,,,2018-02-20,FAULHABER,,,UNIVERSAL*INTERNET_CLASS*URL,http://www.museosymonumentosvalencia.com/mas-cultura/biblioteca-serrano-morales/,Generalitat de València,2014-02-23,Valencia: Archivo Histórico Municipal
BETA libid 1015,LIBRARY*NAME_CLASS*SHORT,"BM Padre Lluis Galiana / Casa Velásquez,",,,,,,,"C/ D. Tomás Valls, 16",Onteniente,Valencia,España,46870,962911955,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,BETA bibid 3952,,,,,,,,,,,,,"CCPBE: “Fue fundada en 1975. Está dividida en varios centros, de los cuales el que ejerce como central es la biblioteca Padre Lluis Galiana (creada en 1993). Tiene un pequeño fondo antiguo sobre todo del s. XVIII”",,2019-02-24,FAULHABER,,,UNIVERSAL*INTERNET_CLASS*EMA,ontibiblioteca@cv.gva.es,Onteniente Ayuntamiento,2019-02-23,"Onteniente: BM Padre Lluis Galiana / Casa Velásquez,"
BETA libid 1016,LIBRARY*NAME_CLASS*SHORT,Museo Nacional de Ciencias Naturales,,,,,,,"C/ José Gutierrez Abascal, 2",Madrid,,España,28006,914111328,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,BETA bibid 3952,,,,,,,,,,,,,"CCPBE: La colección bibliográfica nace con el propio Real Gabinete de Historia Natural, antecedente del Museo, teniendo como fondos iniciales parte de la biblioteca particular que el primer director del Gabinete, Pedro Franco Dávila, reunió durante su estancia en París y que donó al Gabinete; la otra parte la había subastado en 1768. Pronto se enriqueció con otras aportaciones, entre ellas la de Eugenio Izquierdo, hombre de confianza de Godoy y segundo director del Gabinete desde 1786 a 1800; su biblioteca se incorporó en 1823. Por otra parte la colección se vio disminuida por la separación de nuevas instituciones museísticas nacidas del Museo de Ciencias Naturales. TambiéN ha sufrido pérdidas de obras valiosas por hurto (Fuente: catálogos de la Biblioteca)<br /><br />",,2019-02-24,FAULHABER,2019-02-24,FAULHABER,UNIVERSAL*INTERNET_CLASS*EMA,biblioteca@mncn.csic.es,CSIC,2019-02-23,Madrid: Museo Nacional de Ciencias Naturales
BETA libid 1017,LIBRARY*NAME_CLASS*CURRENT,Museu de Arte Sacra de Santa Maria de Arouca,,,,,,,Mosteiro de Arouca,Arouca,,Portugal,4540-101,+351 256 943 321,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,BETA bibid 4738,,,,,,,,,,,,,,,2019-04-15,FAULHABER,,,UNIVERSAL*INTERNET_CLASS*EMA,museu.arte.sacra@mail.telepac.pt,Museu Arte Sacra,2019-04-15,Arouca: Museu de Arte Sacra
BETA libid 1018,LIBRARY*NAME_CLASS*SHORT,Biblioteca de México,,,,,,,Plaza de la Ciudadela No.4,"México, D.F.",,México,06040,(01 55) 41 55 08 30,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,BETA geoid 1020,,BETA subid 1300,,,,,,,,2019-04-29,FAULHABER,,,UNIVERSAL*INTERNET_CLASS*URL,https://www.bibliotecademexico.gob.mx/,Biblioteca de México,2019-04-19,"México, D.F.: Biblioteca de México"
BETA libid 1019,LIBRARY*NAME_CLASS*CURRENT,Luis Felipe Leal Pessoa Ferreira da Silva,,,,,,,"Rua de Buenos Aires, 12 - 1{SS}o{ES}",Lisboa,,Portugal,1299-624,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PRIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-06-09,FAULHABER,2019-06-09,FAULHABER,,,,,Lisboa: Ferreira da Silva
BETA libid 102,LIBRARY*NAME_CLASS*SHORT,Hertzberger,,,,,,,,Amsterdam,,Nederland,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PRIV,,,,,,,,,,,,,,,,,,,,,,,,,,BETA geoid 1820,,BETA subid 1297,,,,,,,,2009-10-21,FAULHABER,2016-11-28,FAULHABER,,,,,Amsterdam: Hertzberger
BETA libid 1020,LIBRARY*NAME_CLASS*CURRENT,Nasjonalbiblioteket,,,,,,,Henrik Ibsens gate 110,Oslo,,Norge,0255,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,BETA bibid 4653,,,,,,,,,,,,,,,2019-08-02,FAULHABER,,,UNIVERSAL*INTERNET_CLASS*EMA,nb@nb.no,Wikipedia,2019-08-02,Oslo: Nasjonalbiblioteket
BETA libid 1021,LIBRARY*NAME_CLASS*CURRENT,Den Arnamagnæanske håndskriftsamling,,,,,,,Institut for Nordiske Studier og Sprogvidenskab (NorS),Kobenhavn,,Danmark,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BETA bibid 4572,,,,,,,,,,,,,,,2019-08-02,FAULHABER,2019-08-07,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://es.wikipedia.org/wiki/Instituto_Arnamagn%C3%A6an,Wikipedia,2019-08-02,Kobenhavn: Arnamagnæanske Samling
BETA libid 1022,LIBRARY*NAME_CLASS*SHORT,Stadtbibliothek,,,,,,,Wilhelm-Leuschner-Platz 10 - 11,Leipzig,,Deutschland,04107,	0341 123-5341,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,lm jv 1000 - 1900,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,LIBRARY*RELATED_INSCLASS*CFR,,BETA insid 5515,,,,,,,,,,,,,BETA geoid 1248,,BETA subid 1291,,,,,,,,2019-10-16,FAULHABER,2024-03-18,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://stadtbibliothek.leipzig.de,Stadtbibliothek Leipzig,2019-10-16,Leipzig: Stadtbibliothek
BETA libid 1023,LIBRARY*NAME_CLASS*CURRENT,Bibliothèque Ceccano,,,,,,,"2 bis, rue laboureur",Avignon,,France,8400,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-06,PEREA,,,UNIVERSAL*INTERNET_CLASS*URL,https://bibliotheques.avignon.fr/in/faces/homeInBook.xhtml,OPAC,2019-11-06,Avignon: Ceccano
BETA libid 1024,LIBRARY*NAME_CLASS*CURRENT,Universitätsbibliothek Johann Christian Senckenberg,,,,,,,Bockenheimer Landstr. 134-138,Frankfurt am Main,,,60325,069/ 798-39205,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-12,FAULHABER,2020-01-12,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.ub.uni-frankfurt.de/,Universitätsbibliothek Frankfurt a/M,2020-01-12,Frankfurt am Main: Universität
BETA libid 1025,LIBRARY*NAME_CLASS*SHORT,Valentiniana,,,,,,,Via Madonna delle Carceri (c/o Rotary Palace),Camerino,Macerata,Italia,62032,+39 0737 632 440,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BETA bibid 8193,,,,,,,,,,,,,“A causa degli eventi sismici del 2016 la sede della biblioteca è inagibile ed i servizi sono sospesi.”,,2020-02-28,FAULHABER,2023-11-20,FAULHABER,UNIVERSAL*INTERNET_CLASS*EMA,francesco.aquili@comune.camerino.mc.it,Comune di Camerino,2020-02-29,Camerino: Valentiniana
BETA libid 1027,LIBRARY*NAME_CLASS*SHORT,Biblioteca Particular,,,,,,,,Madrid,,,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PRIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-11,FAULHABER,,,,,,,Madrid: Biblioteca Particular
BETA libid 1028,LIBRARY*NAME_CLASS*SHORT,Jésuites,,,,,,,35 Bis Rue de Sèvres,Paris,,,75006,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*ECCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-14,FAULHABER,2020-03-14,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://paris-centre-sevres.c3rb.org/,Centre de Sevres,2020-03-14,Paris: Jésuites
BETA libid 1029,LIBRARY*NAME_CLASS*SHORT,Private Library,,,,,,Lacarra,,Scotland,,Escocia,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PRIV,,,,,,,,,,,,,,,,,,,,,BETA bibid 8223,,,,,,,,,,,,,,,2020-03-18,FAULHABER,,,,,,,Scotland: Private Library
BETA libid 103,LIBRARY*NAME_CLASS*SHORT,University of Michigan (Clements),,,,,,,,Ann Arbor,,U.S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-10-21,FAULHABER,1989-12-11,FAULHABER,,,,,Ann Arbor: University of Michigan (Clements)
BETA libid 1030,LIBRARY*NAME_CLASS*SHORT,Biblioteca destruida,,,,,,,,Europa,,,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*OTHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Registro utilizado para englobar a las bibliotecas destruidas o dispersadas durante la Segunda Guerra Mundial,,2020-03-19,FAULHABER,,,,,,,Europa: Biblioteca destruida
BETA libid 1031,LIBRARY*NAME_CLASS*SHORT,Comunale,,,,,,,"Biblioteca Comunale “Fantoniana” piazza del Carmine, 1",Palestrina,Roma,Italia,00036,06.9534299,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-21,FAULHABER,,,UNIVERSAL*INTERNET_CLASS*URL,http://www.bibliotecheprenestine.it/,Bibl. Comunale Palestrina,2020-03-21,Palestrina: Comunale
BETA libid 1032,LIBRARY*NAME_CLASS*SHORT,Panizzi,,,,,,,"Via Luigi Carlo Farini, 3",Reggio Emilia,RE,Italia,42121,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-21,FAULHABER,,,,,,,Reggio Emilia: Panizzi
BETA libid 1033,LIBRARY*NAME_CLASS*SHORT,AHP,,,,,,,"C/ Padre Romano, 2",Albacete,Castilla-La Mancha,,02071,967 24 11 70,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BETA bibid 5365,,,,,,,,,,,,,,,2020-03-23,FAULHABER,2021-08-30,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://cultura.castillalamancha.es/archivos/archivos-historicos-provinciales/archivo-historico-provincial-de-albacete,Castilla-La Mancha Cultura,2020-03-23,Albacete: AHP
BETA libid 1035,LIBRARY*NAME_CLASS*SHORT,Grand Valley State U,,,,,,,"SH, 1 Campus Drive",Allendale,Michigan,Estados Unidos,49401-9403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BETA bibid 4653,,,,,,,,,,,,,,,2020-03-25,FAULHABER,2020-03-25,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://en.wikipedia.org/wiki/Grand_Valley_State_University#Allendale_campus_library,Wikipedia,2020-03-25,Allendale: Grand Valley State U
BETA libid 1036,LIBRARY*NAME_CLASS*SHORT,Universität,,,,,,,Innrain 52,Innsbruck,,Austria,6020,+43 512 507-0,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,LIBRARY*LIBCODE_CLASS*GW,Innsbruck ULB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-27,FAULHABER,2020-03-28,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.uibk.ac.at/ulb/,ULB Innsbruck,2020-03-28,Innsbruck: Universität
BETA libid 1037,LIBRARY*NAME_CLASS*SHORT,Michigan State U.,,,,,,,,East Lansing,MI,U.S.,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BETA bibid 8240,,,,,,,,,,,,,,,2020-03-29,FAULHABER,2020-03-29,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://magic.msu.edu/,Michigan State U. Magic Cat.,2020-03-29,East Lansing: Michigan State U.
BETA libid 1038,LIBRARY*NAME_CLASS*SHORT,Herederos de Luis Cervera Vera,,,,,,,,Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BETA bibid 1218,,xxiii,,,,,,,,,,,¿{I}Nunc{/I}?,,2020-03-29,FAULHABER,2020-03-29,FAULHABER,,,,,Madrid: Herederos de Luis Cervera Vera
BETA libid 1039,LIBRARY*NAME_CLASS*SHORT,Paris-UP BIU Santé. Pharmacie,,,,,,,4 avenue de l’Observatoire,Paris,,,75270 Cedex 06,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-16,FAULHABER,,,UNIVERSAL*INTERNET_CLASS*EMA,info-pharma@biusante.parisdescartes.fr,BIU Santé,2020-05-16,Paris: Paris-UP BIU Santé. Pharmacie
BETA libid 104,LIBRARY*NAME_CLASS*SHORT,Van Lennep,,,,,,VIAF,,Antwerp,,Belgique,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PRIV,,,,,,,,,,,,,,,,,,,,,BETA bibid 6783,,,208171897,,BETA geoid 1386,,BETA subid 1294,,,,,,"Jurisconsulto, nacido en 1908<br />",,2009-08-15,WARD,2024-01-25,FAULHABER,UNIVERSAL*INTERNET_CLASS*VIAF,http://viaf.org/viaf/208171897,VIAF,2019-04-29,Antwerp: Van Lennep
BETA libid 1041,LIBRARY*NAME_CLASS*SHORT,Carabias Orgaz,,,,,,,,Talavera de la Reina [?],,,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PRIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-07-15,FAULHABER,,,,,,,Talavera de la Reina [?]: Carabias Orgaz
BETA libid 1042,LIBRARY*NAME_CLASS*SHORT,Parlamento Vasco,,,,,,,Becerro de Bengoa,Vitoria - Gasteiz,Álava,España,01005,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-12,FAULHABER,,,UNIVERSAL*INTERNET_CLASS*URL,http://www.legebiltzarra.eus/portal/web/eusko-legebiltzarra/documentacion/la-biblioteca,Parlamento Vasco,2020-10-12,Vitoria - Gasteiz: Parlamento Vasco
BETA libid 1043,LIBRARY*NAME_CLASS*SHORT,Fundación Sancho el Sabio,,,,,,,"Portal de Betoño, 23",Vitoria - Gasteiz,Álava,España,01013,+34 945 253932,LIBRARY*PHONE_LOC*MAIN,,Jesús,Zubiaga Valdivielso,,,Director,+34 945-779161,jzubiaga@sanchoelsabio.eus,LIBRARY*CONTACT_TYPE*M,,,,,,,,,,,LIBRARY*CLASS*PRIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-12,FAULHABER,2020-10-14,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.sanchoelsabio.eus/conocenos/,Fundación Sancho el Sabio,2020-10-12,Vitoria - Gasteiz: Fundación Sancho el Sabio
