pbid,item,itemLabel
BETA geoid 2708,https://database.factgrid.de/entity/Q347502,Elda
BETA geoid 2600,https://database.factgrid.de/entity/Q347750,Falces
BETA geoid 2822,https://database.factgrid.de/entity/Q343452,Alcolea del Río
BETA geoid 2634,https://database.factgrid.de/entity/Q346415,Cervera del Llano
BETA geoid 2846,https://database.factgrid.de/entity/Q343944,Aranda de Moncayo
BETA geoid 2849,https://database.factgrid.de/entity/Q343746,Alpartir
BETA geoid 2638,https://database.factgrid.de/entity/Q346143,Castilnuevo
BETA geoid 2838,https://database.factgrid.de/entity/Q345439,Calatañazor
BETA geoid 2831,https://database.factgrid.de/entity/Q345723,Cañizar
BETA geoid 2821,https://database.factgrid.de/entity/Q343453,Alcolea
BETA geoid 2741,https://database.factgrid.de/entity/Q343574,Alfarrasí
BETA geoid 2633,https://database.factgrid.de/entity/Q348017,Frechilla
BETA geoid 2861,https://database.factgrid.de/entity/Q344328,Ayerbe
BETA geoid 2854,https://database.factgrid.de/entity/Q344843,Berbinzana
BETA geoid 2824,https://database.factgrid.de/entity/Q344484,Barbalos
BETA geoid 2650,https://database.factgrid.de/entity/Q348979,Jódar
BETA geoid 2869,https://database.factgrid.de/entity/Q345321,Cabanelles
BETA geoid 2754,https://database.factgrid.de/entity/Q344183,Artajona
BETA geoid 2642,https://database.factgrid.de/entity/Q348542,Guardo
BETA geoid 2868,https://database.factgrid.de/entity/Q345753,Canyelles
BETA geoid 2737,https://database.factgrid.de/entity/Q348528,Guadamur
BETA geoid 2805,https://database.factgrid.de/entity/Q344019,Ardales
BETA geoid 2852,https://database.factgrid.de/entity/Q348260,Gálvez
BETA geoid 2290,https://database.factgrid.de/entity/Q343828,Amusco
BETA geoid 2862,https://database.factgrid.de/entity/Q348092,Fuensaldaña
BETA geoid 2856,https://database.factgrid.de/entity/Q348611,Gutierre-Muñoz
BETA geoid 2335,https://database.factgrid.de/entity/Q344741,Benacazón
BETA geoid 2752,https://database.factgrid.de/entity/Q347108,Deza
BETA geoid 2807,https://database.factgrid.de/entity/Q345718,Canillas
BETA geoid 2783,https://database.factgrid.de/entity/Q347276,El Bonillo
BETA geoid 2802,https://database.factgrid.de/entity/Q347845,Figueres
BETA geoid 2322,https://database.factgrid.de/entity/Q346714,Congosto
BETA geoid 2812,https://database.factgrid.de/entity/Q348356,Gernika
BETA geoid 2289,https://database.factgrid.de/entity/Q347531,Encinas de Esgueva
BETA geoid 2308,https://database.factgrid.de/entity/Q347721,Estremera
BETA geoid 2672,https://database.factgrid.de/entity/Q351240,Navarrés
BETA geoid 2329,https://database.factgrid.de/entity/Q347228,Duruelo
BETA geoid 2686,https://database.factgrid.de/entity/Q350842,Montemayor
BETA geoid 2814,https://database.factgrid.de/entity/Q348965,Javier
BETA geoid 2325,https://database.factgrid.de/entity/Q348145,Fuentenebro
BETA geoid 2673,https://database.factgrid.de/entity/Q352283,Perales
BETA geoid 2693,https://database.factgrid.de/entity/Q352460,Pinseque
BETA geoid 2716,https://database.factgrid.de/entity/Q351691,Onda
BETA geoid 2670,https://database.factgrid.de/entity/Q353905,San Martín de Valdeiglesias
BETA geoid 2628,https://database.factgrid.de/entity/Q351411,Nuévalos
BETA geoid 2690,https://database.factgrid.de/entity/Q355027,Socovos
BETA geoid 2684,https://database.factgrid.de/entity/Q355398,Tineo
BETA geoid 2636,https://database.factgrid.de/entity/Q352474,Pioz
BETA geoid 2602,https://database.factgrid.de/entity/Q354579,Santaella
BETA geoid 2826,https://database.factgrid.de/entity/Q352235,Peñalver
BETA geoid 2748,https://database.factgrid.de/entity/Q349666,Lebrija
BETA geoid 2755,https://database.factgrid.de/entity/Q349560,Larraga
BETA geoid 2870,https://database.factgrid.de/entity/Q350621,Minaya
BETA geoid 2756,https://database.factgrid.de/entity/Q350532,Mendigorría
BETA geoid 2757,https://database.factgrid.de/entity/Q350645,Miranda de Arga
BETA geoid 2794,https://database.factgrid.de/entity/Q350469,Medina de las Torres
BETA geoid 2825,https://database.factgrid.de/entity/Q355428,Tocina
BETA geoid 2841,https://database.factgrid.de/entity/Q354764,Sarria
BETA geoid 2792,https://database.factgrid.de/entity/Q352085,Pareja
BETA geoid 2594,https://database.factgrid.de/entity/Q350843,Montemolín
BETA geoid 2316,https://database.factgrid.de/entity/Q350310,Marchena
BETA geoid 2598,https://database.factgrid.de/entity/Q350867,Montiel
BETA geoid 2287,https://database.factgrid.de/entity/Q350664,Mirueña de los Infanzones
BETA geoid 2753,https://database.factgrid.de/entity/Q354893,Serón de Nágima
BETA geoid 2795,https://database.factgrid.de/entity/Q355463,Toral de los Guzmanes
BETA geoid 1246,https://database.factgrid.de/entity/Q83723,Cáceres
BETA geoid 1185,https://database.factgrid.de/entity/Q86829,Jaén
BETA geoid 1456,https://database.factgrid.de/entity/Q82362,Arcos de la Frontera
BETA geoid 1471,https://database.factgrid.de/entity/Q88820,Moguer
BETA geoid 1322,https://database.factgrid.de/entity/Q81965,A Coruña
BETA geoid 1450,https://database.factgrid.de/entity/Q89857,Olite
BETA geoid 1338,https://database.factgrid.de/entity/Q83087,Bilbao
BETA geoid 1354,https://database.factgrid.de/entity/Q85755,Guadix
BETA geoid 1141,https://database.factgrid.de/entity/Q90233,Plasencia
BETA geoid 1311,https://database.factgrid.de/entity/Q88658,Mérida
BETA geoid 1166,https://database.factgrid.de/entity/Q92699,Úbeda
BETA geoid 1467,https://database.factgrid.de/entity/Q140574,Baeza
BETA geoid 1237,https://database.factgrid.de/entity/Q344713,Bélmez de la Moraleda
BETA geoid 1229,https://database.factgrid.de/entity/Q343222,Aguilar de la Frontera
BETA geoid 1225,https://database.factgrid.de/entity/Q344325,Ayamonte
BETA geoid 1181,https://database.factgrid.de/entity/Q344271,Astorga
BETA geoid 1150,https://database.factgrid.de/entity/Q343299,Alba de Tormes
BETA geoid 1416,https://database.factgrid.de/entity/Q346496,Chinchón
BETA geoid 1339,https://database.factgrid.de/entity/Q344616,Batres
BETA geoid 1417,https://database.factgrid.de/entity/Q347850,Figueruelas
BETA geoid 1406,https://database.factgrid.de/entity/Q346638,Cogolludo
BETA geoid 1231,https://database.factgrid.de/entity/Q346419,Cervera
BETA geoid 1410,https://database.factgrid.de/entity/Q347597,Escalona
BETA geoid 1470,https://database.factgrid.de/entity/Q346776,Cornago
BETA geoid 1156,https://database.factgrid.de/entity/Q343425,Alcántara
BETA geoid 1251,https://database.factgrid.de/entity/Q343596,Algeciras
BETA geoid 1463,https://database.factgrid.de/entity/Q344339,Azañón
BETA geoid 1480,https://database.factgrid.de/entity/Q347202,Dos Aguas
BETA geoid 1228,https://database.factgrid.de/entity/Q348501,Griñón
BETA geoid 1457,https://database.factgrid.de/entity/Q346211,Castrojeriz
BETA geoid 1360,https://database.factgrid.de/entity/Q343430,Alcaraz
BETA geoid 1462,https://database.factgrid.de/entity/Q345208,Buendía
BETA geoid 1173,https://database.factgrid.de/entity/Q346532,Cifuentes
BETA geoid 1159,https://database.factgrid.de/entity/Q345432,Calahorra
BETA geoid 1494,https://database.factgrid.de/entity/Q347064,Daroca
BETA geoid 1253,https://database.factgrid.de/entity/Q345057,Bonilla de la Sierra
BETA geoid 1343,https://database.factgrid.de/entity/Q343675,Almazán
BETA geoid 1355,https://database.factgrid.de/entity/Q346440,Cevico de la Torre
BETA geoid 1164,https://database.factgrid.de/entity/Q348693,Hita
BETA geoid 1461,https://database.factgrid.de/entity/Q348529,Guadarrama
BETA geoid 1347,https://database.factgrid.de/entity/Q344690,Beleña de Sorbe
BETA geoid 1353,https://database.factgrid.de/entity/Q348057,Fresno de Torote
BETA geoid 1255,https://database.factgrid.de/entity/Q343572,Alfaro
BETA geoid 1265,https://database.factgrid.de/entity/Q344689,Belchite
BETA geoid 1362,https://database.factgrid.de/entity/Q347799,Feria
BETA geoid 1329,https://database.factgrid.de/entity/Q346531,Cieza
BETA geoid 1326,https://database.factgrid.de/entity/Q346793,Corral de Almaguer
BETA geoid 1399,https://database.factgrid.de/entity/Q345373,Cabra
BETA geoid 1348,https://database.factgrid.de/entity/Q346272,Cazorla
BETA geoid 1268,https://database.factgrid.de/entity/Q345913,Carrión de los Condes
BETA geoid 1272,https://database.factgrid.de/entity/Q346613,Cocentaina
BETA geoid 1413,https://database.factgrid.de/entity/Q350011,Los Molares
BETA geoid 1145,https://database.factgrid.de/entity/Q349341,La Romana
BETA geoid 1412,https://database.factgrid.de/entity/Q351742,Orgaz
BETA geoid 1174,https://database.factgrid.de/entity/Q350438,Mayorga
BETA geoid 1155,https://database.factgrid.de/entity/Q351317,Nieva de Cameros
BETA geoid 1249,https://database.factgrid.de/entity/Q349679,Ledesma
BETA geoid 1130,https://database.factgrid.de/entity/Q350474,Medinaceli
BETA geoid 1357,https://database.factgrid.de/entity/Q350122,Luna
BETA geoid 1309,https://database.factgrid.de/entity/Q350857,Montesa
BETA geoid 1315,https://database.factgrid.de/entity/Q350125,Lupiana
BETA geoid 1352,https://database.factgrid.de/entity/Q351955,Palazuelos
BETA geoid 1344,https://database.factgrid.de/entity/Q350812,Monteagudo
BETA geoid 1331,https://database.factgrid.de/entity/Q351907,Padrón
BETA geoid 1266,https://database.factgrid.de/entity/Q350744,Mondéjar
BETA geoid 1364,https://database.factgrid.de/entity/Q351759,Oropesa
BETA geoid 1263,https://database.factgrid.de/entity/Q351567,Ocaña
BETA geoid 1400,https://database.factgrid.de/entity/Q351022,Moya
BETA geoid 1687,https://database.factgrid.de/entity/Q82165,Almería
BETA geoid 2117,https://database.factgrid.de/entity/Q84565,Elche
BETA geoid 1743,https://database.factgrid.de/entity/Q82336,Antequera
BETA geoid 1684,https://database.factgrid.de/entity/Q82103,Albacete
BETA geoid 1695,https://database.factgrid.de/entity/Q84428,Écija
BETA geoid 1614,https://database.factgrid.de/entity/Q83725,Cádiz
BETA geoid 1661,https://database.factgrid.de/entity/Q82644,Badajoz
BETA geoid 1698,https://database.factgrid.de/entity/Q88203,Loja
BETA geoid 1658,https://database.factgrid.de/entity/Q83762,Carmona
BETA geoid 1791,https://database.factgrid.de/entity/Q83774,Castro Urdiales
BETA geoid 1730,https://database.factgrid.de/entity/Q90036,Palma de Mallorca
BETA geoid 1672,https://database.factgrid.de/entity/Q86628,Huelva
BETA geoid 1726,https://database.factgrid.de/entity/Q90933,Ronda
BETA geoid 1694,https://database.factgrid.de/entity/Q92934,Vigo
BETA geoid 1689,https://database.factgrid.de/entity/Q91231,Santander
BETA geoid 1660,https://database.factgrid.de/entity/Q88299,Lugo
BETA geoid 1778,https://database.factgrid.de/entity/Q90331,Portugalete
BETA geoid 1606,https://database.factgrid.de/entity/Q92940,Villarrobledo
BETA geoid 2099,https://database.factgrid.de/entity/Q344716,Belmonte de Campos
BETA geoid 2065,https://database.factgrid.de/entity/Q346259,Cavia
BETA geoid 1724,https://database.factgrid.de/entity/Q344392,Balaguer
BETA geoid 2072,https://database.factgrid.de/entity/Q348087,Fuengirola
BETA geoid 1719,https://database.factgrid.de/entity/Q345697,Cañete
BETA geoid 2107,https://database.factgrid.de/entity/Q347600,Escamilla
BETA geoid 1627,https://database.factgrid.de/entity/Q343825,Ampudia
BETA geoid 2094,https://database.factgrid.de/entity/Q348645,Hernani
BETA geoid 2095,https://database.factgrid.de/entity/Q348655,Herrera del Duque
BETA geoid 1600,https://database.factgrid.de/entity/Q344370,Baena
BETA geoid 1713,https://database.factgrid.de/entity/Q347217,Dueñas
BETA geoid 2142,https://database.factgrid.de/entity/Q348362,Gibraleón
BETA geoid 1697,https://database.factgrid.de/entity/Q348188,Fuentidueña
BETA geoid 1648,https://database.factgrid.de/entity/Q344099,Arjona
BETA geoid 1598,https://database.factgrid.de/entity/Q346006,Caspe
BETA geoid 1768,https://database.factgrid.de/entity/Q347390,El Pardo
BETA geoid 1592,https://database.factgrid.de/entity/Q346887,Covarrubias
BETA geoid 1737,https://database.factgrid.de/entity/Q348799,Huéscar
BETA geoid 1745,https://database.factgrid.de/entity/Q348842,Igualada
BETA geoid 1635,https://database.factgrid.de/entity/Q346438,Ceuta
BETA geoid 1769,https://database.factgrid.de/entity/Q348500,Grimaldo
BETA geoid 1792,https://database.factgrid.de/entity/Q344675,Beire
BETA geoid 2200,https://database.factgrid.de/entity/Q343713,Almonacid de la Sierra
BETA geoid 1794,https://database.factgrid.de/entity/Q345773,Caracena
BETA geoid 1818,https://database.factgrid.de/entity/Q345220,Buitrago del Lozoya
BETA geoid 1645,https://database.factgrid.de/entity/Q348447,Gotor
BETA geoid 1805,https://database.factgrid.de/entity/Q346533,Cigales
BETA geoid 1780,https://database.factgrid.de/entity/Q347509,Elorrio
BETA geoid 1577,https://database.factgrid.de/entity/Q345645,Canales
BETA geoid 2675,https://database.factgrid.de/entity/Q345978,Casasbuenas
BETA geoid 1790,https://database.factgrid.de/entity/Q348974,Jimena
BETA geoid 1807,https://database.factgrid.de/entity/Q348125,Fuentebureba
BETA geoid 2048,https://database.factgrid.de/entity/Q350294,Maqueda
BETA geoid 1816,https://database.factgrid.de/entity/Q348522,Guadalcanal
BETA geoid 2075,https://database.factgrid.de/entity/Q350897,Monzón de Campos
BETA geoid 2143,https://database.factgrid.de/entity/Q349548,Laredo
BETA geoid 2660,https://database.factgrid.de/entity/Q348858,Íllora
BETA geoid 2113,https://database.factgrid.de/entity/Q350648,Miranda de Ebro
BETA geoid 2125,https://database.factgrid.de/entity/Q350723,Mombeltrán
BETA geoid 2108,https://database.factgrid.de/entity/Q351085,Murero
BETA geoid 1758,https://database.factgrid.de/entity/Q349628,Lascuarre
BETA geoid 2116,https://database.factgrid.de/entity/Q352818,Puerto de Vega
BETA geoid 1739,https://database.factgrid.de/entity/Q350471,Medina de Rioseco
BETA geoid 1590,https://database.factgrid.de/entity/Q351636,Oliva
BETA geoid 1625,https://database.factgrid.de/entity/Q350761,Monforte de Lemos
BETA geoid 1774,https://database.factgrid.de/entity/Q349976,Los Arcos
BETA geoid 1642,https://database.factgrid.de/entity/Q351134,Nájera
BETA geoid 1831,https://database.factgrid.de/entity/Q349668,Lécera
BETA geoid 1643,https://database.factgrid.de/entity/Q350928,Morata de Jalón
BETA geoid 1855,https://database.factgrid.de/entity/Q350774,Monroyo
BETA geoid 1601,https://database.factgrid.de/entity/Q353107,Reina
BETA geoid 1828,https://database.factgrid.de/entity/Q350817,Montearagón
BETA geoid 2663,https://database.factgrid.de/entity/Q350247,Mandayona
BETA geoid 1809,https://database.factgrid.de/entity/Q352157,Pedraza
BETA geoid 2665,https://database.factgrid.de/entity/Q350687,Mohernando
BETA geoid 2669,https://database.factgrid.de/entity/Q351400,Novelda
BETA geoid 2661,https://database.factgrid.de/entity/Q352541,Ponferrada
BETA geoid 1662,https://database.factgrid.de/entity/Q343921,Araba / Álava Provincia
BETA geoid 1008,https://database.factgrid.de/entity/Q353097,Región de Murcia
BETA geoid 1991,https://database.factgrid.de/entity/Q85336,Gijón
BETA geoid 2164,https://database.factgrid.de/entity/Q82491,Avilés
BETA geoid 2203,https://database.factgrid.de/entity/Q84233,Donostia-San Sebastián
BETA geoid 1997,https://database.factgrid.de/entity/Q88529,Martos
BETA geoid 2185,https://database.factgrid.de/entity/Q88448,Marbella
BETA geoid 1987,https://database.factgrid.de/entity/Q343779,Alzira
BETA geoid 1982,https://database.factgrid.de/entity/Q346229,Castronuevo
BETA geoid 2008,https://database.factgrid.de/entity/Q344723,Belmonte
BETA geoid 2010,https://database.factgrid.de/entity/Q344726,Belorado
BETA geoid 1979,https://database.factgrid.de/entity/Q346134,Castillo de Garcimuñoz
BETA geoid 2026,https://database.factgrid.de/entity/Q344845,Berceo
BETA geoid 2015,https://database.factgrid.de/entity/Q345747,Cantillana
BETA geoid 1962,https://database.factgrid.de/entity/Q344526,Barcience
BETA geoid 1981,https://database.factgrid.de/entity/Q345738,Cantalapiedra
BETA geoid 1971,https://database.factgrid.de/entity/Q344421,Baltanás
BETA geoid 2037,https://database.factgrid.de/entity/Q344045,Arenys de Munt
BETA geoid 2167,https://database.factgrid.de/entity/Q343687,Almenara
BETA geoid 2018,https://database.factgrid.de/entity/Q347418,El Pobo
BETA geoid 2005,https://database.factgrid.de/entity/Q348697,Hondarribia
BETA geoid 1964,https://database.factgrid.de/entity/Q346279,Cebolla
BETA geoid 1970,https://database.factgrid.de/entity/Q346221,Castromocho
BETA geoid 1926,https://database.factgrid.de/entity/Q347000,Cuevas de San Clemente
BETA geoid 2184,https://database.factgrid.de/entity/Q343435,Alcaudete
BETA geoid 2176,https://database.factgrid.de/entity/Q344037,Arenas de San Pedro
BETA geoid 1974,https://database.factgrid.de/entity/Q346241,Castroverde de Cerrato
BETA geoid 2161,https://database.factgrid.de/entity/Q345390,Cabreros del Monte
BETA geoid 1959,https://database.factgrid.de/entity/Q347652,Espeja
BETA geoid 2159,https://database.factgrid.de/entity/Q345642,Canales de la Sierra
BETA geoid 2017,https://database.factgrid.de/entity/Q348817,Husillos
BETA geoid 2160,https://database.factgrid.de/entity/Q345849,Cardeñosa
BETA geoid 1977,https://database.factgrid.de/entity/Q348654,Herrera de Valdecañas
BETA geoid 2188,https://database.factgrid.de/entity/Q344329,Ayllón
BETA geoid 2151,https://database.factgrid.de/entity/Q344124,Arnedo
BETA geoid 2149,https://database.factgrid.de/entity/Q345749,Cantiveros
BETA geoid 1975,https://database.factgrid.de/entity/Q347856,Fiñana
BETA geoid 2195,https://database.factgrid.de/entity/Q344874,Berlanga
BETA geoid 2182,https://database.factgrid.de/entity/Q345693,Canet de Mar
BETA geoid 2169,https://database.factgrid.de/entity/Q346988,Cuerva
BETA geoid 2186,https://database.factgrid.de/entity/Q345696,Cañete la Real
BETA geoid 2177,https://database.factgrid.de/entity/Q349045,La Adrada
BETA geoid 2162,https://database.factgrid.de/entity/Q348771,Huélamo
BETA geoid 1983,https://database.factgrid.de/entity/Q349807,Linares
BETA geoid 1988,https://database.factgrid.de/entity/Q349869,Llerena
BETA geoid 1985,https://database.factgrid.de/entity/Q350952,Morella
BETA geoid 1994,https://database.factgrid.de/entity/Q350895,Monturque
BETA geoid 2000,https://database.factgrid.de/entity/Q350665,Mislata
BETA geoid 2021,https://database.factgrid.de/entity/Q350528,Mendavia
BETA geoid 2040,https://database.factgrid.de/entity/Q350898,Monzón
BETA geoid 1972,https://database.factgrid.de/entity/Q350470,Medina de Pomar
BETA geoid 2041,https://database.factgrid.de/entity/Q350165,Madrigalejo
BETA geoid 1969,https://database.factgrid.de/entity/Q352600,Portillo
BETA geoid 2172,https://database.factgrid.de/entity/Q350268,Manresa
BETA geoid 1995,https://database.factgrid.de/entity/Q356753,Villafranca de Córdoba
BETA geoid 2011,https://database.factgrid.de/entity/Q356235,Valverde del Majano
BETA geoid 1925,https://database.factgrid.de/entity/Q354812,Segura de León
BETA geoid 2024,https://database.factgrid.de/entity/Q355803,Trujillo
BETA geoid 1963,https://database.factgrid.de/entity/Q354562,Santa Olalla
BETA geoid 2004,https://database.factgrid.de/entity/Q357371,Yepes
BETA geoid 2009,https://database.factgrid.de/entity/Q357084,Villarrubia de los Ojos
BETA geoid 2193,https://database.factgrid.de/entity/Q351746,Orihuela
BETA geoid 2178,https://database.factgrid.de/entity/Q353163,Requena
BETA geoid 1976,https://database.factgrid.de/entity/Q356302,Vélez-Málaga
BETA geoid 2198,https://database.factgrid.de/entity/Q352641,Poyatos
BETA geoid 2155,https://database.factgrid.de/entity/Q355911,Uruñuela
BETA geoid 2165,https://database.factgrid.de/entity/Q356109,Valfermoso de las Monjas
BETA geoid 2145,https://database.factgrid.de/entity/Q354125,San Vicente de la Barquera
BETA geoid 2180,https://database.factgrid.de/entity/Q355447,Tolosa
BETA geoid 2045,https://database.factgrid.de/entity/Q353985,San Nicolás del Puerto
BETA geoid 2197,https://database.factgrid.de/entity/Q355709,Tragacete
BETA geoid 2189,https://database.factgrid.de/entity/Q357188,Villoria
BETA geoid 1043,https://database.factgrid.de/entity/Q82315,Andújar
BETA geoid 1040,https://database.factgrid.de/entity/Q82116,Alcalá de Henares
BETA geoid 1125,https://database.factgrid.de/entity/Q86885,Jerez de la Frontera
BETA geoid 1278,https://database.factgrid.de/entity/Q88017,León
BETA geoid 1371,https://database.factgrid.de/entity/Q90304,Pontevedra
BETA geoid 1077,https://database.factgrid.de/entity/Q90041,Pamplona
BETA geoid 1015,https://database.factgrid.de/entity/Q83765,Cartagena
BETA geoid 1010,https://database.factgrid.de/entity/Q85552,Granada
BETA geoid 1005,https://database.factgrid.de/entity/Q88356,Madrid
BETA geoid 1048,https://database.factgrid.de/entity/Q94434,Barcelona
BETA geoid 1006,https://database.factgrid.de/entity/Q164504,Toledo
