LIBID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,ADDRESS,CITY,STATE,COUNTRY,PCODE,PHONE,PHONE_LOC,TELEX,CONTACT_FNAME,CONTACT_LNAME,CONTACT_TITLE,CONTACT_SALUTATION,CONTACT_POSITION,CONTACT_PHONE,CONTACT_EMAIL,CONTACT_TYPE,LIBRARY_HOURS,LIBRARY_CLOSED,LIBRARY_DOCUMENTS,LIBRARY_FACILITIES,CALL_TYPE,CALL_DATE,CALL_PERSON,CALL_NOTE,LIBCODE_CLASS,LIBCODE,CLASS,TYPE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA libid 123,LIBRARY*NAME_CLASS*CURRENT,National Library of Medicine,,,,,,,8600 Rockville Pike,,,,,(301) 402-0872,LIBRARY*PHONE_LOC*FAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,https://www.nlm.nih.gov/hmd/,NLM History of Medicine Division,2016-11-08,
BETA libid 123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*EMA,hmdref@nlm.nih.gov,NLM History of Medicine Division,2016-11-08,
BETA libid 124,LIBRARY*NAME_CLASS*SHORT,Indiana University (Lilly),,,,,,,1200 E. Seventh St.,Bloomington,IN,U.S.,47405-5500,812-855-2452,LIBRARY*PHONE_LOC*MAIN,,Joel,Silver,,,Special Collections Librarian,,silverj@indiana.edu,,,,,,,,,,,,,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-01,FAULHABER,2024-09-19,FAULHABER,UNIVERSAL*INTERNET_CLASS*EMA,liblilly@indiana.edu,,,Bloomington: Indiana University (Lilly)
BETA libid 124,LIBRARY*NAME_CLASS*CURRENT,The Lilly Library,,,,,,,,,,,,812-855-3143,LIBRARY*PHONE_LOC*FAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,http://www.indiana.edu/~liblilly/,,,
BETA libid 132,LIBRARY*NAME_CLASS*SHORT,Bryn Mawr College,,,,,,,"2nd Floor, Mariam Coffin Canaday Library",Bryn Mawr,PA,U.S.,19010,610-526-6576,LIBRARY*PHONE_LOC*MAIN,,Eric,Pumroy,Director of Library Collections and Seymour Adelman Head of Special Collections,,,610) 526-5272,epumroy@brynmawr.edu,,,,,,,,,,,,,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-06-15,FAULHABER,2024-09-19,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://www.brynmawr.edu/library/speccoll/index.html,Bryn Mawr Library,2011-08-09,Bryn Mawr: Bryn Mawr College
BETA libid 132,LIBRARY*NAME_CLASS*CURRENT,Special Collections: Marjorie Walter Goodhart Medieval Library,,,,,,,101 North Merion Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*EMA,SpecColl@brynmawr.edu,Bryn Mawr Library,2011-08-09,
BETA libid 148,LIBRARY*NAME_CLASS*SHORT,University of North Carolina,,,,,,,,Chapel Hill,NC,U.S.,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-06-15,FAULHABER,2024-09-19,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://www.lib.unc.edu/,UNC,2011-08-12,Chapel Hill: University of North Carolina
BETA libid 148,LIBRARY*NAME_CLASS*CURRENT,University of North Carolina. Rare Book Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,http://www.lib.unc.edu/libraries_collections.html,UNC,2011-08-12,
BETA libid 151,LIBRARY*NAME_CLASS*SHORT,Hebrew Union,,,,,,,3101 Clifton Avenue,Cincinnati,OH,U.S.,,,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-06-15,FAULHABER,2024-09-19,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://huc.edu/research/libraries/cincinnati-klau-library,Hebrew Union College,2020-03-26,Cincinnati: Hebrew Union
BETA libid 151,LIBRARY*NAME_CLASS*CURRENT,Hebrew Union College Klau Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*EMA,klau@huc.edu,Hebrew Union College,2020-03-26,
BETA libid 151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,http://huc.edu/research/libraries/cincinnati-klau-library,Hewbrew Union College catálogo,2020-03-26,
BETA libid 152,LIBRARY*NAME_CLASS*SHORT,Public,,,,,,,,Cleveland,OH,U.S.,,,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-06-15,FAULHABER,2024-09-19,FAULHABER,,,,,Cleveland: Public
BETA libid 152,LIBRARY*NAME_CLASS*CURRENT,Cleveland Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 165,LIBRARY*NAME_CLASS*SHORT,Southern Methodist U.,,,,,,,Perkins School of Theology,Dallas,TX,U.S.,75275-0476,214.768.3483,LIBRARY*PHONE_LOC*MAIN,,Roberta J.,Schaafsma,Director,,,,,,,,,,,,,,,,LIBRARY*CLASS*PRIV,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-06-11,FAULHABER,2024-09-19,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.smu.edu/Bridwell/SpecialCollectionsandArchives,SMU Bridwell Library,2020-04-02,Dallas: Southern Methodist U.
BETA libid 165,LIBRARY*NAME_CLASS*CURRENT,Southern Methodist University. Bridwell Library,,,,,,,P O Box 750476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 167,LIBRARY*NAME_CLASS*SHORT,"Penrose, Boies {I}olim{/I}",,,,,,,,Devon,PA,U.S.,,,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2956,,,,,,,,,,,,,,,,,,,,,BETA bioid 6303,,,,,,,,,"Penrose, historiador y bibliófilo, murió en 1976. Su coleccion se dispersó por subasta. Véase bioid 6303 para un listado de sus libros de paradero conocido<br />",,1989-06-18,FAULHABER,2024-09-19,FAULHABER,,,,,"Devon: Penrose, Boies {I}olim{/I}"
BETA libid 167,LIBRARY*NAME_CLASS*CURRENT,"Penrose, Boies {I}olim{/I}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 171,LIBRARY*NAME_CLASS*SHORT,Municipal,,,,,,,"Rua dos Apóstolos, 1",Elvas,,Portugal,,(038) 62-24-02,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,"9-1, 3-6 días laborables",,,,,,,,,,LIBRARY*CLASS*PUBL,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2957,,,,,,,,,,,,,,,,,BETA bibid 3335,,,libid 254,,,,,,,,,,Incorpora la Biblioteca Publia Hortensia,,1989-06-18,FAULHABER,2024-09-19,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.cm-elvas.pt/descobrir/project-item/biblioteca-municipal-de-elvas/,Câmara Municipal de Elvas,2020-03-19,Elvas: Municipal
BETA libid 171,LIBRARY*NAME_CLASS*CURRENT,Biblioteca Municipal de Elvas Dra. Elsa Grilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*EMA,biblioteca@cm-elvas.pt,Câmara Municipal de Elvas,2020-03-19,
BETA libid 171,LIBRARY*NAME_CLASS*OTHR,Biblioteca Publia Hortensia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,http://pacweb.cm-elvas.pt/,Câmara Municipal de Elvas: Catálogo,2020-03-19,
BETA libid 179,LIBRARY*NAME_CLASS*SHORT,Universität,,,,,,,Friedrichstr. 39,Freiburg-im-Bresgau,,Deutschland,79085,,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2958,,,,,,,,,,,,,,,,,,,,,,BETA geoid 1248,,BETA subid 1291,,,,,,,,1989-07-26,FAULHABER,2024-09-19,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.ub.uni-freiburg.de/,U. Freiburg,2016-06-13,Freiburg-im-Bresgau: Universität
BETA libid 179,LIBRARY*NAME_CLASS*CURRENT,Universitätsbibliothek Freiburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*EMA,info@ub.uni-freiburg.de,U. Freiburg,2016-06-13,
BETA libid 179,LIBRARY*NAME_CLASS*OTHR,Albert-Ludwigs-Universität Freiburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,https://katalog.ub.uni-freiburg.de/opac/,Katalog Plus,2016-06-13,
BETA libid 180,LIBRARY*NAME_CLASS*SHORT,Bodmer,,,,,,,19-21 Route Martin Bodmer,Cologny,Genève,Suisse,1223,+41 (22) 707 44 33,LIBRARY*PHONE_LOC*MAIN,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PRIV,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2959,,,,,,,,,,,,,,,,,,,,,,BETA geoid 2237,,BETA subid 1302,,,,,,,,1989-07-26,FAULHABER,2024-09-19,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://fondationbodmer.ch/,Fondation Bodmer,2013-09-29,Cologny: Bodmer
BETA libid 180,LIBRARY*NAME_CLASS*CURRENT,Fondation Martin Bodmer. Bibliothèque et Musée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*EMA,info@fondationbodmer.ch,Fondation Bodmer,2013-09-29,
BETA libid 180,LIBRARY*NAME_CLASS*OTHR,Bibliotheca Bodmeriana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 185,LIBRARY*NAME_CLASS*SHORT,Universität,,,,,,,Platz der Göttinger Sieben 1,Göttingen,,Deutschland,37073,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2960,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BETA bibid 5356,,,,,BETA geoid 1248,,BETA subid 1291,,,,,,,,1989-07-26,FAULHABER,2024-09-19,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://www.sub.uni-goettingen.de/,Niedersächsische Staats- und Universitätsbibliothek,2011-08-05,Göttingen: Universität
BETA libid 185,LIBRARY*NAME_CLASS*CURRENT,Niedersächsische Staats- und Universitätsbibliothek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 188,LIBRARY*NAME_CLASS*SHORT,Kestner-Museum,,,,,,,,Hannover,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2961,,,,,,,,,,,,,,,,,,,,,,BETA geoid 1248,,BETA subid 1291,,,,,,,,1989-07-26,FAULHABER,2024-09-19,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://www.hannover.de/museen/museen/kestner/,,2009-08-15,Hannover: Kestner-Museum
BETA libid 188,LIBRARY*NAME_CLASS*CURRENT,Museum August Kestner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 191,LIBRARY*NAME_CLASS*SHORT,Cornell University (Rare Books),,,,,,,,Ithaca,NY,U.S.,,,,,,,,,,,,,,,,,LIBRARY*CALL_TYPE*C,2008-10-26,,,,,,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-07-26,FAULHABER,2024-09-19,FAULHABER,,,,,Ithaca: Cornell University (Rare Books)
BETA libid 191,LIBRARY*NAME_CLASS*CURRENT,"Cornell University. Kroch Library, Rare and Manuscript Collections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 194,LIBRARY*NAME_CLASS*SHORT,Akademii,,,,,,,,Kórnik pod Poznaniem,,Polska,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2963,,,,,,,,,,,,,,,,,BETA bibid 3760,,129,54,,BETA geoid 2542,,BETA subid 1290,,,,,,,,1989-07-26,FAULHABER,2024-09-19,FAULHABER,,,,,Kórnik pod Poznaniem: Akademii
BETA libid 194,LIBRARY*NAME_CLASS*CURRENT,Bibl. Kórnicka Polskiej Akademii Nauk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 196,LIBRARY*NAME_CLASS*SHORT,University (Brotherton),,,,,,,,Leeds,,United Kingdom,LS2 9JT,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2964,,,,,,,,,,,,,,,,,,,,,,BETA geoid 2543,,BETA subid 1293,,,,,,,,1989-07-26,FAULHABER,2024-09-19,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://library.leeds.ac.uk/,,2009-08-15,Leeds: University (Brotherton)
BETA libid 196,LIBRARY*NAME_CLASS*CURRENT,Leeds University Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,http://library.leeds.ac.uk/catalogue-search,,2012-04-10,
BETA libid 234,LIBRARY*NAME_CLASS*SHORT,Real,,,,,,,,Mafra,,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2965,,,,,,,,,,,,,,,,,BETA bibid 3760,,113,30,,,,,,,,,,,,1989-07-26,FAULHABER,2024-09-19,FAULHABER,,,,,Mafra: Real
BETA libid 234,LIBRARY*NAME_CLASS*CURRENT,Real Biblioteca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 234,LIBRARY*NAME_CLASS*OTHR,Biblioteca do Mosteiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 235,LIBRARY*NAME_CLASS*SHORT,Pública,,,,,,,"Plaça Conquesta, 8",Maó,Baleares,España,07701,,,,,,,,,,,,,,,,,,,,,,LIBRARY*CLASS*PUBL,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2966,,,,,,,,,,,,,,,,,,,,,,BETA geoid 1004,,BETA subid 1304,,,,,,,,1989-07-26,FAULHABER,2024-09-19,FAULHABER,,,,,Maó: Pública
BETA libid 235,LIBRARY*NAME_CLASS*CURRENT,Biblioteca Pública,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 236,LIBRARY*NAME_CLASS*SHORT,Prinz Oettingen-Vallerstein,,,,,,,,Maihingen,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2967,,,,,,,,,,,,,,,,,,,,,,BETA geoid 1248,,BETA subid 1291,,,,,,,,1989-06-17,FAULHABER,2024-09-19,FAULHABER,,,,,Maihingen: Prinz Oettingen-Vallerstein
BETA libid 236,LIBRARY*NAME_CLASS*CURRENT,Príncipe Oettingen-Vallerstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 242,LIBRARY*NAME_CLASS*SHORT,Paço Ducal,,,,,,,,Vila Viçosa,,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2968,,,,,,,,,,,,,,,,,BETA bibid 2476,,450-52,,,,,,,,,,,"Colección formada por Manuel, rey de Portugal",,1989-06-17,FAULHABER,2024-09-19,FAULHABER,,,,,Vila Viçosa: Paço Ducal
BETA libid 242,LIBRARY*NAME_CLASS*CURRENT,Paço Ducal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 248,LIBRARY*NAME_CLASS*SHORT,University of Minnesota (Bell),,,,,,,499 Wilson Library,Minneapolis,MN,U.S.,55455,(612) 624-3321,LIBRARY*PHONE_LOC*MAIN,,Timothy,Johnson,Curator,,,612/624-3552,johns976@umn.edu,,,,,,,,,,,,,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-06-17,FAULHABER,2024-09-19,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.lib.umn.edu/bell/manarch,U. of Minnesota,2016-12-11,Minneapolis: University of Minnesota (Bell)
BETA libid 248,LIBRARY*NAME_CLASS*CURRENT,University of Minnesota. James Ford Bell Library,,,,,,,309 19th Avenue South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 249,LIBRARY*NAME_CLASS*SHORT,Estense,,,,,,,,Modena,,Italia,,,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2970,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BETA bibid 7110,,,,,BETA geoid 1029,,BETA subid 1292,,,,,,,,1989-06-17,FAULHABER,2024-09-19,FAULHABER,,,,,Modena: Estense
BETA libid 249,LIBRARY*NAME_CLASS*CURRENT,Biblioteca Estense ed Universitaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BETA bibid 1786,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_BIBCLASS*CAT,BETA bibid 5190,,,,,,,,,,,,,,,,,,,,,,,
BETA libid 251,LIBRARY*NAME_CLASS*SHORT,Abbazia,,,,,,,,Montecassino,,Italia,,,,,,,,,,,,,,,,,,,,,,,,,LIBRARY*RELATED_GEOCLASS*L,,BETA geoid 2971,,,,,,,,,,,,,,,,,,,,,,BETA geoid 1029,,BETA subid 1292,,,,,,,,1989-06-17,FAULHABER,2024-09-19,FAULHABER,,,,,Montecassino: Abbazia
