Unnamed: 0,GEOID,TYPE,MONIKER,INTERNET_ADDRESS,Unnamed: 5,FactGrid link,LEN,Wikidata link
2121.0,BETA geoid 2848,GEOGRAPHY*TYPE*T,Peñíscola,Q845424,,Q352257,Peniscola,Q845424
2128.0,BETA geoid 2855,GEOGRAPHY*TYPE*T,La Bisbal d’Empordà,Q13460,,Q349076,La Bisbal d'Empordà,Q13460
2138.0,BETA geoid 2863,GEOGRAPHY*TYPE*T,Sainte-Maure-de-Touraine,Q474524,,Q134916,Sainte-Maure-de-Touraine,Q474524
2140.0,BETA geoid 2865,GEOGRAPHY*TYPE*T,Messina,Q13666,,Q10423,Messina,Q13666
2143.0,BETA geoid 2867,GEOGRAPHY*TYPE*T,Poleñino,Q984585,,Q352528,Poleñino,Q984585
2148.0,BETA geoid 2872,GEOGRAPHY*TYPE*T,Beauvais,Q174257,,Q105962,Beauvais,Q174257
2153.0,BETA geoid 2879,GEOGRAPHY*TYPE*M,Mota (marquesado),Q1929288,,Q351000,Mota del Marqués,Q1929288
2162.0,BETA geoid 2884,GEOGRAPHY*TYPE*T,St. Gallen,Q25607,,Q80892,St. Gallen,Q25607
2164.0,BETA geoid 2886,GEOGRAPHY*TYPE*T,Borja,Q835559,,Q345077,Borja,Q835559
2167.0,BETA geoid 2888,GEOGRAPHY*TYPE*T,Campobasso,Q3497,,Q540387,Campobasso,Q3497
2174.0,BETA geoid 2895,GEOGRAPHY*TYPE*T,Cruïlles,Q3920534,,Q346936,Cruïlles,Q3920534
2193.0,BETA geoid 2911,GEOGRAPHY*TYPE*T,Monteagudo,Q1772992,,Q350812,Monteagudo,Q1772992
,BETA geoid 2917,GEOGRAPHY*TYPE*T,Priego de Córdoba,Q301437,,Q352737,Priego de Córdoba,Q301437
