Unnamed: 0,GEOID,TYPE,MONIKER,INTERNET_ADDRESS,Unnamed: 5
66.0,BETA geoid 1060,GEOGRAPHY*TYPE*T,Iniesta,https://www.wikidata.org/wiki/Q630933,
67.0,BETA geoid 1061,GEOGRAPHY*TYPE*T,La Guardia,,
68.0,BETA geoid 1062,GEOGRAPHY*TYPE*T,Laguna de Duero,https://www.wikidata.org/wiki/Q367842,
69.0,BETA geoid 1062,,,https://es.wikipedia.org/wiki/Laguna_de_Duero,
70.0,BETA geoid 1063,GEOGRAPHY*TYPE*T,Lleida,,
72.0,BETA geoid 1065,GEOGRAPHY*TYPE*T,Logroño,,
73.0,BETA geoid 1066,GEOGRAPHY*TYPE*CA,Madrid (comunidad autónoma),,
74.0,BETA geoid 1067,GEOGRAPHY*TYPE*T,Medina del Campo,https://es.wikipedia.org/wiki/Medina_del_Campo,
75.0,BETA geoid 1068,GEOGRAPHY*TYPE*T,Mondoñedo,http://es.wikipedia.org/wiki/Mondo%C3%B1edo,
77.0,BETA geoid 1070,GEOGRAPHY*TYPE*T,Montserrat,,
81.0,BETA geoid 1074,GEOGRAPHY*TYPE*T,Oviedo,,
82.0,BETA geoid 1075,GEOGRAPHY*TYPE*T,Palencia,,
85.0,BETA geoid 1077,GEOGRAPHY*TYPE*T,Pamplona,,
89.0,BETA geoid 1082,GEOGRAPHY*TYPE*T,Oña,http://es.wikipedia.org/wiki/O%C3%B1a,
90.0,BETA geoid 1083,GEOGRAPHY*TYPE*T,Santiago de Compostela,,
91.0,BETA geoid 1084,GEOGRAPHY*TYPE*T,Segovia,,
92.0,BETA geoid 1085,GEOGRAPHY*TYPE*T,Segura,https://www.wikidata.org/wiki/Q532136,
93.0,BETA geoid 1086,GEOGRAPHY*TYPE*P,Gipuzkoa (provincia),,
94.0,BETA geoid 1087,GEOGRAPHY*TYPE*T,Sigüenza,,
97.0,BETA geoid 1090,GEOGRAPHY*TYPE*P,Toledo (provincia),,
98.0,BETA geoid 1091,GEOGRAPHY*TYPE*T,El Puerto de Santa María,https://www.wikidata.org/wiki/Q203040,
99.0,BETA geoid 1091,,,https://en.wikipedia.org/wiki/El_Puerto_de_Santa_MarC3%ADa,
100.0,BETA geoid 1092,GEOGRAPHY*TYPE*T,Uclés,https://www.wikidata.org/wiki/Q959012,
102.0,BETA geoid 1094,GEOGRAPHY*TYPE*T,Valverde,,
103.0,BETA geoid 1095,GEOGRAPHY*TYPE*T,Venezia,,
104.0,BETA geoid 1096,GEOGRAPHY*TYPE*T,Villalpando,,
105.0,BETA geoid 1097,GEOGRAPHY*TYPE*T,Zamora,,
108.0,BETA geoid 1099,GEOGRAPHY*TYPE*Y,Cataluña (principado),https://database.factgrid.de/wiki/Item:Q780285,
109.0,BETA geoid 1100,GEOGRAPHY*TYPE*K,Navarra (reino),Q704212,
113.0,BETA geoid 1104,GEOGRAPHY*TYPE*K,"Castilla y León, Corona de (reino)",https://database.factgrid.de/wiki/Item:Q451045,
116.0,BETA geoid 1107,GEOGRAPHY*TYPE*T,Alarcón,https://www.wikidata.org/wiki/Q1020522,
,BETA geoid 1107,,,https://database.factgrid.de/wiki/Item:Q343291,
119.0,BETA geoid 1109,GEOGRAPHY*TYPE*T,Benavente,https://database.factgrid.de/wiki/Item:Q344768,
120.0,BETA geoid 1111,GEOGRAPHY*TYPE*T,Benamejí,https://database.factgrid.de/wiki/Item:Q344758,
127.0,BETA geoid 1117,GEOGRAPHY*TYPE*T,Osuna,https://www.wikidata.org/wiki/Q586018,
128.0,BETA geoid 1118,GEOGRAPHY*TYPE*T,Fernán Núñez,https://www.wikidata.org/wiki/Q1617311,
129.0,BETA geoid 1119,GEOGRAPHY*TYPE*T,Frías,https://www.wikidata.org/wiki/Q1657230,
130.0,BETA geoid 1119,,,https://es.wikipedia.org/wiki/Ducado_de_FrC3%ADas,
131.0,BETA geoid 1120,GEOGRAPHY*TYPE*T,Gor,https://www.wikidata.org/wiki/Q574434,
132.0,BETA geoid 1120,,,https://es.wikipedia.org/wiki/Gor,
133.0,BETA geoid 1121,GEOGRAPHY*TYPE*T,Guimerà,https://www.wikidata.org/wiki/Q1902128,
134.0,BETA geoid 1121,,,https://es.wikipedia.org/wiki/GuimerC3%A1,
135.0,BETA geoid 1121,,,https://ca.wikipedia.org/wiki/Comtat_de_Guimer%C3%A0,
137.0,BETA geoid 1122,GEOGRAPHY*TYPE*T,Híjar,https://www.wikidata.org/wiki/Q1615268,
136.0,BETA geoid 1122,,,https://es.wikipedia.org/wiki/H%C3%ADjar,
140.0,BETA geoid 1124,GEOGRAPHY*TYPE*T,Jerez de los Caballeros,https://database.factgrid.de/wiki/Item:Q348967,
141.0,BETA geoid 1125,GEOGRAPHY*TYPE*T,Jerez de la Frontera,http://en.wikipedia.org/wiki/Jerez_de_la_Frontera,
148.0,BETA geoid 1130,GEOGRAPHY*TYPE*T,Medinaceli,https://es.wikipedia.org/wiki/Ducado_de_Medinaceli,
149.0,BETA geoid 1131,GEOGRAPHY*TYPE*T,Miranda del Castañar,https://www.wikidata.org/wiki/Q1769783,
150.0,BETA geoid 1131,,,https://es.wikipedia.org/wiki/Miranda_del_Casta%C3%B1ar,
153.0,BETA geoid 1134,GEOGRAPHY*TYPE*T,München,,
160.0,BETA geoid 1141,GEOGRAPHY*TYPE*T,Plasencia,http://es.wikipedia.org/wiki/Plasencia,
163.0,BETA geoid 1144,GEOGRAPHY*TYPE*T,Ribadavia,https://www.wikidata.org/wiki/Q917180,
164.0,BETA geoid 1144,,,https://es.wikipedia.org/wiki/Ribadavia,
165.0,BETA geoid 1145,GEOGRAPHY*TYPE*T,La Romana,,
168.0,BETA geoid 1147,GEOGRAPHY*TYPE*T,San Román,,
169.0,BETA geoid 1148,GEOGRAPHY*TYPE*T,Ripoll,https://www.wikidata.org/wiki/Q12335,
171.0,BETA geoid 1150,GEOGRAPHY*TYPE*T,Alba,https://www.wikidata.org/wiki/Q946344,
172.0,BETA geoid 1151,GEOGRAPHY*TYPE*T,Simancas,,
174.0,BETA geoid 1153,GEOGRAPHY*TYPE*T,Tarifa,,
175.0,BETA geoid 1154,GEOGRAPHY*TYPE*T,Uceda,https://www.wikidata.org/wiki/Q1641757,
177.0,BETA geoid 1154,,,https://es.wikipedia.org/wiki/Ducado_de_Uceda,
178.0,BETA geoid 1155,GEOGRAPHY*TYPE*T,Nieva,https://www.wikidata.org/wiki/Q1124643,
180.0,BETA geoid 1155,,,https://es.wikipedia.org/wiki/Condado_de_Nieva,
181.0,BETA geoid 1156,GEOGRAPHY*TYPE*EN,Alcántara (encomienda),,
185.0,BETA geoid 1159,GEOGRAPHY*TYPE*T,Calahorra,,
188.0,BETA geoid 1162,GEOGRAPHY*TYPE*K,Castilla (reino),,
189.0,BETA geoid 1163,GEOGRAPHY*TYPE*T,Valderas,,
190.0,BETA geoid 1164,GEOGRAPHY*TYPE*T,Hita,,
192.0,BETA geoid 1166,GEOGRAPHY*TYPE*T,Úbeda,,
196.0,BETA geoid 1170,GEOGRAPHY*TYPE*R,Auvergne (región),https://www.wikidata.org/wiki/Q1152,
197.0,BETA geoid 1170,,,https://fr.wikipedia.org/wiki/Auvergne,
198.0,BETA geoid 1170,,,https://es.wikipedia.org/wiki/Condado_de_Auvernia,
199.0,BETA geoid 1171,GEOGRAPHY*TYPE*C,Poitou (condado),https://www.wikidata.org/wiki/Q2991374,
200.0,BETA geoid 1171,,,https://fr.wikipedia.org/wiki/Comt%C3%A9_de_Poitou,
203.0,BETA geoid 1173,GEOGRAPHY*TYPE*T,Cifuentes,https://www.wikidata.org/wiki/Q986570,
204.0,BETA geoid 1173,,,https://es.wikipedia.org/wiki/Condado_de_Cifuentes,
205.0,BETA geoid 1174,GEOGRAPHY*TYPE*T,Mayorga,https://www.wikidata.org/wiki/Q1915094,
206.0,BETA geoid 1175,GEOGRAPHY*TYPE*T,Tendilla,https://www.wikidata.org/wiki/Q1120060,
207.0,BETA geoid 1175,,,https://es.wikipedia.org/wiki/Tendilla,
208.0,BETA geoid 1176,GEOGRAPHY*TYPE*R,Bourgogne (región),https://www.wikidata.org/wiki/Q1173,
210.0,BETA geoid 1176,,,https://es.wikipedia.org/wiki/Borgo%C3%B1a,
211.0,BETA geoid 1177,GEOGRAPHY*TYPE*R,Berry (región),https://www.wikidata.org/wiki/Q827169,
212.0,BETA geoid 1177,,,https://es.wikipedia.org/wiki/Berry_(Francia),
213.0,BETA geoid 1178,GEOGRAPHY*TYPE*R,Bourbon (región),https://fr.wikipedia.org/wiki/Duch%C3%A9_de_Bourbon,
216.0,BETA geoid 1181,GEOGRAPHY*TYPE*T,Astorga,,
219.0,BETA geoid 1185,GEOGRAPHY*TYPE*T,Jaén,,
222.0,BETA geoid 1188,GEOGRAPHY*TYPE*T,Paredes de Nava,https://www.wikidata.org/wiki/Q919652,
223.0,BETA geoid 1188,,,https://es.wikipedia.org/wiki/Paredes_de_Nava,
224.0,BETA geoid 1189,GEOGRAPHY*TYPE*T,Viana,https://www.wikidata.org/wiki/Q907241,
226.0,BETA geoid 1191,GEOGRAPHY*TYPE*T,Redondo,https://www.wikidata.org/wiki/Q997608,
230.0,BETA geoid 1195,GEOGRAPHY*TYPE*T,Ribadeo,https://www.wikidata.org/wiki/Q520848,
231.0,BETA geoid 1195,,,https://es.wikipedia.org/wiki/Condado_de_Ribadeo,
233.0,BETA geoid 1197,GEOGRAPHY*TYPE*T,Sisamón,http://es.wikipedia.org/wiki/Sisam%C3%B3n,
237.0,BETA geoid 1201,GEOGRAPHY*TYPE*EN,Caravaca de la Cruz (encomienda),https://www.wikidata.org/wiki/Q230368,
251.0,BETA geoid 1211,GEOGRAPHY*TYPE*T,Alburquerque,https://www.wikidata.org/wiki/Q493370,
265.0,BETA geoid 1224,GEOGRAPHY*TYPE*P,Asturias (provincia),https://www.wikidata.org/wiki/Q95006,
267.0,BETA geoid 1224,,,https://es.wikipedia.org/wiki/Provincia_de_Oviedo,
266.0,BETA geoid 1224,,,https://database.factgrid.de/wiki/Item:Q780286,
268.0,BETA geoid 1225,GEOGRAPHY*TYPE*T,Ayamonte,https://www.wikidata.org/wiki/Q736872,
269.0,BETA geoid 1225,,,https://es.wikipedia.org/wiki/Ayamonte,
272.0,BETA geoid 1228,GEOGRAPHY*TYPE*T,Griñón,,
273.0,BETA geoid 1229,GEOGRAPHY*TYPE*T,Aguilar de la Frontera,https://en.wikipedia.org/wiki/Aguilar_de_la_Frontera,
274.0,BETA geoid 1230,GEOGRAPHY*TYPE*T,Boneche,,
275.0,BETA geoid 1231,GEOGRAPHY*TYPE*T,Cervera,,
281.0,BETA geoid 1237,GEOGRAPHY*TYPE*T,Bélmez,,
285.0,BETA geoid 1241,GEOGRAPHY*TYPE*T,Reus,,
286.0,BETA geoid 1242,GEOGRAPHY*TYPE*T,Teruel,,
290.0,BETA geoid 1246,GEOGRAPHY*TYPE*T,Cáceres,,
293.0,BETA geoid 1249,GEOGRAPHY*TYPE*T,Ledesma,https://www.wikidata.org/wiki/Q965028,
294.0,BETA geoid 1250,GEOGRAPHY*TYPE*T,Niebla,https://www.wikidata.org/wiki/Q828723,
296.0,BETA geoid 1250,,,https://es.wikipedia.org/wiki/Condado_de_Niebla,
297.0,BETA geoid 1251,GEOGRAPHY*TYPE*T,Algeciras,,
299.0,BETA geoid 1253,GEOGRAPHY*TYPE*T,Bonilla de la Sierra,,
300.0,BETA geoid 1254,GEOGRAPHY*TYPE*P,Ávila (provincia),,
301.0,BETA geoid 1255,GEOGRAPHY*TYPE*T,Alfaro,,
303.0,BETA geoid 1257,GEOGRAPHY*TYPE*T,Aranda de Duero,http://es.wikipedia.org/wiki/Aranda_de_Duero,
308.0,BETA geoid 1260,GEOGRAPHY*TYPE*T,Madrigal de las Altas Torres,,
309.0,BETA geoid 1261,GEOGRAPHY*TYPE*T,Palenzuela,,
310.0,BETA geoid 1262,GEOGRAPHY*TYPE*T,Tordesillas,,
311.0,BETA geoid 1263,GEOGRAPHY*TYPE*T,Ocaña,,
314.0,BETA geoid 1265,GEOGRAPHY*TYPE*T,Belchite,https://www.wikidata.org/wiki/Q815339,
315.0,BETA geoid 1266,GEOGRAPHY*TYPE*T,Mondéjar,,
317.0,BETA geoid 1268,GEOGRAPHY*TYPE*T,Carrión de los Condes,,
320.0,BETA geoid 1271,GEOGRAPHY*TYPE*P,Salamanca (provincia),,
321.0,BETA geoid 1272,GEOGRAPHY*TYPE*T,Cocentaina,https://www.wikidata.org/wiki/Q1231003,
323.0,BETA geoid 1274,GEOGRAPHY*TYPE*T,Fuensalida,https://www.wikidata.org/wiki/Q1630082,
324.0,BETA geoid 1274,,,https://es.wikipedia.org/wiki/Fuensalida,
327.0,BETA geoid 1277,GEOGRAPHY*TYPE*P,Cuenca (provincia),,
328.0,BETA geoid 1278,GEOGRAPHY*TYPE*T,León,,
331.0,BETA geoid 1281,GEOGRAPHY*TYPE*T,Torrelobatón,http://es.wikipedia.org/wiki/Torrelobat%C3%B3n,
334.0,BETA geoid 1284,GEOGRAPHY*TYPE*T,Toro,,
335.0,BETA geoid 1285,GEOGRAPHY*TYPE*T,Illescas,,
336.0,BETA geoid 1286,GEOGRAPHY*TYPE*T,Briviesca,,
338.0,BETA geoid 1288,GEOGRAPHY*TYPE*T,Camarles,,
342.0,BETA geoid 1291,GEOGRAPHY*TYPE*T,Vicuña,,
343.0,BETA geoid 1292,GEOGRAPHY*TYPE*L,las Indias Occidentales (patriarcado),https://www.wikidata.org/wiki/Q616795,
344.0,BETA geoid 1292,,,https://database.factgrid.de/wiki/Item:Q780041,
349.0,BETA geoid 1295,GEOGRAPHY*TYPE*EN,Alcañiz (encomienda),,
351.0,BETA geoid 1297,GEOGRAPHY*TYPE*T,Liédena,http://es.wikipedia.org/wiki/Li%C3%A9dena,
353.0,BETA geoid 1299,GEOGRAPHY*TYPE*T,Gondomar,https://www.wikidata.org/wiki/Q1607596,
354.0,BETA geoid 1299,,,https://es.wikipedia.org/wiki/Gondomar,
355.0,BETA geoid 1300,GEOGRAPHY*TYPE*T,Pinto,,
356.0,BETA geoid 1301,GEOGRAPHY*TYPE*T,Villahermosa,https://www.wikidata.org/wiki/Q605274,
358.0,BETA geoid 1301,,,https://es.wikipedia.org/wiki/Ducado_de_Villahermosa,
364.0,BETA geoid 1306,GEOGRAPHY*TYPE*T,Villafranca del Bierzo,https://www.wikidata.org/wiki/Q848300,
365.0,BETA geoid 1307,GEOGRAPHY*TYPE*T,Rascafría,,
366.0,BETA geoid 1308,GEOGRAPHY*TYPE*C,San Clemente (condado),https://www.wikidata.org/wiki/Q117193166,
367.0,BETA geoid 1308,,,https://es.wikipedia.org/wiki/Condado_de_San_Clemente,
368.0,BETA geoid 1309,GEOGRAPHY*TYPE*T,Montesa,,
369.0,BETA geoid 1310,GEOGRAPHY*TYPE*CA,Comunitat Valenciana (comunidad autónoma),,
370.0,BETA geoid 1311,GEOGRAPHY*TYPE*T,Mérida,,
372.0,BETA geoid 1313,GEOGRAPHY*TYPE*T,Villaviciosa de Tajuña,,
373.0,BETA geoid 1314,GEOGRAPHY*TYPE*P,Guadalajara (provincia),,
374.0,BETA geoid 1315,GEOGRAPHY*TYPE*T,Lupiana,,
375.0,BETA geoid 1316,GEOGRAPHY*TYPE*K,France (reino),,
377.0,BETA geoid 1318,GEOGRAPHY*TYPE*K,Valencia (reino),,
381.0,BETA geoid 1322,GEOGRAPHY*TYPE*T,A Coruña,,
383.0,BETA geoid 1325,GEOGRAPHY*TYPE*T,Ricote,https://es.wikipedia.org/wiki/Ricote,
384.0,BETA geoid 1326,GEOGRAPHY*TYPE*EN,Corral de Almaguer (encomienda),,
385.0,BETA geoid 1327,GEOGRAPHY*TYPE*EN,Santa Cruz de la Zarza (encomienda),https://es.wikipedia.org/wiki/Santa_Cruz_de_la_Zarza,
387.0,BETA geoid 1329,GEOGRAPHY*TYPE*EN,Cieza (encomienda),,
389.0,BETA geoid 1331,GEOGRAPHY*TYPE*T,Padrón,https://www.wikidata.org/wiki/Q500494,
390.0,BETA geoid 1332,GEOGRAPHY*TYPE*P,Badajoz (provincia),,
399.0,BETA geoid 1338,GEOGRAPHY*TYPE*T,Bilbao,,
400.0,BETA geoid 1339,GEOGRAPHY*TYPE*T,Batres,,
408.0,BETA geoid 1343,GEOGRAPHY*TYPE*T,Almazán,https://en.wikipedia.org/wiki/Almaz%C3%A1n,
409.0,BETA geoid 1344,GEOGRAPHY*TYPE*T,Monteagudo,https://www.wikidata.org/wiki/Q837210,
410.0,BETA geoid 1344,,,https://es.wikipedia.org/wiki/Monteagudo_de_las_Vicar%C3%ADas,
412.0,BETA geoid 1346,GEOGRAPHY*TYPE*H,Torija (vizcondado),https://es.wikipedia.org/wiki/Torija,
413.0,BETA geoid 1347,GEOGRAPHY*TYPE*T,Beleña,,
414.0,BETA geoid 1348,GEOGRAPHY*TYPE*T,Cazorla,,
418.0,BETA geoid 1352,GEOGRAPHY*TYPE*T,Palazuelos,,
419.0,BETA geoid 1353,GEOGRAPHY*TYPE*T,Fresno de Torote,https://www.wikidata.org/wiki/Q24012746,
420.0,BETA geoid 1354,GEOGRAPHY*TYPE*T,Guadix,,
421.0,BETA geoid 1355,GEOGRAPHY*TYPE*T,Cevico de la Torre,,
422.0,BETA geoid 1356,GEOGRAPHY*TYPE*T,Tordehumos,,
423.0,BETA geoid 1357,GEOGRAPHY*TYPE*R,Luna (región),https://www.wikidata.org/wiki/Q1074134,
425.0,BETA geoid 1357,,,https://es.wikipedia.org/wiki/Condado_de_Luna_(1462),
426.0,BETA geoid 1358,GEOGRAPHY*TYPE*T,Villanubla,,
427.0,BETA geoid 1359,GEOGRAPHY*TYPE*P,Valladolid (provincia),,
428.0,BETA geoid 1360,GEOGRAPHY*TYPE*T,Alcaraz,,
429.0,BETA geoid 1361,GEOGRAPHY*TYPE*T,Zafra,,
430.0,BETA geoid 1362,GEOGRAPHY*TYPE*T,Feria,https://www.wikidata.org/wiki/Q1447714,
432.0,BETA geoid 1364,GEOGRAPHY*TYPE*T,Oropesa,https://www.wikidata.org/wiki/Q747273,
433.0,BETA geoid 1364,,,https://es.wikipedia.org/wiki/Condado_de_Oropesa,
441.0,BETA geoid 1369,GEOGRAPHY*TYPE*EN,Montalbán (encomienda),,
442.0,BETA geoid 1370,GEOGRAPHY*TYPE*C,Campo de Alange (condado),https://www.wikidata.org/wiki/Q5781434,
443.0,BETA geoid 1370,,,http://es.wikipedia.org/wiki/Condado_de_Campo_de_Alange,
444.0,BETA geoid 1371,GEOGRAPHY*TYPE*T,Pontevedra,,
447.0,BETA geoid 1374,GEOGRAPHY*TYPE*T,Valderredible,,
448.0,BETA geoid 1375,GEOGRAPHY*TYPE*P,Cantabria (provincia),,
449.0,BETA geoid 1376,GEOGRAPHY*TYPE*T,Soria,,
472.0,BETA geoid 1396,GEOGRAPHY*TYPE*T,Villaverde,,
477.0,BETA geoid 1399,GEOGRAPHY*TYPE*T,Cabra,https://www.wikidata.org/wiki/Q927931,
478.0,BETA geoid 1399,,,https://es.wikipedia.org/wiki/Cabra_(C%C3%B3rdoba),
479.0,BETA geoid 1400,GEOGRAPHY*TYPE*T,Moya,,
483.0,BETA geoid 1404,GEOGRAPHY*TYPE*MO,Montesclaros (montaña),,
485.0,BETA geoid 1406,GEOGRAPHY*TYPE*T,Cogolludo,,
488.0,BETA geoid 1408,GEOGRAPHY*TYPE*K,Napoli (reino),,
489.0,BETA geoid 1409,GEOGRAPHY*TYPE*L,Alexandria (patriarcado),https://www.wikidata.org/wiki/Q1755700,
491.0,BETA geoid 1409,,,https://es.wikipedia.org/wiki/Patriarcado_latino_de_Alejandr%C3%ADa,
490.0,BETA geoid 1409,,,https://database.factgrid.de/wiki/Item:Q780041,
492.0,BETA geoid 1410,GEOGRAPHY*TYPE*T,Escalona,https://www.wikidata.org/wiki/Q616621,
493.0,BETA geoid 1411,GEOGRAPHY*TYPE*V,Nueva España (virreinato),https://www.wikidata.org/wiki/Q170603,
495.0,BETA geoid 1411,,,https://es.wikipedia.org/wiki/Virreinato_de_Nueva_Espa%C3%B1a,
494.0,BETA geoid 1411,,,https://database.factgrid.de/wiki/Item:Q780135,
496.0,BETA geoid 1412,GEOGRAPHY*TYPE*T,Orgaz,https://www.wikidata.org/wiki/Q1118107,
497.0,BETA geoid 1412,,,https://es.wikipedia.org/wiki/Orgaz,
498.0,BETA geoid 1413,GEOGRAPHY*TYPE*T,Los Molares,https://www.wikidata.org/wiki/Q1146804,
500.0,BETA geoid 1413,,,https://es.wikipedia.org/wiki/Condado_de_los_Molares,
504.0,BETA geoid 1416,GEOGRAPHY*TYPE*T,Chinchón,https://www.wikidata.org/wiki/Q915395,
505.0,BETA geoid 1416,,,https://es.wikipedia.org/wiki/Chinch%C3%B3n,
506.0,BETA geoid 1417,GEOGRAPHY*TYPE*T,Figueruelas,,
515.0,BETA geoid 1426,GEOGRAPHY*TYPE*A,Salerno (archidiócesis),,
518.0,BETA geoid 1429,GEOGRAPHY*TYPE*T,Casarrubios,https://www.wikidata.org/wiki/Q1628648,
519.0,BETA geoid 1429,,,http://es.wikipedia.org/wiki/Casarrubios_del_Monte,
521.0,BETA geoid 1431,GEOGRAPHY*TYPE*T,Candeleda,,
523.0,BETA geoid 1433,GEOGRAPHY*TYPE*C,Foix (condado),https://www.wikidata.org/wiki/Q1481436,
524.0,BETA geoid 1433,,,https://fr.wikipedia.org/wiki/Comt%C3%A9_de_Foix,
527.0,BETA geoid 1436,GEOGRAPHY*TYPE*T,Villalobos,https://www.wikidata.org/wiki/Q1922078,
528.0,BETA geoid 1436,,,https://es.wikipedia.org/wiki/Villalobos_(Zamora),
532.0,BETA geoid 1438,GEOGRAPHY*TYPE*T,Calatayud,,
533.0,BETA geoid 1439,GEOGRAPHY*TYPE*T,Salvatierra de Tormes,https://www.wikidata.org/wiki/Q1766309,
534.0,BETA geoid 1439,,,http://en.wikipedia.org/wiki/Salvatierra_de_Tormes,
536.0,BETA geoid 1441,GEOGRAPHY*TYPE*T,Santa Fe,,
537.0,BETA geoid 1442,GEOGRAPHY*TYPE*T,Palma del Río,,
545.0,BETA geoid 1450,GEOGRAPHY*TYPE*T,Olite,,
546.0,BETA geoid 1451,GEOGRAPHY*TYPE*T,Peñafiel,https://www.wikidata.org/wiki/Q667682,
547.0,BETA geoid 1451,,,https://es.wikipedia.org/wiki/Pe%C3%B1afiel,
551.0,BETA geoid 1455,GEOGRAPHY*TYPE*T,Sobradiel,https://www.wikidata.org/wiki/Q65206433,
552.0,BETA geoid 1456,GEOGRAPHY*TYPE*T,Arcos,https://www.wikidata.org/wiki/Q637863,
553.0,BETA geoid 1456,,,https://es.wikipedia.org/wiki/Ducado_de_Arcos,
554.0,BETA geoid 1457,GEOGRAPHY*TYPE*T,Castrojeriz,https://es.wikipedia.org/wiki/Condado_de_Castrojeriz,
560.0,BETA geoid 1461,GEOGRAPHY*TYPE*T,Guadarrama,,
561.0,BETA geoid 1462,GEOGRAPHY*TYPE*T,Buendía,https://www.wikidata.org/wiki/Q513533,
563.0,BETA geoid 1462,,,https://es.wikipedia.org/wiki/Condado_de_Buend%C3%ADa,
564.0,BETA geoid 1463,GEOGRAPHY*TYPE*T,Azañón,https://www.wikidata.org/wiki/Q55754498,
,BETA geoid 1464,,,https://www.wikidata.org/wiki/Q678177,
565.0,BETA geoid 1464,GEOGRAPHY*TYPE*T,Medina Sidonia,https://es.wikipedia.org/wiki/Medina_Sidonia,
