,GEOID,TYPE,MONIKER,INTERNET_ADDRESS,
169,BETA geoid 1148,GEOGRAPHY*TYPE*T,Ripoll,https://www.wikidata.org/wiki/Q12335,
170,BETA geoid 1149,GEOGRAPHY*TYPE*T,Santillana,,
171,BETA geoid 1150,GEOGRAPHY*TYPE*T,Alba,https://www.wikidata.org/wiki/Q946344,
172,BETA geoid 1151,GEOGRAPHY*TYPE*T,Simancas,,
173,BETA geoid 1152,GEOGRAPHY*TYPE*T,Sparwenfeld,,
174,BETA geoid 1153,GEOGRAPHY*TYPE*T,Tarifa,,
175,BETA geoid 1154,GEOGRAPHY*TYPE*T,Uceda,https://www.wikidata.org/wiki/Q1641757,
177,BETA geoid 1154,,,https://es.wikipedia.org/wiki/Ducado_de_Uceda,
178,BETA geoid 1155,GEOGRAPHY*TYPE*T,Nieva,https://www.wikidata.org/wiki/Q1124643,
180,BETA geoid 1155,,,https://es.wikipedia.org/wiki/Condado_de_Nieva,
181,BETA geoid 1156,GEOGRAPHY*TYPE*EN,Alcántara (encomienda),,
183,BETA geoid 1157,,,https://www.wikidata.org/wiki/Q3771328,
182,BETA geoid 1157,GEOGRAPHY*TYPE*T,Villena,https://es.wikipedia.org/wiki/Villena,
184,BETA geoid 1158,GEOGRAPHY*TYPE*T,Zürich,,
185,BETA geoid 1159,GEOGRAPHY*TYPE*T,Calahorra,,
186,BETA geoid 1160,GEOGRAPHY*TYPE*T,Cervatos,https://es.wikipedia.org/wiki/Cervatos,
187,BETA geoid 1161,GEOGRAPHY*TYPE*K,Castilla y León (reino),,
188,BETA geoid 1162,GEOGRAPHY*TYPE*K,Castilla (reino),,
189,BETA geoid 1163,GEOGRAPHY*TYPE*T,Valderas,,
190,BETA geoid 1164,GEOGRAPHY*TYPE*T,Hita,,
191,BETA geoid 1165,GEOGRAPHY*TYPE*T,Palermo,,
192,BETA geoid 1166,GEOGRAPHY*TYPE*T,Úbeda,,
193,BETA geoid 1167,GEOGRAPHY*TYPE*T,Bragança,http://en.wikipedia.org/wiki/Bragan%C3%A7a_Municipality,
194,BETA geoid 1168,GEOGRAPHY*TYPE*EN,Calatrava (encomienda),http://es.wikipedia.org/wiki/Castillo_de_Calatrava_la_Nueva,
195,BETA geoid 1169,GEOGRAPHY*TYPE*T,Genova,,
196,BETA geoid 1170,GEOGRAPHY*TYPE*R,Auvergne (región),https://www.wikidata.org/wiki/Q1152,
197,BETA geoid 1170,,,https://fr.wikipedia.org/wiki/Auvergne,
198,BETA geoid 1170,,,https://es.wikipedia.org/wiki/Condado_de_Auvernia,
199,BETA geoid 1171,GEOGRAPHY*TYPE*C,Poitou (condado),https://www.wikidata.org/wiki/Q2991374,
200,BETA geoid 1171,,,https://fr.wikipedia.org/wiki/Comt%C3%A9_de_Poitou,
201,BETA geoid 1172,GEOGRAPHY*TYPE*T,Barcelos,https://www.wikidata.org/wiki/Q213242,
202,BETA geoid 1172,,,https://pt.wikipedia.org/wiki/Barcelos,
203,BETA geoid 1173,GEOGRAPHY*TYPE*T,Cifuentes,https://www.wikidata.org/wiki/Q986570,
204,BETA geoid 1173,,,https://es.wikipedia.org/wiki/Condado_de_Cifuentes,
205,BETA geoid 1174,GEOGRAPHY*TYPE*T,Mayorga,https://www.wikidata.org/wiki/Q1915094,
206,BETA geoid 1175,GEOGRAPHY*TYPE*T,Tendilla,https://www.wikidata.org/wiki/Q1120060,
207,BETA geoid 1175,,,https://es.wikipedia.org/wiki/Tendilla,
208,BETA geoid 1176,GEOGRAPHY*TYPE*R,Bourgogne (región),https://www.wikidata.org/wiki/Q1173,
210,BETA geoid 1176,,,https://es.wikipedia.org/wiki/Borgo%C3%B1a,
211,BETA geoid 1177,GEOGRAPHY*TYPE*R,Berry (región),https://www.wikidata.org/wiki/Q827169,
212,BETA geoid 1177,,,https://es.wikipedia.org/wiki/Berry_(Francia),
213,BETA geoid 1178,GEOGRAPHY*TYPE*R,Bourbon (región),https://fr.wikipedia.org/wiki/Duch%C3%A9_de_Bourbon,
214,BETA geoid 1179,GEOGRAPHY*TYPE*T,Altemps,https://it.wikipedia.org/wiki/Altemps,
215,BETA geoid 1180,GEOGRAPHY*TYPE*T,Crawford,,
216,BETA geoid 1181,GEOGRAPHY*TYPE*T,Astorga,,
217,BETA geoid 1182,GEOGRAPHY*TYPE*T,Giraci,,
218,BETA geoid 1184,GEOGRAPHY*TYPE*T,Bayonne,,
219,BETA geoid 1185,GEOGRAPHY*TYPE*T,Jaén,,
220,BETA geoid 1186,GEOGRAPHY*TYPE*T,Nempos,,
221,BETA geoid 1187,GEOGRAPHY*TYPE*H,Tuy (vizcondado),,
222,BETA geoid 1188,GEOGRAPHY*TYPE*T,Paredes de Nava,https://www.wikidata.org/wiki/Q919652,
223,BETA geoid 1188,,,https://es.wikipedia.org/wiki/Paredes_de_Nava,
224,BETA geoid 1189,GEOGRAPHY*TYPE*T,Viana,https://www.wikidata.org/wiki/Q907241,
225,BETA geoid 1190,GEOGRAPHY*TYPE*T,La Sisla,,
226,BETA geoid 1191,GEOGRAPHY*TYPE*T,Redondo,https://www.wikidata.org/wiki/Q997608,
227,BETA geoid 1192,GEOGRAPHY*TYPE*K,Arabia (reino),,
228,BETA geoid 1193,GEOGRAPHY*TYPE*K,Armenia (reino),,
229,BETA geoid 1194,GEOGRAPHY*TYPE*K,Portugal (reino),,
230,BETA geoid 1195,GEOGRAPHY*TYPE*T,Ribadeo,https://www.wikidata.org/wiki/Q520848,
231,BETA geoid 1195,,,https://es.wikipedia.org/wiki/Condado_de_Ribadeo,
232,BETA geoid 1196,GEOGRAPHY*TYPE*T,Roma,,
233,BETA geoid 1197,GEOGRAPHY*TYPE*T,Sisamón,http://es.wikipedia.org/wiki/Sisam%C3%B3n,
234,BETA geoid 1198,GEOGRAPHY*TYPE*R,Vizcaya (región),,
235,BETA geoid 1199,GEOGRAPHY*TYPE*T,Bayona,,
236,BETA geoid 1200,GEOGRAPHY*TYPE*J,Altamira (castillo),https://es.wikipedia.org/wiki/Condado_de_Altamira,
237,BETA geoid 1201,GEOGRAPHY*TYPE*EN,Caravaca de la Cruz (encomienda),https://www.wikidata.org/wiki/Q230368,
238,BETA geoid 1202,GEOGRAPHY*TYPE*T,Morimond,,
239,BETA geoid 1203,GEOGRAPHY*TYPE*T,Rachí,,
240,BETA geoid 1204,GEOGRAPHY*TYPE*MO,Monte Sinaí (montaña),https://www.wikidata.org/wiki/Q377485,
241,BETA geoid 1205,GEOGRAPHY*TYPE*T,Antioquia,,
242,BETA geoid 1206,GEOGRAPHY*TYPE*T,Firenze,,
243,BETA geoid 1207,GEOGRAPHY*TYPE*CO,Étampes (comuna),https://www.wikidata.org/wiki/Q205584,
245,BETA geoid 1207,,,https://fr.wikipedia.org/wiki/%C3%89tampes,
244,BETA geoid 1207,,,https://database.factgrid.de/wiki/Item:Q113975,
246,BETA geoid 1208,GEOGRAPHY*TYPE*C,Campomanes (condado),,
247,BETA geoid 1209,GEOGRAPHY*TYPE*MO,Prades (montaña),https://www.wikidata.org/wiki/Q6745874,
248,BETA geoid 1209,,,https://es.wikipedia.org/wiki/Monta%C3%B1as_de_Prades,
249,BETA geoid 1210,GEOGRAPHY*TYPE*U,Bar (ducado),https://www.wikidata.org/wiki/Q706679,
250,BETA geoid 1210,,,https://en.wikipedia.org/wiki/Duchy_of_Bar,
251,BETA geoid 1211,GEOGRAPHY*TYPE*T,Alburquerque,https://www.wikidata.org/wiki/Q493370,
252,BETA geoid 1212,GEOGRAPHY*TYPE*T,Fez,,
253,BETA geoid 1213,GEOGRAPHY*TYPE*K,England (reino),,
254,BETA geoid 1214,GEOGRAPHY*TYPE*R,Los Vélez (región),https://www.wikidata.org/wiki/Q1116313,
255,BETA geoid 1214,,,https://es.wikipedia.org/wiki/Los_V%C3%A9lez,
256,BETA geoid 1215,GEOGRAPHY*TYPE*T,Pont-à-Mousson,https://www.wikidata.org/wiki/Q461413,
257,BETA geoid 1216,GEOGRAPHY*TYPE*T,Cività,,
258,BETA geoid 1217,GEOGRAPHY*TYPE*I,Sardegna (isla),,
259,BETA geoid 1218,GEOGRAPHY*TYPE*T,Ajaccio,,
260,BETA geoid 1219,GEOGRAPHY*TYPE*D,Megara (diócesis),https://www.wikidata.org/wiki/Q1917128,
261,BETA geoid 1220,GEOGRAPHY*TYPE*D,Sarda (diócesis),,
262,BETA geoid 1221,GEOGRAPHY*TYPE*N,Albania (nación),,
263,BETA geoid 1222,GEOGRAPHY*TYPE*T,Lisboa,,
264,BETA geoid 1223,GEOGRAPHY*TYPE*D,Osimo (diócesis),https://en.wikipedia.org/wiki/Roman_Catholic_Diocese_of_Osimo,
265,BETA geoid 1224,GEOGRAPHY*TYPE*P,Asturias (provincia),https://www.wikidata.org/wiki/Q95006,
267,BETA geoid 1224,,,https://es.wikipedia.org/wiki/Provincia_de_Oviedo,
266,BETA geoid 1224,,,https://database.factgrid.de/wiki/Item:Q780286,
268,BETA geoid 1225,GEOGRAPHY*TYPE*T,Ayamonte,https://www.wikidata.org/wiki/Q736872,
269,BETA geoid 1225,,,https://es.wikipedia.org/wiki/Ayamonte,
270,BETA geoid 1226,GEOGRAPHY*TYPE*T,Granjac,,
271,BETA geoid 1227,GEOGRAPHY*TYPE*T,Cubas,,
272,BETA geoid 1228,GEOGRAPHY*TYPE*T,Griñón,,
273,BETA geoid 1229,GEOGRAPHY*TYPE*T,Aguilar de la Frontera,https://en.wikipedia.org/wiki/Aguilar_de_la_Frontera,
274,BETA geoid 1230,GEOGRAPHY*TYPE*T,Boneche,,
275,BETA geoid 1231,GEOGRAPHY*TYPE*T,Cervera,,
276,BETA geoid 1232,GEOGRAPHY*TYPE*T,La Ventosa,,
277,BETA geoid 1233,GEOGRAPHY*TYPE*T,Villafranca del Castillo,https://es.wikipedia.org/wiki/Villafranca_del_Castillo,
279,BETA geoid 1235,GEOGRAPHY*TYPE*T,Alcalá,,
280,BETA geoid 1236,GEOGRAPHY*TYPE*T,Auñón,https://www.wikidata.org/wiki/Q425740,
281,BETA geoid 1237,GEOGRAPHY*TYPE*T,Bélmez,,
282,BETA geoid 1238,GEOGRAPHY*TYPE*T,Chinchilla,,
283,BETA geoid 1239,GEOGRAPHY*TYPE*T,Jerusalén,,
284,BETA geoid 1240,GEOGRAPHY*TYPE*T,Pavia,,
285,BETA geoid 1241,GEOGRAPHY*TYPE*T,Reus,,
286,BETA geoid 1242,GEOGRAPHY*TYPE*T,Teruel,,
287,BETA geoid 1243,GEOGRAPHY*TYPE*T,Thetford,https://www.wikidata.org/wiki/Q237250,
288,BETA geoid 1244,GEOGRAPHY*TYPE*T,Tottenham,https://www.wikidata.org/wiki/Q503375,
289,BETA geoid 1245,GEOGRAPHY*TYPE*T,London,https://www.wikidata.org/wiki/Q84,
290,BETA geoid 1246,GEOGRAPHY*TYPE*T,Cáceres,,
291,BETA geoid 1247,GEOGRAPHY*TYPE*T,Pötting,,
292,BETA geoid 1248,GEOGRAPHY*TYPE*N,Deutschland (nación),,
293,BETA geoid 1249,GEOGRAPHY*TYPE*T,Ledesma,https://www.wikidata.org/wiki/Q965028,
294,BETA geoid 1250,GEOGRAPHY*TYPE*T,Niebla,https://www.wikidata.org/wiki/Q828723,
296,BETA geoid 1250,,,https://es.wikipedia.org/wiki/Condado_de_Niebla,
297,BETA geoid 1251,GEOGRAPHY*TYPE*T,Algeciras,,
298,BETA geoid 1252,GEOGRAPHY*TYPE*T,Horozco,,
299,BETA geoid 1253,GEOGRAPHY*TYPE*T,Bonilla de la Sierra,,
300,BETA geoid 1254,GEOGRAPHY*TYPE*P,Ávila (provincia),,
301,BETA geoid 1255,GEOGRAPHY*TYPE*T,Alfaro,,
302,BETA geoid 1256,GEOGRAPHY*TYPE*T,Konstanz,,
