qid,Les,ItemDescription
https://database.factgrid.de/entity/Q342963,A Mezquita (San Pedro),
https://database.factgrid.de/entity/Q342964,"A Mezquita, A Mezquita",
https://database.factgrid.de/entity/Q342966,"A Mota, Guntín",
https://database.factgrid.de/entity/Q342967,A Mourela,
https://database.factgrid.de/entity/Q342968,A Muria,
https://database.factgrid.de/entity/Q342969,"A Muxueira, Riotorto",
https://database.factgrid.de/entity/Q342970,"A Órrea, Riotorto",
https://database.factgrid.de/entity/Q342971,A Ovellariza,
https://database.factgrid.de/entity/Q342972,"A Parte, Monforte de Lemos",
https://database.factgrid.de/entity/Q342973,A Pastoriza,
https://database.factgrid.de/entity/Q342974,"A Pedra, Cariño",
https://database.factgrid.de/entity/Q342978,A Pena,
https://database.factgrid.de/entity/Q342975,"A Pena, Cenlle",
https://database.factgrid.de/entity/Q342976,"A Pena, Negreira",
https://database.factgrid.de/entity/Q342977,"A Pena, Xinzo de Limia",
https://database.factgrid.de/entity/Q342979,"A Penela, Monforte de Lemos",
https://database.factgrid.de/entity/Q342980,A Peregrina (Santa María),
https://database.factgrid.de/entity/Q342981,"A Pereira, Entrimo",
https://database.factgrid.de/entity/Q342982,"A Pereira, Santa Comba",
https://database.factgrid.de/entity/Q342983,"A Pereiriña, Cee",
https://database.factgrid.de/entity/Q342985,A Peroxa,
https://database.factgrid.de/entity/Q342984,"A Peroxa, A Peroxa",
https://database.factgrid.de/entity/Q342986,A Perulleira,
https://database.factgrid.de/entity/Q342987,"A Picoña, Salceda de Caselas",
https://database.factgrid.de/entity/Q342988,A Pinza,
https://database.factgrid.de/entity/Q342989,"A Piteira, O Carballiño",
https://database.factgrid.de/entity/Q342990,"A Pobra de San Xiao, Láncara",
https://database.factgrid.de/entity/Q342991,A Pobra de Trives,
https://database.factgrid.de/entity/Q342992,A Pobra de Trives,
https://database.factgrid.de/entity/Q342993,A Pobra do Brollón,
https://database.factgrid.de/entity/Q342994,A Pobra do Brollón,
https://database.factgrid.de/entity/Q342995,A Pobra do Caramiñal,
https://database.factgrid.de/entity/Q343000,A Ponte,
https://database.factgrid.de/entity/Q342996,A Ponte (Santa María Madanela),
https://database.factgrid.de/entity/Q342997,A Ponte Arcediago (San Xoán),
https://database.factgrid.de/entity/Q342998,A Ponte do Porto (San Pedro),
https://database.factgrid.de/entity/Q342999,A Ponte Ulla (Santa María Madanela),
https://database.factgrid.de/entity/Q343002,A Pontenova,
https://database.factgrid.de/entity/Q343001,"A Pontenova, A Pontenova",
https://database.factgrid.de/entity/Q343003,A Pontiga,
https://database.factgrid.de/entity/Q343004,A Pontrabiza,
https://database.factgrid.de/entity/Q343005,"A Porta, Sobrado",
https://database.factgrid.de/entity/Q343006,A Portela (San Xulián),
https://database.factgrid.de/entity/Q343007,A Portela do Trigal,
https://database.factgrid.de/entity/Q343008,"A Portela, Rodeiro",
https://database.factgrid.de/entity/Q343009,A Preira,
https://database.factgrid.de/entity/Q343010,A Proba de Burón (Santa María Madanela),
https://database.factgrid.de/entity/Q343011,"A Proba de Navia, Navia de Suarna",
https://database.factgrid.de/entity/Q343012,"A Proba, O Barco de Valdeorras",
https://database.factgrid.de/entity/Q343013,"A Pumarega, Castroverde",
https://database.factgrid.de/entity/Q343014,"A Puxeda, Palas de Rei",
https://database.factgrid.de/entity/Q343015,A Ramallosa,
https://database.factgrid.de/entity/Q343016,A Rasela (Santa María),
https://database.factgrid.de/entity/Q343017,A Rebollada,
https://database.factgrid.de/entity/Q343018,A Reboqueira,
https://database.factgrid.de/entity/Q343019,A Reburdia,
https://database.factgrid.de/entity/Q343020,"A Regueira, A Pastoriza",
https://database.factgrid.de/entity/Q343021,"A Regueira, Oza-Cesuras",
https://database.factgrid.de/entity/Q343022,A Reigada,
https://database.factgrid.de/entity/Q343023,"A Ría de Abres, Trabada",
https://database.factgrid.de/entity/Q343024,"A Riba, A Baña",
https://database.factgrid.de/entity/Q343025,A Ribeira (San Martín),
https://database.factgrid.de/entity/Q343026,A Ribeira (Santo Estevo),
https://database.factgrid.de/entity/Q343027,"A Ribeira, O Páramo",
https://database.factgrid.de/entity/Q343028,"A Rigueira, Xove",
https://database.factgrid.de/entity/Q343029,A Roda,
https://database.factgrid.de/entity/Q343031,A Ronda,
https://database.factgrid.de/entity/Q343030,A Ronda,
https://database.factgrid.de/entity/Q343033,A Rúa de Valdeorras,
https://database.factgrid.de/entity/Q343032,"A Rúa de Valdeorras, A Rúa",
https://database.factgrid.de/entity/Q343034,A Sacada,
https://database.factgrid.de/entity/Q343035,"A Sariña, Chantada",
https://database.factgrid.de/entity/Q343036,"A Seara, Quiroga",
https://database.factgrid.de/entity/Q343037,A Sela de Murias,
https://database.factgrid.de/entity/Q343038,"A Silvarredonda, Cabana de Bergantiños",
https://database.factgrid.de/entity/Q343039,A Solá,
https://database.factgrid.de/entity/Q343040,A Somoza,
https://database.factgrid.de/entity/Q343041,A Teixeira,
https://database.factgrid.de/entity/Q343042,"A Torre, O Páramo",
https://database.factgrid.de/entity/Q343043,"A Torre, Taboada",
https://database.factgrid.de/entity/Q343044,"A Torre, Vilalba",
https://database.factgrid.de/entity/Q343045,"A Touza, Taboadela",
https://database.factgrid.de/entity/Q343047,A Trapa,
https://database.factgrid.de/entity/Q343046,A Trapa (San Cibrán),
https://database.factgrid.de/entity/Q343048,A Vaga das Cancelas,
https://database.factgrid.de/entity/Q343049,"A Valboa, Trabada",
https://database.factgrid.de/entity/Q343050,"A Valenzá, Barbadás",
https://database.factgrid.de/entity/Q343051,A Valía,
https://database.factgrid.de/entity/Q343052,A Veguía,
https://database.factgrid.de/entity/Q343061,A Veiga,
https://database.factgrid.de/entity/Q343062,A Veiga,
https://database.factgrid.de/entity/Q343063,A Veiga,
https://database.factgrid.de/entity/Q343064,A Veiga,
https://database.factgrid.de/entity/Q343053,A Veiga (San Paio),
https://database.factgrid.de/entity/Q343054,A Veiga da Sarza,
https://database.factgrid.de/entity/Q343055,"A Veiga de Cascallá, Rubiá",
https://database.factgrid.de/entity/Q343056,A Veiga de Llan,
https://database.factgrid.de/entity/Q343057,A Veiga de Logares (Santa María),
https://database.factgrid.de/entity/Q343058,A Veiga del Carro,
https://database.factgrid.de/entity/Q343059,"A Veiga, A Veiga",
https://database.factgrid.de/entity/Q343060,"A Veiga, Lalín",
https://database.factgrid.de/entity/Q343065,A vide,
https://database.factgrid.de/entity/Q343066,"A Vila de Abade, Tordoia",
https://database.factgrid.de/entity/Q343067,"A Vilavella, A Mezquita",
https://database.factgrid.de/entity/Q343068,"A Viña, Irixoa",
https://database.factgrid.de/entity/Q343069,A Viñola,
https://database.factgrid.de/entity/Q343070,"A Virxe do Camiño, Pontevedra",
https://database.factgrid.de/entity/Q343071,A Xesta (San Fiz),
https://database.factgrid.de/entity/Q343072,"A Xironda, Cualedro",
https://database.factgrid.de/entity/Q343073,Ababuj,
https://database.factgrid.de/entity/Q343074,"Abade, Moeche",
https://database.factgrid.de/entity/Q343077,Abades,
https://database.factgrid.de/entity/Q343075,Abades (San Paio),
https://database.factgrid.de/entity/Q343076,"Abades, Silleda",
https://database.factgrid.de/entity/Q343078,Abadía,
https://database.factgrid.de/entity/Q343079,Abadín,
https://database.factgrid.de/entity/Q343080,Abadín,
https://database.factgrid.de/entity/Q343081,Abadiño,
https://database.factgrid.de/entity/Q343082,Abáigar,
https://database.factgrid.de/entity/Q343083,Abajas,
https://database.factgrid.de/entity/Q343084,Abalo,
https://database.factgrid.de/entity/Q343085,"Ábalos, La Rioja",
https://database.factgrid.de/entity/Q343086,Abaltzisketa,
https://database.factgrid.de/entity/Q343087,Abamia,
https://database.factgrid.de/entity/Q343088,Abánades,
https://database.factgrid.de/entity/Q343089,Abanco,
https://database.factgrid.de/entity/Q343090,Abándames,
https://database.factgrid.de/entity/Q343091,Abanilla,
https://database.factgrid.de/entity/Q343092,"Abanqueiro, Boiro",
https://database.factgrid.de/entity/Q343096,Abanto,
https://database.factgrid.de/entity/Q343093,Abanto de Suso,
https://database.factgrid.de/entity/Q343094,Abanto de Yuso,
https://database.factgrid.de/entity/Q343095,Abanto y Ciérbana-Abanto Zierbena,
https://database.factgrid.de/entity/Q343097,Abarán,
https://database.factgrid.de/entity/Q343098,Abarca de Campos,
https://database.factgrid.de/entity/Q343099,Abárzuza-Abartzuza,
https://database.factgrid.de/entity/Q343100,Abaurregaina/Abaurrea Alta,
https://database.factgrid.de/entity/Q343101,Abaurrepea/Abaurrea Baja,
https://database.factgrid.de/entity/Q343102,"Abavides, Trasmiras",
https://database.factgrid.de/entity/Q343103,Abeancos,
https://database.factgrid.de/entity/Q343104,"Ábedes, Verín",
https://database.factgrid.de/entity/Q343106,Abegondo,
https://database.factgrid.de/entity/Q343105,"Abegondo, Abegondo",
https://database.factgrid.de/entity/Q343107,Abejar,
https://database.factgrid.de/entity/Q343108,Abejar,
https://database.factgrid.de/entity/Q343109,Abejuela,
https://database.factgrid.de/entity/Q343110,"Abeleda, A Teixeira",
https://database.factgrid.de/entity/Q343111,Abeledo,
https://database.factgrid.de/entity/Q343112,"Abelenda das Penas, Carballeda de Avia",
https://database.factgrid.de/entity/Q343113,"Abelenda, Avión",
https://database.factgrid.de/entity/Q343114,Abella de la Conca,
https://database.factgrid.de/entity/Q343115,"Abellá, Frades",
https://database.factgrid.de/entity/Q343116,"Abelleira, Muros",
https://database.factgrid.de/entity/Q343117,Abengibre,
https://database.factgrid.de/entity/Q343118,Abenójar,
https://database.factgrid.de/entity/Q343119,Aberin,
https://database.factgrid.de/entity/Q343120,Abertura,
https://database.factgrid.de/entity/Q343121,Abezames,
https://database.factgrid.de/entity/Q343122,Abia de la Obispalía,
https://database.factgrid.de/entity/Q343123,Abia de las Torres,
https://database.factgrid.de/entity/Q343124,Abiego,
https://database.factgrid.de/entity/Q343125,Abiegos,
https://database.factgrid.de/entity/Q343126,Abioncillo de Calatañazor,
https://database.factgrid.de/entity/Q343127,Abizanda,
https://database.factgrid.de/entity/Q343128,Abla,
https://database.factgrid.de/entity/Q343129,Ablanque,
https://database.factgrid.de/entity/Q343130,Ablanque,
https://database.factgrid.de/entity/Q343131,Ables,
https://database.factgrid.de/entity/Q343132,Ablitas,
https://database.factgrid.de/entity/Q343133,Abragán (San Bartolomeu),
https://database.factgrid.de/entity/Q343134,Abraído,
https://database.factgrid.de/entity/Q343135,Abrence,
https://database.factgrid.de/entity/Q343136,Abrera,
https://database.factgrid.de/entity/Q343137,Abres,
https://database.factgrid.de/entity/Q343138,Abrucena,
https://database.factgrid.de/entity/Q343139,"Abruciños, Amoeiro",
https://database.factgrid.de/entity/Q343140,"Abuíme, O Saviñao",
https://database.factgrid.de/entity/Q343141,Abusejo,
https://database.factgrid.de/entity/Q343142,Acebedín,
https://database.factgrid.de/entity/Q343143,Acebedo,
https://database.factgrid.de/entity/Q343144,Acebedo,
https://database.factgrid.de/entity/Q343145,Acebo,
https://database.factgrid.de/entity/Q343146,Acebreiral,
https://database.factgrid.de/entity/Q343147,Acedera,
https://database.factgrid.de/entity/Q343148,"Acedre, Pantón",
https://database.factgrid.de/entity/Q343149,Acehúche,
https://database.factgrid.de/entity/Q343150,Aceituna,
https://database.factgrid.de/entity/Q343151,Aceitunilla,
https://database.factgrid.de/entity/Q343152,Acered,
https://database.factgrid.de/entity/Q343153,Aces,
https://database.factgrid.de/entity/Q343154,Aceuchal,
https://database.factgrid.de/entity/Q343155,Acevedo do Río (San Xurxo),
https://database.factgrid.de/entity/Q343156,"Aciveiro, Forcarei",
https://database.factgrid.de/entity/Q343157,"Adá, Chantada",
https://database.factgrid.de/entity/Q343158,Adahuesca,
https://database.factgrid.de/entity/Q343159,Adai (Santiago),
https://database.factgrid.de/entity/Q343160,"Adai, Lugo",
https://database.factgrid.de/entity/Q343161,"Adai, O Páramo",
https://database.factgrid.de/entity/Q343162,Adalia,
https://database.factgrid.de/entity/Q343163,Adamuz,
https://database.factgrid.de/entity/Q343164,Adanero,
https://database.factgrid.de/entity/Q343165,Adeje,
https://database.factgrid.de/entity/Q343166,"Adelán, Alfoz",
https://database.factgrid.de/entity/Q343167,Ademuz,
https://database.factgrid.de/entity/Q343168,"Adina, Sanxenxo",
https://database.factgrid.de/entity/Q343169,Adiós,
https://database.factgrid.de/entity/Q343170,Adobes,
https://database.factgrid.de/entity/Q343171,Ador,
https://database.factgrid.de/entity/Q343172,Adra,
https://database.factgrid.de/entity/Q343173,Adrada de Haza,
https://database.factgrid.de/entity/Q343174,Adrada de Pirón,
https://database.factgrid.de/entity/Q343175,Adradas,
https://database.factgrid.de/entity/Q343176,Adrados,
https://database.factgrid.de/entity/Q343177,"Adragonte, Paderne",
https://database.factgrid.de/entity/Q343178,Adralés,
https://database.factgrid.de/entity/Q343179,Aduna,
https://database.factgrid.de/entity/Q343180,Agaete,
https://database.factgrid.de/entity/Q343181,Agallas,
https://database.factgrid.de/entity/Q343182,"Agar, A Estrada",
https://database.factgrid.de/entity/Q343183,Àger,
https://database.factgrid.de/entity/Q343184,Agoitz,
https://database.factgrid.de/entity/Q343185,Agolada,
https://database.factgrid.de/entity/Q343186,Agón,
https://database.factgrid.de/entity/Q343187,Agoncillo,
https://database.factgrid.de/entity/Q343188,Agost,
https://database.factgrid.de/entity/Q343189,"Agra, Agolada",
https://database.factgrid.de/entity/Q343190,Agramunt,
https://database.factgrid.de/entity/Q343191,Ágreda,
https://database.factgrid.de/entity/Q343192,Agres,
https://database.factgrid.de/entity/Q343194,Agrón,
https://database.factgrid.de/entity/Q343193,"Agrón, Ames",
https://database.factgrid.de/entity/Q343195,Agua Amarga,
https://database.factgrid.de/entity/Q343196,"Aguada, Carballedo",
https://database.factgrid.de/entity/Q343197,Aguaderas,
https://database.factgrid.de/entity/Q343198,Aguadulce,
https://database.factgrid.de/entity/Q343199,Aguadulce,
https://database.factgrid.de/entity/Q343200,Aguarón,
https://database.factgrid.de/entity/Q343201,Aguas Cándidas,
https://database.factgrid.de/entity/Q343202,Aguasal,
https://database.factgrid.de/entity/Q343203,Aguasantas (Santa María),
https://database.factgrid.de/entity/Q343204,Aguascaldas,
https://database.factgrid.de/entity/Q343205,Aguatón,
https://database.factgrid.de/entity/Q343206,Aguaviva,
https://database.factgrid.de/entity/Q343207,"Agudelo, Barro",
https://database.factgrid.de/entity/Q343208,Agudo,
https://database.factgrid.de/entity/Q343209,Agüeira,
https://database.factgrid.de/entity/Q343210,"Agüela, Antas de Ulla",
https://database.factgrid.de/entity/Q343212,Agüera,
https://database.factgrid.de/entity/Q343211,Agüera (Burgos),
https://database.factgrid.de/entity/Q343213,"Agüero, Huesca",
https://database.factgrid.de/entity/Q343214,Aguiar (Sobrado),
https://database.factgrid.de/entity/Q343215,Aguilafuente,
https://database.factgrid.de/entity/Q343216,Aguilar de Anguita,
https://database.factgrid.de/entity/Q343217,Aguilar de Bureba,
https://database.factgrid.de/entity/Q343218,Aguilar de Campoo,
https://database.factgrid.de/entity/Q343219,Aguilar de Campoo,
https://database.factgrid.de/entity/Q343220,Aguilar de Campos,
https://database.factgrid.de/entity/Q343221,Aguilar de Codés,
https://database.factgrid.de/entity/Q343222,Aguilar de la Frontera,
https://database.factgrid.de/entity/Q343223,Aguilar de Montuenga,
https://database.factgrid.de/entity/Q343224,Aguilar de Segarra,
https://database.factgrid.de/entity/Q343225,Aguilar del Alfambra,
https://database.factgrid.de/entity/Q343226,Aguilar del Río Alhama,
https://database.factgrid.de/entity/Q343227,Águilas,
https://database.factgrid.de/entity/Q343228,Aguillón,
https://database.factgrid.de/entity/Q343229,Aguilón,
https://database.factgrid.de/entity/Q343230,"Agüimes, Las Palmas",
https://database.factgrid.de/entity/Q343231,Aguinaga,
https://database.factgrid.de/entity/Q343232,Aguino,
https://database.factgrid.de/entity/Q343233,Aguiño,
https://database.factgrid.de/entity/Q343234,"Aguións, A Estrada",
https://database.factgrid.de/entity/Q343235,Aguís (San Martiño),
https://database.factgrid.de/entity/Q343236,Agullana,
https://database.factgrid.de/entity/Q343237,Agullent,
https://database.factgrid.de/entity/Q343238,Agulo,
https://database.factgrid.de/entity/Q343239,Agurain/Salvatierra,
https://database.factgrid.de/entity/Q343240,"Agustín, Castroverde",
https://database.factgrid.de/entity/Q343243,Ahigal,
https://database.factgrid.de/entity/Q343241,Ahigal de los Aceiteros,
https://database.factgrid.de/entity/Q343242,Ahigal de Villarino,
https://database.factgrid.de/entity/Q343244,Ahillones,
https://database.factgrid.de/entity/Q343245,Ahorcada,
https://database.factgrid.de/entity/Q343246,Aia,
https://database.factgrid.de/entity/Q343247,Aiacor,
https://database.factgrid.de/entity/Q343248,Aiazo,
https://database.factgrid.de/entity/Q343249,Aibar/Oibar,
https://database.factgrid.de/entity/Q343250,Aielo de Malferit,
https://database.factgrid.de/entity/Q343251,Aielo de Rugat,
https://database.factgrid.de/entity/Q343252,Aiguafreda,
https://database.factgrid.de/entity/Q343253,Aiguamúrcia,
https://database.factgrid.de/entity/Q343254,Aiguaviva,
https://database.factgrid.de/entity/Q343255,Aigües,
https://database.factgrid.de/entity/Q343256,Ailanes de Zamanzas,
https://database.factgrid.de/entity/Q343257,Aín,
https://database.factgrid.de/entity/Q343258,Aínsa-Sobrarbe,
https://database.factgrid.de/entity/Q343259,Ainzón,
https://database.factgrid.de/entity/Q343260,Aísa,
https://database.factgrid.de/entity/Q343261,Aitona,
https://database.factgrid.de/entity/Q343262,Aizarnazabal,
https://database.factgrid.de/entity/Q343263,Aizpún,
https://database.factgrid.de/entity/Q343264,Ajalvir,
https://database.factgrid.de/entity/Q343265,Ajamil,
https://database.factgrid.de/entity/Q343266,Ajangiz,
https://database.factgrid.de/entity/Q343267,Ajofrín,
https://database.factgrid.de/entity/Q343268,Alacón,
https://database.factgrid.de/entity/Q343269,Aladrén,
https://database.factgrid.de/entity/Q343270,Alaejos,
https://database.factgrid.de/entity/Q343272,Alagón,
https://database.factgrid.de/entity/Q343271,Alagón del Río,
https://database.factgrid.de/entity/Q343273,Alaior,
https://database.factgrid.de/entity/Q343274,Alais,
https://database.factgrid.de/entity/Q343275,Alájar,
https://database.factgrid.de/entity/Q343276,"Alajeró, Santa Cruz de Tenerife",
https://database.factgrid.de/entity/Q343277,Alalpardo,
https://database.factgrid.de/entity/Q343280,Alameda,
https://database.factgrid.de/entity/Q343278,Alameda de la Sagra,
https://database.factgrid.de/entity/Q343279,Alameda del Valle,
https://database.factgrid.de/entity/Q343282,Alamedilla,
https://database.factgrid.de/entity/Q343281,Alamedilla del Berrocal,
https://database.factgrid.de/entity/Q343283,Alamillo,
https://database.factgrid.de/entity/Q343284,Alaminos,
https://database.factgrid.de/entity/Q343285,Alange,
https://database.factgrid.de/entity/Q343286,Alanís,
https://database.factgrid.de/entity/Q343287,Alaquàs,
https://database.factgrid.de/entity/Q343288,Alar del Rey,
https://database.factgrid.de/entity/Q343289,Alaraz,
https://database.factgrid.de/entity/Q343290,Alarba,
https://database.factgrid.de/entity/Q343291,Alarcón,
https://database.factgrid.de/entity/Q343292,Alarilla,
https://database.factgrid.de/entity/Q343293,Alarilla,
https://database.factgrid.de/entity/Q343294,Alaró,
https://database.factgrid.de/entity/Q343295,Alàs i Cerc,
https://database.factgrid.de/entity/Q343296,Alatoz,
https://database.factgrid.de/entity/Q343297,Alava,
https://database.factgrid.de/entity/Q343302,Alba,
https://database.factgrid.de/entity/Q343303,Alba,
https://database.factgrid.de/entity/Q343304,Albá,
